Dependent_count,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Trans_Amt,Avg_Utilization_Ratio
2,$40K - $60K,Blue,35,2544,8006,0.673
1,$40K - $60K,Blue,44,5556,1706,0.308
1,$80K - $120K,Blue,53,25058,2053,0.068
3,$40K - $60K,Blue,45,10859,3987,0.157
5,Less than $40K,Blue,36,4228,4389,0.404
2,$40K - $60K,Blue,36,2331,4417,0.733
3,$40K - $60K,Blue,35,3789,1609,0.45
3,$40K - $60K,Blue,36,2534,3965,0.673
2,Less than $40K,Blue,42,1770,4940,0.964
1,Less than $40K,Blue,29,2406,4665,0.709
2,$80K - $120K,Blue,51,6922,1449,0.246
3,$60K - $80K,Blue,37,14546,1273,0.117
4,Less than $40K,Blue,30,5951,2565,0.286
1,$60K - $80K,Blue,45,3380,1502,0.503
3,Less than $40K,Blue,45,2555,3127,0.666
1,$120K +,Blue,41,13032,4348,0.131
3,$40K - $60K,Blue,30,4802,4821,0.354
3,$60K - $80K,Blue,42,22938,3428,0.074
5,$40K - $60K,Blue,41,9815,7962,0.173
2,$40K - $60K,Blue,31,6116,1592,0.278
4,Less than $40K,Blue,42,3504,4439,0.485
3,Unknown,Silver,36,34516,3498,0.049
3,Less than $40K,Blue,44,7659,15860,0.222
2,Unknown,Blue,27,3287,5236,0.516
0,$80K - $120K,Blue,49,12555,1291,0.135
1,$40K - $60K,Blue,43,3391,4291,0.5
3,$60K - $80K,Blue,37,8567,1457,0.198
0,$40K - $60K,Blue,15,2158,1833,0.785
1,$40K - $60K,Blue,27,3851,2349,0.44
2,$80K - $120K,Blue,36,10227,3577,0.166
4,Less than $40K,Blue,36,1976,3675,0.857
1,$80K - $120K,Blue,29,13298,3476,0.127
2,Unknown,Blue,36,2679,4640,0.632
4,$40K - $60K,Silver,36,18956,8032,0.089
5,Less than $40K,Blue,35,2448,1269,0.692
2,$80K - $120K,Blue,38,21382,3060,0.079
2,$120K +,Gold,22,34516,7486,0.049
3,$60K - $80K,Blue,36,6929,1388,0.244
2,Less than $40K,Blue,33,2283,4377,0.74
1,$40K - $60K,Blue,36,1737,2459,0.972
3,Less than $40K,Blue,41,6060,3953,0.278
2,$60K - $80K,Blue,37,4743,3739,0.356
3,$40K - $60K,Blue,34,3336,5577,0.506
4,$80K - $120K,Blue,31,3472,13999,0.486
5,$120K +,Silver,36,34516,4039,0.049
1,Less than $40K,Blue,56,3055,1405,0.552
4,$40K - $60K,Blue,27,3670,8608,0.459
2,Less than $40K,Blue,45,2548,2055,0.661
5,$40K - $60K,Blue,41,3914,4242,0.43
3,$120K +,Blue,36,3281,4109,0.513
2,Less than $40K,Blue,19,2152,4126,0.782
3,Less than $40K,Blue,36,2705,4265,0.621
4,Unknown,Blue,24,16915,2795,0.099
0,Unknown,Blue,36,6853,3543,0.245
2,$40K - $60K,Blue,48,4288,15505,0.391
2,$80K - $120K,Blue,36,2281,2735,0.735
3,$120K +,Blue,41,21592,1873,0.078
1,$60K - $80K,Blue,36,7075,4160,0.237
3,$120K +,Blue,28,4642,5080,0.361
1,Less than $40K,Blue,30,2758,3820,0.607
3,Less than $40K,Blue,36,2473,4203,0.677
2,Less than $40K,Blue,36,2423,4258,0.691
2,Less than $40K,Blue,23,1929,857,0.867
2,$80K - $120K,Blue,40,13490,4205,0.124
3,Less than $40K,Blue,38,3027,3912,0.552
0,$40K - $60K,Blue,39,2875,4399,0.581
2,$40K - $60K,Blue,36,7756,1858,0.215
1,$60K - $80K,Blue,36,9521,2444,0.175
1,Less than $40K,Blue,42,4002,2024,0.417
2,$80K - $120K,Blue,41,2492,1606,0.669
3,$80K - $120K,Blue,30,3976,4372,0.419
2,$120K +,Blue,44,34516,1218,0.048
0,$40K - $60K,Blue,22,2062,2397,0.807
1,$40K - $60K,Blue,24,5830,2263,0.286
2,$40K - $60K,Blue,44,5489,4010,0.303
4,$80K - $120K,Blue,37,32338,3013,0.051
1,$80K - $120K,Blue,36,18512,8019,0.09
2,$60K - $80K,Blue,36,12299,15060,0.135
2,Less than $40K,Blue,36,3888,1145,0.428
3,$40K - $60K,Silver,24,15133,4392,0.11
1,$40K - $60K,Blue,43,2107,4841,0.789
2,Less than $40K,Blue,34,8771,3779,0.189
2,Less than $40K,Blue,36,2325,4471,0.715
3,$80K - $120K,Blue,32,5851,1572,0.284
1,Unknown,Blue,55,6463,2336,0.257
3,$40K - $60K,Blue,36,3005,4586,0.552
2,$60K - $80K,Blue,44,2205,4813,0.752
2,Less than $40K,Blue,36,3397,4208,0.488
2,$40K - $60K,Blue,34,2471,4406,0.671
2,$60K - $80K,Blue,37,2695,4068,0.615
2,$40K - $60K,Blue,42,2430,8444,0.682
3,$40K - $60K,Blue,36,5108,1631,0.324
2,$120K +,Blue,29,2818,2916,0.588
0,Unknown,Blue,36,9097,4174,0.182
3,$40K - $60K,Blue,21,4353,2664,0.38
4,Less than $40K,Blue,43,2191,4961,0.755
3,$80K - $120K,Blue,34,26438,8029,0.063
1,Less than $40K,Blue,32,8749,5054,0.189
2,$40K - $60K,Blue,37,2529,3428,0.654
3,$40K - $60K,Blue,42,5129,3192,0.322
2,$40K - $60K,Blue,45,2985,14187,0.553
2,$120K +,Blue,45,32719,4037,0.05
3,Less than $40K,Blue,36,5090,3707,0.324
2,$40K - $60K,Blue,42,3024,4463,0.545
1,Less than $40K,Blue,28,2669,4314,0.618
4,Less than $40K,Gold,36,15987,1436,0.103
0,Less than $40K,Blue,53,2084,1597,0.79
0,Less than $40K,Blue,31,2685,4625,0.613
0,$60K - $80K,Blue,18,2598,2483,0.633
2,Less than $40K,Blue,34,3156,1151,0.521
4,$60K - $80K,Blue,35,14958,4038,0.11
3,$60K - $80K,Blue,25,2345,4634,0.701
4,Less than $40K,Blue,39,2415,5063,0.68
2,Less than $40K,Blue,32,4423,15467,0.371
3,$40K - $60K,Blue,33,4402,1774,0.373
4,Less than $40K,Blue,29,2778,4007,0.59
2,Less than $40K,Blue,33,5625,7890,0.292
3,$40K - $60K,Blue,47,2741,5077,0.598
2,Less than $40K,Blue,36,3123,4117,0.525
2,$40K - $60K,Blue,20,2235,2905,0.733
1,$80K - $120K,Blue,36,12084,4506,0.136
3,Unknown,Blue,40,7114,4758,0.23
5,$60K - $80K,Blue,28,12773,14833,0.128
4,$60K - $80K,Blue,29,12544,1758,0.13
4,$60K - $80K,Blue,34,4592,1772,0.356
2,Less than $40K,Blue,40,3449,8300,0.474
1,$40K - $60K,Blue,36,2937,8235,0.556
1,$40K - $60K,Blue,47,11915,1956,0.137
1,$40K - $60K,Blue,30,13355,1921,0.122
0,$120K +,Blue,36,2692,4619,0.606
4,Unknown,Blue,26,4549,2240,0.359
1,Less than $40K,Silver,30,10398,7702,0.157
2,$80K - $120K,Blue,36,3610,1652,0.451
4,$60K - $80K,Blue,43,8737,3876,0.186
1,$80K - $120K,Silver,36,34516,4042,0.047
2,$40K - $60K,Blue,36,4784,4912,0.341
3,Less than $40K,Blue,36,2786,2853,0.584
3,$40K - $60K,Blue,49,7578,1325,0.215
2,$80K - $120K,Blue,38,12878,1968,0.126
3,Less than $40K,Blue,37,2154,4538,0.756
1,Less than $40K,Blue,47,3022,4390,0.538
1,$40K - $60K,Blue,32,2413,5466,0.674
3,Unknown,Silver,35,33565,8360,0.048
1,Unknown,Blue,36,4685,4560,0.347
3,Less than $40K,Blue,36,2391,7649,0.68
4,$80K - $120K,Blue,35,18274,3886,0.089
3,Less than $40K,Blue,46,2700,4171,0.601
2,$120K +,Blue,40,24670,7772,0.066
2,Less than $40K,Blue,34,4265,3244,0.38
4,$80K - $120K,Blue,36,19188,4282,0.085
2,$40K - $60K,Blue,28,2035,4130,0.796
4,Unknown,Blue,30,9139,4675,0.177
1,Less than $40K,Blue,56,4613,2328,0.351
2,$80K - $120K,Blue,34,2196,2040,0.737
2,$40K - $60K,Blue,48,2941,5000,0.55
5,Less than $40K,Blue,30,2114,4518,0.765
1,Less than $40K,Blue,25,2689,4237,0.602
2,$40K - $60K,Blue,32,7566,7570,0.214
1,$40K - $60K,Blue,36,3635,4045,0.445
2,Less than $40K,Blue,36,2712,4858,0.596
3,$80K - $120K,Blue,28,34516,13083,0.047
4,Less than $40K,Blue,36,2690,2272,0.6
4,Unknown,Blue,21,5024,1925,0.321
0,$40K - $60K,Blue,53,2507,3325,0.643
2,$80K - $120K,Blue,36,34427,13545,0.047
1,$40K - $60K,Silver,34,15315,14728,0.105
0,Less than $40K,Blue,46,3044,1456,0.529
1,Less than $40K,Blue,44,2378,1807,0.677
0,Less than $40K,Blue,36,2699,2141,0.596
0,Unknown,Blue,56,28410,2278,0.057
0,Less than $40K,Blue,13,5240,2712,0.307
3,Less than $40K,Silver,39,10186,14023,0.158
3,$60K - $80K,Blue,37,3291,1984,0.488
3,$60K - $80K,Blue,36,6836,4421,0.235
3,$40K - $60K,Blue,24,5182,5235,0.31
4,$80K - $120K,Blue,32,28687,7523,0.056
2,Less than $40K,Blue,36,2846,5092,0.564
4,Less than $40K,Blue,30,2569,1190,0.625
4,$60K - $80K,Blue,36,20337,2460,0.079
3,Unknown,Blue,25,4181,3955,0.384
2,Less than $40K,Blue,29,4710,4663,0.341
2,$40K - $60K,Blue,40,2672,4766,0.6
2,$120K +,Blue,48,12648,14465,0.127
2,$40K - $60K,Blue,43,1857,1590,0.863
1,Less than $40K,Blue,36,2568,3616,0.624
2,Less than $40K,Blue,31,2381,4013,0.673
1,Less than $40K,Blue,46,2240,3795,0.715
2,Unknown,Blue,40,2464,4739,0.65
4,Unknown,Blue,38,10039,4685,0.159
1,Unknown,Blue,16,2751,2270,0.581
3,$120K +,Blue,24,11316,2595,0.141
2,$60K - $80K,Blue,34,2048,4855,0.781
4,Unknown,Blue,28,6861,2228,0.233
2,$80K - $120K,Blue,36,34516,1628,0.046
5,$60K - $80K,Blue,39,16034,3628,0.1
2,Less than $40K,Blue,36,2043,3553,0.782
4,$60K - $80K,Blue,42,2384,3149,0.669
3,Less than $40K,Blue,36,8121,1914,0.196
3,Less than $40K,Blue,29,2814,4766,0.567
3,Less than $40K,Blue,47,6347,1771,0.251
3,$40K - $60K,Blue,39,2112,1338,0.755
2,Less than $40K,Blue,43,5353,4456,0.298
4,$40K - $60K,Blue,27,2625,2480,0.607
2,Unknown,Blue,36,2162,1736,0.736
1,Less than $40K,Blue,29,2722,3205,0.585
1,$40K - $60K,Blue,28,2507,4355,0.635
2,$40K - $60K,Blue,36,4718,4598,0.337
1,Unknown,Blue,22,16912,2413,0.094
4,$120K +,Blue,34,8874,1849,0.179
1,$40K - $60K,Blue,36,4717,4216,0.337
1,$40K - $60K,Blue,36,2043,4940,0.778
2,$80K - $120K,Blue,48,15594,13016,0.102
2,Less than $40K,Blue,29,2304,1273,0.69
2,$80K - $120K,Blue,45,5920,1408,0.268
4,$40K - $60K,Blue,29,2636,3858,0.603
3,$40K - $60K,Blue,27,7680,13617,0.207
3,$40K - $60K,Blue,35,4970,4436,0.32
2,$60K - $80K,Silver,32,26988,3732,0.059
2,Less than $40K,Blue,18,2023,4391,0.784
3,$120K +,Blue,43,21680,4410,0.073
2,$60K - $80K,Blue,38,2461,1729,0.644
4,$60K - $80K,Blue,32,10007,4309,0.158
2,$40K - $60K,Blue,27,1776,4350,0.893
3,$80K - $120K,Blue,36,12618,4768,0.126
0,Less than $40K,Blue,36,9178,14932,0.173
4,$60K - $80K,Blue,39,2641,4279,0.6
2,Less than $40K,Blue,31,2330,3917,0.68
3,$40K - $60K,Blue,28,11155,3504,0.142
1,$80K - $120K,Blue,47,34516,12906,0.046
3,$60K - $80K,Blue,36,5344,1984,0.296
3,$60K - $80K,Blue,36,5993,3464,0.264
3,$40K - $60K,Blue,22,2577,4734,0.614
2,Less than $40K,Blue,32,2427,3857,0.651
2,Less than $40K,Blue,38,7398,4311,0.214
1,Less than $40K,Blue,43,2705,5532,0.584
3,$60K - $80K,Blue,23,22729,13672,0.07
1,$60K - $80K,Blue,22,2685,1642,0.588
2,$40K - $60K,Blue,28,6275,1585,0.252
4,$40K - $60K,Blue,34,6034,4712,0.262
3,Unknown,Platinum,34,34516,1929,0.046
3,$120K +,Blue,52,17934,2005,0.088
4,$60K - $80K,Blue,36,11498,4014,0.137
1,Less than $40K,Blue,48,2324,1272,0.678
4,$60K - $80K,Silver,30,29856,14887,0.053
3,$40K - $60K,Blue,48,9426,4212,0.167
2,$60K - $80K,Blue,26,2731,1813,0.576
2,Less than $40K,Blue,46,2611,4899,0.602
2,$40K - $60K,Blue,50,2701,1469,0.582
1,$40K - $60K,Blue,38,3503,4671,0.449
1,$40K - $60K,Blue,36,4559,1870,0.345
1,$60K - $80K,Blue,40,6481,15937,0.242
2,$80K - $120K,Silver,27,34516,2873,0.045
3,$80K - $120K,Blue,13,17846,3626,0.088
0,Less than $40K,Blue,43,2481,4466,0.632
0,$60K - $80K,Blue,36,9172,1836,0.171
4,$80K - $120K,Blue,33,13490,13159,0.116
4,$40K - $60K,Blue,35,9149,1790,0.171
3,$60K - $80K,Silver,31,34516,3961,0.045
2,Less than $40K,Blue,48,2338,3964,0.67
2,$60K - $80K,Blue,34,4249,1881,0.368
4,Less than $40K,Blue,36,2492,1126,0.626
1,$60K - $80K,Blue,53,9055,1755,0.172
0,$60K - $80K,Blue,33,11741,2143,0.133
3,Unknown,Blue,36,2447,1716,0.637
3,$120K +,Blue,43,6626,2838,0.235
1,$40K - $60K,Blue,44,4088,2250,0.381
3,Unknown,Blue,37,9051,4169,0.172
4,Less than $40K,Blue,33,4606,4363,0.338
1,Less than $40K,Blue,36,2677,4757,0.581
4,Less than $40K,Blue,43,2574,4134,0.604
4,$40K - $60K,Blue,30,4640,3870,0.335
2,$40K - $60K,Blue,27,1953,4598,0.796
3,Less than $40K,Blue,36,3297,4636,0.471
0,$40K - $60K,Blue,46,1781,3527,0.871
1,$60K - $80K,Blue,23,7189,1935,0.216
4,Less than $40K,Blue,36,1963,3718,0.789
3,$80K - $120K,Blue,46,9065,4030,0.171
4,Less than $40K,Blue,32,2314,4678,0.669
0,$40K - $60K,Blue,42,2723,4108,0.567
3,$40K - $60K,Blue,20,10486,4042,0.147
3,$40K - $60K,Blue,37,7839,7904,0.197
4,Less than $40K,Blue,41,4430,3395,0.348
3,$60K - $80K,Blue,36,7451,4960,0.207
2,$40K - $60K,Blue,25,9371,2518,0.164
2,Less than $40K,Blue,36,1780,5008,0.866
3,$40K - $60K,Blue,41,3788,1594,0.407
2,Unknown,Gold,36,34516,2574,0.045
0,Less than $40K,Blue,36,1764,2094,0.873
4,Less than $40K,Blue,36,7317,4100,0.21
3,Less than $40K,Blue,46,2298,5154,0.67
5,$120K +,Blue,42,32926,8231,0.047
1,Less than $40K,Blue,42,2474,4884,0.622
1,Less than $40K,Blue,26,1876,2579,0.819
1,$80K - $120K,Blue,36,9031,1602,0.17
0,Unknown,Blue,36,16766,3093,0.092
0,Less than $40K,Blue,21,1585,2299,0.968
3,$80K - $120K,Blue,45,2453,4185,0.625
1,$120K +,Blue,36,34516,1603,0.044
4,Less than $40K,Blue,30,4038,2400,0.379
2,$60K - $80K,Blue,25,2049,4521,0.747
3,Less than $40K,Blue,36,2279,1693,0.671
5,$80K - $120K,Blue,37,22913,1394,0.067
0,$40K - $60K,Blue,53,3118,1291,0.49
0,Less than $40K,Blue,56,2582,4041,0.592
3,Less than $40K,Blue,25,2085,3805,0.733
2,Less than $40K,Blue,26,2120,4741,0.72
3,$60K - $80K,Blue,36,11535,3730,0.132
3,$60K - $80K,Blue,37,2783,1909,0.548
4,Unknown,Blue,36,17536,1411,0.087
0,$80K - $120K,Blue,45,20882,4765,0.073
2,$40K - $60K,Blue,37,3263,14649,0.467
4,Less than $40K,Blue,35,4402,3063,0.346
2,$40K - $60K,Blue,40,3263,4288,0.466
3,Less than $40K,Blue,36,5750,2155,0.265
0,$60K - $80K,Blue,26,3809,4666,0.399
1,Less than $40K,Blue,36,6100,1668,0.249
4,$80K - $120K,Blue,33,4388,4406,0.346
2,$80K - $120K,Blue,43,5774,4444,0.263
3,$60K - $80K,Blue,36,17072,8591,0.089
2,$60K - $80K,Blue,36,5550,2540,0.274
3,Less than $40K,Blue,31,2005,2439,0.757
3,Less than $40K,Blue,37,4602,3520,0.33
2,Less than $40K,Blue,33,2644,4815,0.574
2,$60K - $80K,Blue,43,15377,1848,0.099
3,Less than $40K,Blue,43,2383,4917,0.636
3,$40K - $60K,Blue,36,4786,4973,0.317
1,$80K - $120K,Blue,19,25662,1484,0.059
2,$80K - $120K,Blue,36,22103,1541,0.069
2,$60K - $80K,Blue,40,7949,3355,0.19
2,$80K - $120K,Blue,35,10873,5089,0.139
1,$40K - $60K,Blue,45,3234,13803,0.468
2,Less than $40K,Blue,36,1736,3462,0.872
3,$60K - $80K,Blue,43,7119,4969,0.213
2,Unknown,Blue,27,4438,3895,0.341
2,Less than $40K,Blue,36,2310,4191,0.655
0,Less than $40K,Blue,55,2194,4069,0.689
2,Less than $40K,Blue,36,8758,7680,0.173
1,$120K +,Blue,39,3133,1435,0.482
4,Less than $40K,Blue,36,2316,3471,0.652
3,$80K - $120K,Blue,36,21134,1556,0.071
3,Less than $40K,Blue,42,2773,1197,0.543
1,$40K - $60K,Blue,46,2442,4535,0.617
2,Less than $40K,Silver,36,13427,4266,0.112
2,$60K - $80K,Blue,39,22075,2337,0.068
3,Unknown,Blue,36,6971,3575,0.216
4,$80K - $120K,Blue,40,28307,9042,0.053
4,Less than $40K,Blue,38,4894,3277,0.308
3,$60K - $80K,Blue,30,11550,3891,0.13
0,$40K - $60K,Blue,36,5619,2808,0.268
1,Less than $40K,Blue,55,4010,3807,0.375
4,Less than $40K,Blue,21,3429,4015,0.439
1,Less than $40K,Blue,36,2245,3344,0.669
1,$40K - $60K,Blue,53,2136,1908,0.703
0,Less than $40K,Blue,49,2228,3922,0.674
3,Unknown,Blue,42,25027,3357,0.06
4,$60K - $80K,Blue,38,2440,4382,0.615
4,Less than $40K,Blue,34,7562,14908,0.198
1,Unknown,Blue,35,13169,4370,0.114
0,Less than $40K,Blue,43,2393,4755,0.626
4,Less than $40K,Blue,36,2092,4130,0.717
3,Less than $40K,Blue,46,2927,4670,0.512
4,$60K - $80K,Blue,36,2072,4091,0.723
2,Less than $40K,Blue,35,2170,4569,0.69
3,$60K - $80K,Blue,43,8404,4811,0.178
2,$80K - $120K,Blue,41,13356,8963,0.112
2,$40K - $60K,Blue,42,4949,3597,0.302
1,Less than $40K,Blue,44,2484,4084,0.602
3,Less than $40K,Blue,36,2185,4906,0.684
0,$80K - $120K,Silver,36,34516,3259,0.043
3,$60K - $80K,Blue,43,2157,4784,0.693
2,$80K - $120K,Blue,36,6248,4664,0.239
2,$40K - $60K,Blue,36,2494,3407,0.598
4,$120K +,Blue,31,34516,2243,0.043
1,Less than $40K,Blue,47,2469,4351,0.604
2,Less than $40K,Blue,34,2561,4869,0.582
2,Less than $40K,Blue,38,2650,1411,0.562
3,$80K - $120K,Blue,34,10540,1980,0.141
5,Less than $40K,Blue,42,1972,4715,0.755
4,$40K - $60K,Blue,33,2654,4767,0.561
5,Unknown,Blue,31,4433,3847,0.336
1,Unknown,Blue,17,11881,4865,0.125
1,Less than $40K,Blue,37,2532,4143,0.587
2,Less than $40K,Blue,37,2168,3828,0.685
4,$60K - $80K,Blue,36,5662,1693,0.262
3,Less than $40K,Blue,26,1939,4790,0.765
2,$60K - $80K,Blue,35,5131,7432,0.289
1,$120K +,Blue,34,8507,14949,0.174
3,$80K - $120K,Blue,34,28262,3855,0.052
5,$60K - $80K,Blue,38,22639,4219,0.065
4,$60K - $80K,Blue,36,14607,1393,0.101
1,Less than $40K,Blue,36,2632,4787,0.562
1,Unknown,Blue,46,1970,2493,0.75
2,Less than $40K,Blue,21,3967,4490,0.372
3,$60K - $80K,Blue,36,23260,15140,0.063
3,$120K +,Blue,40,34516,14145,0.043
2,Less than $40K,Blue,30,2684,2346,0.549
3,Less than $40K,Blue,36,3276,14212,0.45
1,$60K - $80K,Blue,31,7475,1592,0.197
4,Less than $40K,Blue,35,2722,3129,0.541
2,$120K +,Blue,51,26437,1244,0.056
5,Less than $40K,Blue,49,2177,5228,0.676
2,Less than $40K,Silver,23,14143,13785,0.104
0,$40K - $60K,Blue,18,2033,2236,0.724
4,$120K +,Blue,28,28020,1723,0.052
2,Less than $40K,Blue,36,3176,1634,0.463
1,Less than $40K,Silver,44,11605,12592,0.127
2,Less than $40K,Blue,20,2084,1132,0.704
3,Unknown,Blue,36,21922,7409,0.067
3,$40K - $60K,Blue,28,7262,1438,0.202
1,Less than $40K,Blue,55,2661,1354,0.551
4,Less than $40K,Silver,36,10973,4892,0.134
4,$40K - $60K,Blue,30,2166,5097,0.676
1,Less than $40K,Blue,52,2486,1378,0.589
2,$80K - $120K,Blue,36,4408,2001,0.332
2,$60K - $80K,Blue,51,14976,1599,0.098
0,Less than $40K,Blue,36,3019,4509,0.484
3,$60K - $80K,Blue,36,6114,2608,0.239
0,Unknown,Blue,13,3038,2243,0.481
3,$60K - $80K,Blue,36,4759,2903,0.307
3,$40K - $60K,Silver,39,21425,3704,0.068
3,Less than $40K,Blue,32,1693,2829,0.861
2,Less than $40K,Blue,39,3003,4378,0.484
1,$40K - $60K,Gold,28,23981,9140,0.061
0,Unknown,Gold,36,34516,2336,0.042
4,$40K - $60K,Blue,43,8346,4141,0.174
3,Less than $40K,Blue,29,1966,4666,0.739
4,Less than $40K,Blue,36,2577,4576,0.563
3,Unknown,Blue,36,12605,1870,0.115
1,Unknown,Blue,47,3803,4575,0.381
2,$60K - $80K,Blue,34,13553,8751,0.107
4,Less than $40K,Blue,30,2925,4455,0.495
0,$60K - $80K,Blue,48,20803,2073,0.07
4,Less than $40K,Blue,51,3545,3691,0.408
4,Less than $40K,Blue,43,3002,4851,0.482
1,$80K - $120K,Blue,36,25215,2588,0.057
3,$40K - $60K,Blue,34,1640,1360,0.88
1,Less than $40K,Blue,36,3466,15075,0.417
3,$40K - $60K,Blue,40,3326,1627,0.434
2,$40K - $60K,Blue,23,7594,15026,0.19
2,Less than $40K,Blue,45,2602,4838,0.554
2,$40K - $60K,Blue,44,2339,893,0.616
1,Less than $40K,Blue,36,6551,2429,0.22
3,$80K - $120K,Blue,35,11814,9185,0.122
3,Unknown,Blue,34,5395,3523,0.267
1,Less than $40K,Blue,54,4599,4208,0.313
4,$80K - $120K,Blue,41,15897,1405,0.09
2,Less than $40K,Blue,34,2395,4481,0.6
3,$40K - $60K,Blue,37,3187,4511,0.451
2,$60K - $80K,Blue,40,11262,2165,0.127
2,$80K - $120K,Blue,22,3023,1920,0.475
2,$120K +,Blue,45,3296,4327,0.435
3,$40K - $60K,Blue,36,9797,1503,0.146
2,Less than $40K,Blue,27,2868,2909,0.5
2,$60K - $80K,Blue,34,6272,4514,0.229
2,$60K - $80K,Blue,41,2966,1986,0.483
4,$80K - $120K,Silver,31,34516,2589,0.042
2,$80K - $120K,Blue,50,10214,4493,0.14
4,$80K - $120K,Blue,39,14290,14709,0.1
2,$80K - $120K,Blue,36,9642,2172,0.148
2,$60K - $80K,Blue,45,2283,1741,0.626
4,$80K - $120K,Blue,35,5589,1570,0.256
2,$60K - $80K,Blue,42,13906,3856,0.103
3,Less than $40K,Blue,33,2001,4509,0.715
0,Less than $40K,Blue,42,2758,5124,0.518
2,Less than $40K,Blue,31,1852,4486,0.771
2,$80K - $120K,Blue,28,19279,1777,0.074
2,$120K +,Blue,42,10306,1456,0.138
5,$60K - $80K,Blue,28,4821,3571,0.296
2,Less than $40K,Blue,43,2124,3210,0.671
3,$40K - $60K,Blue,32,5400,4643,0.264
5,$40K - $60K,Blue,32,14987,4470,0.095
2,Unknown,Blue,28,7147,2539,0.199
2,$40K - $60K,Blue,26,2575,1487,0.553
3,$80K - $120K,Blue,41,11997,4125,0.119
3,$80K - $120K,Blue,43,16393,1461,0.087
4,Less than $40K,Blue,44,2638,4153,0.539
3,Unknown,Blue,30,2420,1362,0.588
0,Unknown,Blue,36,3184,2253,0.446
3,$40K - $60K,Blue,28,3490,3392,0.407
1,Less than $40K,Blue,47,2201,4256,0.645
4,$80K - $120K,Silver,35,34516,14672,0.041
4,$60K - $80K,Blue,35,2527,3585,0.562
3,Less than $40K,Blue,41,2382,4563,0.596
1,Less than $40K,Blue,36,3640,13306,0.39
0,Less than $40K,Blue,19,2834,1598,0.5
3,Less than $40K,Blue,26,2171,1415,0.653
5,$60K - $80K,Blue,27,2742,1539,0.516
2,Less than $40K,Blue,36,3586,2780,0.394
1,$80K - $120K,Blue,45,17628,3991,0.08
3,$80K - $120K,Blue,43,2191,3967,0.645
3,$60K - $80K,Blue,36,3223,13648,0.438
0,Less than $40K,Silver,47,14002,13849,0.101
1,$120K +,Blue,29,14938,1930,0.095
4,Less than $40K,Blue,36,1594,1459,0.885
1,$40K - $60K,Blue,43,1525,1911,0.925
1,Less than $40K,Blue,35,4977,4182,0.284
2,$40K - $60K,Blue,18,7758,569,0.181
5,Less than $40K,Blue,24,2178,5089,0.646
2,$80K - $120K,Blue,40,8695,2030,0.162
4,$60K - $80K,Blue,36,22956,5554,0.061
1,$40K - $60K,Blue,26,2346,4116,0.6
2,Less than $40K,Blue,33,3420,4267,0.411
3,Less than $40K,Blue,36,2615,3785,0.537
