Attrition_Flag,Dependent_count,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Trans_Amt,Avg_Utilization_Ratio
Existing Customer,2,Less than $40K,Blue,43,5945,3598,0.283
Existing Customer,1,Less than $40K,Blue,51,4049,3908,0.416
Existing Customer,4,$40K - $60K,Gold,39,23981,4141,0.07
Existing Customer,2,Less than $40K,Blue,39,8767,8066,0.192
Existing Customer,2,$40K - $60K,Blue,50,5084,4060,0.331
Existing Customer,4,$80K - $120K,Blue,32,26710,14043,0.063
Existing Customer,4,Less than $40K,Blue,41,2340,4751,0.718
Existing Customer,4,$40K - $60K,Blue,36,6121,14224,0.274
Existing Customer,2,$80K - $120K,Blue,36,11656,1441,0.144
Existing Customer,3,$80K - $120K,Blue,36,24742,1306,0.068
Existing Customer,1,$40K - $60K,Blue,49,3106,1512,0.539
Existing Customer,1,$40K - $60K,Silver,41,15845,4037,0.106
Existing Customer,1,Unknown,Blue,56,4235,3862,0.396
Existing Customer,4,$60K - $80K,Blue,36,3263,1251,0.513
Existing Customer,2,$40K - $60K,Blue,38,2497,2922,0.67
Existing Customer,0,$40K - $60K,Blue,40,5450,3722,0.307
Existing Customer,1,$40K - $60K,Blue,46,2284,4885,0.733
Existing Customer,0,$80K - $120K,Blue,36,26882,7409,0.062
Existing Customer,3,$40K - $60K,Blue,41,9336,1391,0.179
Existing Customer,2,Less than $40K,Blue,45,2683,1406,0.623
Existing Customer,3,$60K - $80K,Silver,32,30082,15240,0.056
Existing Customer,1,Unknown,Blue,56,23566,3129,0.071
Existing Customer,4,$40K - $60K,Blue,35,2919,4194,0.572
Existing Customer,3,$40K - $60K,Blue,22,2441,4105,0.684
Existing Customer,3,Less than $40K,Blue,28,7768,1051,0.215
Existing Customer,4,Less than $40K,Blue,36,7940,15445,0.21
Existing Customer,0,Less than $40K,Blue,13,2902,2088,0.575
Existing Customer,1,$80K - $120K,Blue,37,11722,1497,0.142
Existing Customer,3,$60K - $80K,Blue,32,2253,1641,0.74
Existing Customer,3,Unknown,Blue,36,2189,1287,0.761
Existing Customer,3,Unknown,Blue,36,9191,4275,0.181
Existing Customer,3,$60K - $80K,Blue,37,11959,1191,0.139
Existing Customer,3,$40K - $60K,Blue,36,12159,1426,0.137
Existing Customer,3,$40K - $60K,Blue,23,4559,1652,0.365
Existing Customer,3,$80K - $120K,Blue,36,26058,3489,0.064
Existing Customer,2,Less than $40K,Blue,26,2240,4399,0.743
Existing Customer,3,$60K - $80K,Silver,34,34516,4912,0.048
Existing Customer,4,Less than $40K,Blue,36,2932,4795,0.568
Existing Customer,2,Unknown,Blue,40,6610,4735,0.252
Existing Customer,2,$40K - $60K,Blue,36,2396,4569,0.694
Existing Customer,1,$60K - $80K,Gold,36,34516,13578,0.048
Existing Customer,3,$40K - $60K,Blue,37,2793,3247,0.595
Existing Customer,3,$40K - $60K,Blue,33,3376,4629,0.492
Existing Customer,2,Less than $40K,Blue,28,2734,4981,0.608
Existing Customer,3,Less than $40K,Blue,36,3544,15149,0.469
Existing Customer,5,Unknown,Blue,23,24602,1337,0.067
Existing Customer,4,$80K - $120K,Blue,31,31978,2333,0.052
Existing Customer,2,Unknown,Blue,36,5062,4243,0.328
Existing Customer,2,$60K - $80K,Blue,24,3388,13557,0.49
Existing Customer,4,$40K - $60K,Blue,31,2375,1071,0.698
Existing Customer,4,$120K +,Blue,35,34516,2935,0.048
Existing Customer,4,Less than $40K,Blue,25,2684,4657,0.618
Existing Customer,3,Less than $40K,Silver,36,11409,4677,0.145
Existing Customer,3,Unknown,Blue,28,20420,1804,0.081
Existing Customer,4,$80K - $120K,Blue,23,9760,4542,0.17
Existing Customer,3,Unknown,Blue,36,10273,3778,0.161
Existing Customer,4,$80K - $120K,Blue,32,26819,14450,0.062
Existing Customer,3,$80K - $120K,Blue,24,4119,1455,0.402
Existing Customer,4,$40K - $60K,Blue,32,2441,3903,0.678
Existing Customer,1,$40K - $60K,Blue,20,7452,3339,0.222
Existing Customer,3,$120K +,Blue,42,20311,1266,0.081
Existing Customer,3,$80K - $120K,Blue,45,3380,1636,0.49
Existing Customer,0,Less than $40K,Blue,32,3687,2448,0.449
Existing Customer,1,Less than $40K,Blue,40,2493,4473,0.664
Existing Customer,1,$120K +,Blue,48,2456,4468,0.673
Existing Customer,1,Unknown,Blue,56,13860,1910,0.119
Existing Customer,2,$80K - $120K,Blue,22,34516,1283,0.048
Existing Customer,4,$40K - $60K,Blue,39,2680,3382,0.616
Existing Customer,2,$120K +,Silver,35,34516,14738,0.048
Existing Customer,3,$40K - $60K,Blue,33,2485,4351,0.664
Existing Customer,2,Less than $40K,Blue,46,5207,1339,0.317
Existing Customer,2,$40K - $60K,Blue,29,3436,1972,0.48
Existing Customer,4,Less than $40K,Blue,38,2655,4025,0.621
Existing Customer,0,Less than $40K,Blue,50,3426,4467,0.482
Existing Customer,3,Less than $40K,Blue,37,4008,5429,0.412
Existing Customer,3,$40K - $60K,Blue,36,2498,4434,0.661
Existing Customer,2,Less than $40K,Blue,36,2377,1378,0.694
Existing Customer,4,Less than $40K,Blue,44,4737,7802,0.348
Existing Customer,4,$80K - $120K,Blue,32,24244,8074,0.068
Existing Customer,4,$40K - $60K,Blue,30,2485,4208,0.663
Existing Customer,2,$80K - $120K,Blue,44,11332,4674,0.145
Existing Customer,0,Less than $40K,Silver,49,11060,4545,0.149
Existing Customer,5,$60K - $80K,Blue,36,17196,1466,0.096
Existing Customer,1,Less than $40K,Blue,36,4006,5006,0.411
Existing Customer,3,$120K +,Blue,37,7753,3367,0.212
Existing Customer,4,$40K - $60K,Blue,30,6329,8514,0.26
Existing Customer,4,$80K - $120K,Blue,41,26442,1403,0.062
Existing Customer,3,Unknown,Blue,38,5122,1908,0.321
Existing Customer,0,$40K - $60K,Blue,35,9231,4676,0.178
Existing Customer,1,Unknown,Blue,41,2950,4740,0.557
Existing Customer,2,Less than $40K,Blue,21,3624,15824,0.453
Existing Customer,3,$80K - $120K,Blue,36,3919,1872,0.418
Existing Customer,3,$60K - $80K,Blue,48,24589,4291,0.067
Existing Customer,3,$60K - $80K,Blue,29,2576,2568,0.637
Existing Customer,2,Less than $40K,Blue,36,2573,4094,0.637
Existing Customer,1,Less than $40K,Blue,36,6159,13517,0.266
Attrited Customer,3,Less than $40K,Blue,39,8580,1880,0.191
Existing Customer,3,$60K - $80K,Blue,35,14701,3490,0.111
Existing Customer,3,Less than $40K,Blue,34,2786,4532,0.587
Existing Customer,3,Less than $40K,Blue,44,2077,4292,0.787
Existing Customer,4,Unknown,Blue,42,13376,4515,0.122
Existing Customer,2,Less than $40K,Blue,51,2986,2141,0.547
Existing Customer,0,Less than $40K,Blue,23,2498,2048,0.653
Existing Customer,3,$60K - $80K,Blue,36,2179,4025,0.749
Existing Customer,2,$60K - $80K,Silver,26,32349,1343,0.05
Existing Customer,0,Unknown,Blue,13,2608,1822,0.625
Existing Customer,2,$40K - $60K,Blue,37,2811,4275,0.58
Existing Customer,3,$40K - $60K,Blue,36,3908,1903,0.417
Existing Customer,2,$80K - $120K,Blue,27,34516,3448,0.047
Existing Customer,5,Less than $40K,Blue,43,2876,4752,0.566
Existing Customer,2,$40K - $60K,Blue,22,2305,1230,0.706
Existing Customer,1,Less than $40K,Blue,47,2797,1566,0.582
Existing Customer,2,Less than $40K,Blue,31,2306,3776,0.706
Existing Customer,2,Less than $40K,Blue,36,9355,1230,0.174
Existing Customer,3,$80K - $120K,Blue,42,9727,3543,0.167
Existing Customer,1,Less than $40K,Blue,20,3792,1888,0.429
Existing Customer,2,$80K - $120K,Blue,33,23665,4190,0.069
Existing Customer,0,Less than $40K,Blue,36,2550,1870,0.636
Existing Customer,3,Less than $40K,Blue,42,2490,2998,0.652
Existing Customer,1,$40K - $60K,Blue,36,2833,14341,0.573
Existing Customer,0,Less than $40K,Blue,45,2463,4118,0.658
Existing Customer,2,Unknown,Blue,36,2346,4287,0.691
Existing Customer,3,$80K - $120K,Blue,31,12893,2300,0.126
Existing Customer,3,Less than $40K,Blue,47,3733,15200,0.434
Existing Customer,5,Less than $40K,Blue,30,2364,3230,0.685
Existing Customer,3,$60K - $80K,Blue,30,1950,3357,0.83
Existing Customer,1,$60K - $80K,Blue,46,10021,1275,0.161
Existing Customer,0,$40K - $60K,Blue,13,3290,2781,0.491
Existing Customer,1,$80K - $120K,Blue,51,8571,1397,0.189
Existing Customer,0,Unknown,Blue,55,14963,3242,0.108
Existing Customer,5,Less than $40K,Blue,36,2708,4237,0.597
Existing Customer,3,Less than $40K,Blue,29,2584,4045,0.625
Existing Customer,3,Less than $40K,Blue,36,1986,4442,0.813
Existing Customer,3,$60K - $80K,Blue,36,5813,4365,0.278
Existing Customer,3,Less than $40K,Blue,38,2400,1311,0.672
Existing Customer,2,$80K - $120K,Blue,22,11154,4339,0.145
Existing Customer,1,Less than $40K,Blue,44,2602,5532,0.62
Existing Customer,4,Less than $40K,Blue,35,3072,3992,0.524
Existing Customer,2,Less than $40K,Blue,45,2454,4983,0.656
Existing Customer,0,Less than $40K,Blue,49,2833,1335,0.568
Existing Customer,0,$80K - $120K,Blue,36,32791,13177,0.049
Existing Customer,3,Less than $40K,Blue,34,4135,3334,0.388
Attrited Customer,4,$80K - $120K,Blue,36,2367,4506,0.678
Existing Customer,4,$60K - $80K,Blue,34,9261,2468,0.173
Attrited Customer,2,$40K - $60K,Blue,43,1822,2538,0.881
Existing Customer,1,$40K - $60K,Blue,53,3506,1953,0.458
Existing Customer,1,$60K - $80K,Blue,23,5510,1995,0.291
Existing Customer,5,Less than $40K,Blue,38,2601,4835,0.617
Existing Customer,3,Unknown,Blue,37,3052,4210,0.525
Existing Customer,2,$120K +,Blue,21,20056,1687,0.08
Existing Customer,0,Less than $40K,Blue,50,3147,1558,0.509
Existing Customer,2,Less than $40K,Blue,28,2169,5182,0.739
Existing Customer,1,$80K - $120K,Blue,48,2066,1578,0.775
Existing Customer,3,Less than $40K,Blue,48,2897,1337,0.553
Existing Customer,2,$60K - $80K,Blue,34,3269,3966,0.49
Existing Customer,1,$60K - $80K,Blue,21,21952,4087,0.073
Existing Customer,3,Less than $40K,Blue,34,2258,4275,0.709
Existing Customer,0,Unknown,Blue,36,2613,1387,0.612
Existing Customer,1,$60K - $80K,Blue,25,9303,2261,0.172
Existing Customer,5,Less than $40K,Blue,44,3449,1679,0.463
Existing Customer,2,Less than $40K,Blue,41,2115,4450,0.756
Existing Customer,2,Less than $40K,Blue,36,2918,4454,0.547
Existing Customer,2,$120K +,Blue,26,2944,2070,0.542
Existing Customer,3,Less than $40K,Blue,33,6225,4129,0.256
Existing Customer,3,$40K - $60K,Blue,43,5632,3557,0.283
Existing Customer,3,Less than $40K,Blue,35,2435,5268,0.655
Existing Customer,2,$80K - $120K,Blue,22,34516,8871,0.046
Existing Customer,2,Less than $40K,Blue,24,3124,1652,0.51
Attrited Customer,3,Less than $40K,Blue,36,2302,2689,0.692
Existing Customer,2,$40K - $60K,Blue,29,4938,4516,0.323
Existing Customer,2,Less than $40K,Blue,36,2717,2064,0.586
Existing Customer,2,Less than $40K,Blue,48,4366,1596,0.364
Existing Customer,3,$40K - $60K,Blue,44,2578,4683,0.617
Existing Customer,2,$80K - $120K,Blue,36,6713,7946,0.237
Existing Customer,2,$60K - $80K,Blue,37,2608,2073,0.609
Existing Customer,3,Less than $40K,Blue,36,2723,4307,0.583
Existing Customer,2,$120K +,Silver,43,34516,7512,0.046
Existing Customer,4,$60K - $80K,Silver,39,33122,3145,0.048
Existing Customer,3,Less than $40K,Blue,35,2555,4193,0.621
Existing Customer,4,Unknown,Blue,44,18206,1439,0.087
Existing Customer,1,$40K - $60K,Blue,18,4583,2395,0.346
Existing Customer,4,$60K - $80K,Blue,36,10998,2237,0.144
Existing Customer,2,$60K - $80K,Blue,45,2480,3438,0.639
Existing Customer,2,$60K - $80K,Silver,30,26556,3168,0.06
Existing Customer,1,Less than $40K,Silver,17,13431,2338,0.118
Existing Customer,1,$80K - $120K,Blue,42,34516,12192,0.046
Existing Customer,3,$80K - $120K,Blue,40,12945,3369,0.122
Existing Customer,3,Unknown,Blue,36,8279,4419,0.191
Existing Customer,4,$60K - $80K,Blue,44,3343,1545,0.473
Existing Customer,1,$60K - $80K,Blue,27,19900,3948,0.079
Existing Customer,1,Less than $40K,Silver,35,10514,1229,0.15
Existing Customer,0,Unknown,Blue,55,2508,1607,0.63
Existing Customer,3,Less than $40K,Silver,40,13991,4100,0.113
Existing Customer,3,$80K - $120K,Blue,33,9303,7825,0.17
Existing Customer,4,Less than $40K,Blue,46,4430,4833,0.356
Existing Customer,1,Less than $40K,Blue,36,9433,3910,0.167
Existing Customer,4,Less than $40K,Blue,36,4277,1855,0.369
Attrited Customer,3,Less than $40K,Blue,36,1606,2418,0.983
Existing Customer,4,Less than $40K,Blue,38,4120,4792,0.383
Existing Customer,2,$60K - $80K,Blue,45,2021,5298,0.781
Existing Customer,3,$60K - $80K,Blue,37,5731,1554,0.275
Existing Customer,3,$80K - $120K,Blue,36,8029,1094,0.196
Existing Customer,1,Unknown,Blue,28,3518,2121,0.448
Existing Customer,2,Less than $40K,Blue,41,2092,5124,0.753
Existing Customer,1,Less than $40K,Blue,50,4507,1793,0.349
Existing Customer,4,Unknown,Blue,40,7600,4240,0.207
Existing Customer,3,$40K - $60K,Blue,35,6330,3029,0.248
Existing Customer,4,$80K - $120K,Blue,36,21751,8332,0.072
Existing Customer,1,Less than $40K,Blue,36,5257,2822,0.299
Existing Customer,4,$40K - $60K,Blue,40,3065,1130,0.512
Existing Customer,1,Less than $40K,Blue,48,6814,1339,0.23
Existing Customer,4,$80K - $120K,Blue,38,3798,4512,0.413
Existing Customer,3,$80K - $120K,Blue,41,10448,1604,0.15
Existing Customer,1,Less than $40K,Blue,53,2192,4010,0.716
Existing Customer,1,Unknown,Blue,36,3967,1657,0.395
Existing Customer,3,$120K +,Blue,36,3404,2406,0.461
Existing Customer,0,Less than $40K,Blue,36,2665,2514,0.588
Existing Customer,0,Less than $40K,Blue,17,2042,5146,0.767
Existing Customer,4,Less than $40K,Blue,36,2470,5011,0.634
Existing Customer,3,$80K - $120K,Blue,36,29770,1774,0.053
Existing Customer,2,$40K - $60K,Blue,29,11135,8777,0.14
Existing Customer,2,$40K - $60K,Blue,35,4505,3968,0.347
Existing Customer,2,$60K - $80K,Blue,23,4761,2045,0.328
Existing Customer,2,Less than $40K,Blue,32,2540,5039,0.615
Existing Customer,2,$60K - $80K,Blue,44,7819,1582,0.2
Existing Customer,5,Less than $40K,Blue,39,7128,1468,0.219
Existing Customer,1,$60K - $80K,Blue,43,22036,2139,0.071
Existing Customer,3,$40K - $60K,Blue,28,3250,4673,0.48
Existing Customer,0,$40K - $60K,Blue,36,10962,2724,0.142
Existing Customer,2,$40K - $60K,Blue,36,2208,4686,0.706
Existing Customer,4,$60K - $80K,Platinum,26,34516,8888,0.045
Existing Customer,5,Less than $40K,Blue,49,4132,14781,0.377
Existing Customer,5,Less than $40K,Blue,36,2679,4756,0.582
Attrited Customer,3,Unknown,Blue,42,3802,2003,0.41
Existing Customer,3,$80K - $120K,Blue,38,8185,4527,0.19
Existing Customer,2,$40K - $60K,Blue,37,5562,4568,0.28
Existing Customer,2,Less than $40K,Blue,28,3311,14470,0.47
Existing Customer,3,Unknown,Blue,37,4703,4127,0.331
Existing Customer,2,Unknown,Blue,31,19033,16033,0.082
Existing Customer,3,$40K - $60K,Blue,36,9599,1154,0.162
Existing Customer,1,$60K - $80K,Blue,41,2432,3670,0.639
Existing Customer,4,Less than $40K,Gold,34,15569,4566,0.1
Existing Customer,4,$60K - $80K,Blue,51,2001,1910,0.776
Attrited Customer,4,$60K - $80K,Blue,35,20178,1735,0.077
Existing Customer,3,Less than $40K,Blue,31,2222,3302,0.698
Existing Customer,4,$40K - $60K,Blue,38,8327,4428,0.186
Existing Customer,3,$40K - $60K,Blue,46,2791,5440,0.555
Existing Customer,3,Unknown,Blue,41,4169,4519,0.372
Existing Customer,4,Unknown,Blue,34,8110,8033,0.191
Existing Customer,2,Less than $40K,Blue,40,8416,13988,0.184
Existing Customer,1,$80K - $120K,Blue,32,34516,15151,0.045
Existing Customer,3,Less than $40K,Blue,36,2281,4384,0.679
Attrited Customer,4,$80K - $120K,Blue,30,5639,647,0.274
Existing Customer,3,$40K - $60K,Blue,28,8995,2398,0.172
Existing Customer,3,$40K - $60K,Blue,23,2148,2167,0.719
Existing Customer,1,$60K - $80K,Blue,36,2507,1999,0.616
Existing Customer,2,Less than $40K,Blue,36,1996,3760,0.774
Attrited Customer,3,$60K - $80K,Blue,36,1659,1920,0.931
Existing Customer,4,$40K - $60K,Blue,36,2072,1265,0.745
Existing Customer,3,$60K - $80K,Gold,34,34516,13967,0.045
Existing Customer,3,Less than $40K,Blue,36,3880,1598,0.397
Existing Customer,3,$80K - $120K,Blue,36,34516,1770,0.045
Existing Customer,1,$40K - $60K,Blue,15,2109,2261,0.731
Existing Customer,0,Less than $40K,Blue,48,2628,4335,0.587
Existing Customer,3,Less than $40K,Blue,35,2066,4887,0.746
Existing Customer,2,Unknown,Blue,42,21498,13015,0.072
Existing Customer,3,$40K - $60K,Blue,47,1929,2354,0.798
Existing Customer,2,$80K - $120K,Blue,34,12518,1165,0.123
Existing Customer,4,$80K - $120K,Blue,39,5106,3784,0.301
Existing Customer,1,Less than $40K,Blue,39,1773,4087,0.868
Existing Customer,3,Less than $40K,Blue,32,2648,4926,0.581
Existing Customer,1,Less than $40K,Blue,42,2210,4937,0.696
Existing Customer,1,$40K - $60K,Blue,31,4553,4999,0.338
Existing Customer,3,$40K - $60K,Blue,24,8495,1950,0.181
Existing Customer,1,$40K - $60K,Blue,53,6960,3112,0.221
Existing Customer,2,$60K - $80K,Blue,45,6385,1612,0.24
Existing Customer,2,$60K - $80K,Blue,36,23058,7009,0.067
Existing Customer,2,$40K - $60K,Blue,32,2683,2373,0.571
Existing Customer,1,Less than $40K,Blue,46,2799,4214,0.547
Existing Customer,2,$60K - $80K,Blue,36,6024,15763,0.254
Existing Customer,4,Less than $40K,Blue,36,3961,12631,0.387
Existing Customer,2,Unknown,Blue,27,10723,2938,0.143
Existing Customer,1,$120K +,Blue,25,5764,1972,0.265
Existing Customer,3,Unknown,Blue,29,11327,2033,0.135
Existing Customer,4,Unknown,Blue,34,12778,3337,0.12
Attrited Customer,3,$80K - $120K,Blue,30,13590,2137,0.112
Existing Customer,2,Less than $40K,Blue,49,1857,4681,0.823
Existing Customer,1,$40K - $60K,Blue,36,2721,4622,0.561
Existing Customer,1,$40K - $60K,Silver,53,15928,14678,0.096
Existing Customer,2,Unknown,Silver,27,33779,15200,0.045
Existing Customer,4,$40K - $60K,Blue,43,1965,4671,0.776
Existing Customer,3,Less than $40K,Blue,30,2865,4609,0.532
Existing Customer,3,Less than $40K,Blue,27,2917,4878,0.522
Existing Customer,2,Less than $40K,Silver,24,10272,14321,0.148
Existing Customer,5,Less than $40K,Silver,36,11280,16237,0.135
Existing Customer,2,$80K - $120K,Blue,35,2514,1636,0.605
Attrited Customer,1,Less than $40K,Blue,43,1665,2878,0.914
Existing Customer,1,$60K - $80K,Blue,44,2173,1485,0.699
Existing Customer,1,Less than $40K,Silver,36,10353,15028,0.147
Existing Customer,5,$40K - $60K,Blue,34,14281,1164,0.106
Existing Customer,3,$60K - $80K,Blue,44,19272,3398,0.079
Existing Customer,3,Less than $40K,Blue,28,5216,3434,0.291
Existing Customer,2,$80K - $120K,Blue,43,31258,2866,0.049
Existing Customer,1,$120K +,Blue,50,16254,2502,0.093
Existing Customer,3,Less than $40K,Blue,40,9230,14082,0.164
Existing Customer,2,Less than $40K,Blue,23,8940,14459,0.17
Existing Customer,3,$60K - $80K,Blue,36,5497,1981,0.276
Existing Customer,1,Unknown,Blue,43,1828,4542,0.83
