Visitor_Age,Visitor_Gender,Visitor_Nationality,Travel_Purpose,Group_Size,Accommodation_Type,Length_of_Stay_Days,Room_Type,Booking_Channel,Daily_Spending_SGD,Accommodation_Cost_SGD,Satisfaction_Rating,Service_Quality_Rating,Likelihood_to_Return,Visit_Date,Departure_Date,Season,Travel_With_Children,Special_Requests,Previous_Visits
61,Female,Others,Visiting Friends/Relatives,1,Hotel,3,Suite,Direct Booking,724.09,2172.27,2.5,2.4,High,2021-02-21,2021-02-24 00:00:00,Peak,Yes,Yes,4
20,Female,Chinese,Leisure,6,Others,20,Standard,Direct Booking,586.77,11735.4,4.2,2.6,High,2021-02-22,2021-03-14 00:00:00,Off-Peak,Yes,Yes,0
49,Female,British,Visiting Friends/Relatives,8,Private Home,25,Deluxe,Direct Booking,273.02,6825.5,2.2,2.4,Moderate,2021-02-23,2021-03-20 00:00:00,Off-Peak,Yes,No,1
73,Male,Others,Transit,1,Private Home,29,Suite,Direct Booking,548.34,15901.86,2.4,3.9,None,2021-02-24,2021-03-25 00:00:00,Peak,No,Yes,0
23,Male,British,Business,9,Serviced Apartment,7,Suite,Direct Booking,552.29,3866.03,3.1,4.8,High,2021-02-25,2021-03-04 00:00:00,Peak,Yes,Yes,3
55,Male,Others,Leisure,7,Others,14,Standard,Online,611.3,8558.2,4.5,4.7,None,2021-02-26,2021-03-12 00:00:00,Off-Peak,Yes,Yes,3
54,Female,Others,Business,8,Serviced Apartment,19,Deluxe,Online,302.17,5741.23,3.5,4.6,None,2021-02-28,2021-03-19 00:00:00,Off-Peak,No,Yes,3
22,Male,British,Transit,4,Others,13,Suite,Online,783.98,10191.74,2,2.5,Low,2021-03-01,2021-03-14 00:00:00,Peak,No,No,0
62,Female,American,Leisure,8,Private Home,7,Standard,Online,439.61,3077.27,5,4.8,High,2021-03-02,2021-03-09 00:00:00,Peak,No,Yes,0
49,Female,Others,Business,5,Hotel,26,Deluxe,Travel Agency,444.75,11563.5,2.2,2.8,High,2021-03-03,2021-03-29 00:00:00,Peak,Yes,No,3
64,Male,American,Transit,5,Hotel,27,Suite,Travel Agency,274.29,7405.83,3,5,Low,2021-03-04,2021-03-31 00:00:00,Off-Peak,No,Yes,4
56,Female,Chinese,Business,3,Others,24,Deluxe,Travel Agency,586.55,14077.2,3.5,1.9,None,2021-03-05,2021-03-29 00:00:00,Peak,No,No,1
71,Male,Indian,Visiting Friends/Relatives,8,Hotel,14,Suite,Online,444.54,6223.56,1.5,2.4,High,2021-03-06,2021-03-20 00:00:00,Off-Peak,Yes,Yes,2
55,Female,Others,Business,8,Serviced Apartment,5,Suite,Direct Booking,521.4,2607,2.1,2,Low,2021-03-07,2021-03-12 00:00:00,Peak,No,Yes,4
49,Male,Australian,Leisure,3,Serviced Apartment,21,Deluxe,Travel Agency,507.6,10659.6,3.2,4.9,None,2021-03-08,2021-03-29 00:00:00,Off-Peak,No,Yes,4
59,Male,Chinese,Business,6,Private Home,17,Standard,Direct Booking,937,15929,3.2,1.4,Low,2021-03-09,2021-03-26 00:00:00,Off-Peak,No,Yes,4
39,Male,Indian,Transit,7,Serviced Apartment,5,Standard,Travel Agency,60.7,303.5,1.8,4.6,Moderate,2021-03-10,2021-03-15 00:00:00,Off-Peak,Yes,No,2
67,Female,Others,Business,3,Others,22,Suite,Online,325.62,7163.64,3,3.5,High,2021-03-12,2021-04-03 00:00:00,Off-Peak,Yes,Yes,2
70,Female,Chinese,Transit,2,Hostel,8,Deluxe,Online,261.89,2095.12,4.1,1.3,None,2021-03-13,2021-03-21 00:00:00,Peak,No,No,2
78,Male,Others,Business,5,Others,15,Deluxe,Travel Agency,581.85,8727.75,2.7,1.4,None,2021-03-14,2021-03-29 00:00:00,Off-Peak,No,No,3
77,Male,Indian,Visiting Friends/Relatives,6,Hostel,20,Deluxe,Travel Agency,456.23,9124.6,2.6,4,Low,2021-03-15,2021-04-04 00:00:00,Peak,No,No,3
26,Male,American,Transit,1,Others,15,Deluxe,Travel Agency,609.23,9138.45,3,2.4,None,2021-03-16,2021-03-31 00:00:00,Peak,Yes,Yes,3
58,Female,American,Leisure,6,Serviced Apartment,4,Suite,Online,416.43,1665.72,1,1.6,None,2021-03-17,2021-03-21 00:00:00,Off-Peak,No,No,4
23,Female,Chinese,Business,3,Hotel,29,Standard,Travel Agency,978.57,28378.53,3.2,3.6,Moderate,2021-03-18,2021-04-16 00:00:00,Peak,No,No,3
37,Female,British,Visiting Friends/Relatives,7,Serviced Apartment,24,Suite,Online,187.78,4506.72,3.4,1.9,Low,2021-03-19,2021-04-12 00:00:00,Off-Peak,Yes,No,2
51,Female,Chinese,Leisure,8,Hostel,20,Standard,Travel Agency,948.59,18971.8,2,3.2,High,2021-03-20,2021-04-09 00:00:00,Peak,Yes,Yes,3
63,Female,British,Leisure,9,Hotel,9,Deluxe,Online,278.38,2505.42,3.4,1.4,High,2021-03-21,2021-03-30 00:00:00,Peak,Yes,Yes,3
53,Female,British,Visiting Friends/Relatives,2,Private Home,5,Suite,Travel Agency,648.14,3240.7,1.4,1.2,Moderate,2021-03-23,2021-03-28 00:00:00,Off-Peak,No,Yes,1
60,Male,Chinese,Leisure,6,Serviced Apartment,23,Suite,Online,871.44,20043.12,3.8,4.5,Moderate,2021-03-24,2021-04-16 00:00:00,Off-Peak,No,No,3
49,Male,Australian,Leisure,7,Others,24,Standard,Direct Booking,457.46,10979.04,3.5,2,High,2021-03-25,2021-04-18 00:00:00,Peak,No,Yes,1
40,Female,American,Transit,8,Hotel,12,Standard,Online,742.98,8915.76,1.8,1.9,Low,2021-03-26,2021-04-07 00:00:00,Off-Peak,Yes,No,1
75,Female,Australian,Leisure,5,Hostel,21,Suite,Direct Booking,524.21,11008.41,4.4,3.8,None,2021-03-27,2021-04-17 00:00:00,Off-Peak,No,Yes,1
58,Female,Australian,Transit,8,Private Home,26,Deluxe,Travel Agency,306.06,7957.56,1.3,3.5,None,2021-03-28,2021-04-23 00:00:00,Peak,No,No,2
51,Male,British,Leisure,3,Private Home,3,Suite,Online,196.56,589.68,4.2,4.5,Low,2021-03-29,2021-04-01 00:00:00,Off-Peak,Yes,Yes,0
69,Male,British,Leisure,4,Hotel,6,Standard,Travel Agency,212.8,1276.8,2,3,High,2021-03-30,2021-04-05 00:00:00,Peak,No,No,4
72,Male,American,Business,8,Others,25,Deluxe,Direct Booking,981.35,24533.75,2,2.4,None,2021-03-31,2021-04-25 00:00:00,Off-Peak,No,No,1
77,Male,Others,Business,9,Private Home,25,Standard,Direct Booking,814.61,20365.25,2.7,1.9,Moderate,2021-04-01,2021-04-26 00:00:00,Off-Peak,Yes,Yes,4
26,Male,Chinese,Leisure,8,Others,3,Suite,Travel Agency,87.18,261.54,1.4,3.3,Low,2021-04-02,2021-04-05 00:00:00,Off-Peak,No,Yes,2
59,Female,British,Leisure,1,Hostel,7,Suite,Direct Booking,973.83,6816.81,3.6,3.3,Moderate,2021-04-04,2021-04-11 00:00:00,Peak,Yes,Yes,3
73,Male,Australian,Visiting Friends/Relatives,5,Hotel,6,Deluxe,Online,765.4,4592.4,3.6,1.5,Moderate,2021-04-05,2021-04-11 00:00:00,Peak,No,Yes,0
32,Male,American,Transit,8,Others,19,Standard,Direct Booking,934.68,17758.92,2,1.9,Moderate,2021-04-06,2021-04-25 00:00:00,Off-Peak,No,No,0
25,Female,British,Leisure,7,Others,27,Deluxe,Online,75.94,2050.38,3.6,4,Low,2021-04-07,2021-05-04 00:00:00,Off-Peak,Yes,No,0
77,Male,American,Leisure,5,Hotel,14,Suite,Direct Booking,749.57,10493.98,1.6,1.4,High,2021-04-08,2021-04-22 00:00:00,Off-Peak,No,No,4
72,Male,Chinese,Transit,1,Others,4,Suite,Online,482.25,1929,1.3,3.4,Low,2021-04-09,2021-04-13 00:00:00,Peak,No,No,2
65,Male,American,Transit,2,Others,21,Standard,Direct Booking,133.83,2810.43,1.2,1,Moderate,2021-04-10,2021-05-01 00:00:00,Peak,Yes,No,4
38,Male,Others,Leisure,4,Hotel,6,Standard,Travel Agency,529.27,3175.62,2.2,4.6,None,2021-04-11,2021-04-17 00:00:00,Peak,Yes,No,1
63,Female,Australian,Visiting Friends/Relatives,6,Serviced Apartment,17,Standard,Direct Booking,910.41,15476.97,3,1.1,High,2021-04-12,2021-04-29 00:00:00,Peak,No,No,3
52,Female,Others,Leisure,1,Hotel,18,Suite,Online,877.07,15787.26,3,3.5,High,2021-04-13,2021-05-01 00:00:00,Off-Peak,Yes,Yes,1
26,Female,American,Transit,9,Hotel,6,Standard,Online,561.61,3369.66,2.3,1.4,Low,2021-04-15,2021-04-21 00:00:00,Off-Peak,Yes,No,4
19,Male,Indian,Leisure,2,Private Home,27,Deluxe,Travel Agency,703.41,18992.07,4.9,4,High,2021-04-16,2021-05-13 00:00:00,Off-Peak,Yes,Yes,4
72,Female,Australian,Leisure,6,Private Home,11,Deluxe,Direct Booking,122.05,1342.55,3.2,1.5,Low,2021-04-17,2021-04-28 00:00:00,Off-Peak,Yes,Yes,2
72,Female,Chinese,Business,7,Others,23,Suite,Online,635.73,14621.79,2.6,2.4,Low,2021-04-18,2021-05-11 00:00:00,Off-Peak,Yes,No,2
59,Male,American,Leisure,1,Hostel,28,Suite,Travel Agency,794.67,22250.76,3.1,3.3,Moderate,2021-04-19,2021-05-17 00:00:00,Peak,No,No,0
66,Female,Australian,Visiting Friends/Relatives,6,Serviced Apartment,8,Suite,Online,178.71,1429.68,1.6,2.2,None,2021-04-20,2021-04-28 00:00:00,Off-Peak,No,No,0
44,Male,Others,Business,4,Hostel,16,Standard,Travel Agency,948.62,15177.92,3.3,2.9,Low,2021-04-21,2021-05-07 00:00:00,Off-Peak,Yes,No,3
61,Male,Chinese,Leisure,8,Others,14,Standard,Travel Agency,252.25,3531.5,1.7,1.9,Moderate,2021-04-22,2021-05-06 00:00:00,Peak,No,Yes,3
76,Female,Chinese,Business,1,Serviced Apartment,18,Suite,Direct Booking,255.86,4605.48,1.6,2.2,High,2021-04-23,2021-05-11 00:00:00,Peak,Yes,Yes,3
75,Female,Indian,Business,7,Private Home,27,Suite,Online,300.26,8107.02,2.9,3.3,High,2021-04-24,2021-05-21 00:00:00,Peak,Yes,Yes,4
34,Female,American,Visiting Friends/Relatives,8,Others,29,Suite,Direct Booking,704.15,20420.35,1.5,4.8,High,2021-04-25,2021-05-24 00:00:00,Off-Peak,Yes,Yes,1
39,Female,Australian,Leisure,6,Others,8,Suite,Direct Booking,197.45,1579.6,1,2.5,Moderate,2021-04-27,2021-05-05 00:00:00,Peak,Yes,Yes,0
19,Female,British,Business,1,Serviced Apartment,21,Standard,Direct Booking,952.13,19994.73,3.2,3.8,None,2021-04-28,2021-05-19 00:00:00,Off-Peak,Yes,Yes,4
65,Male,Australian,Transit,8,Serviced Apartment,25,Standard,Travel Agency,384.67,9616.75,3.6,1.6,High,2021-04-29,2021-05-24 00:00:00,Peak,No,No,3
75,Female,American,Visiting Friends/Relatives,9,Hotel,16,Deluxe,Travel Agency,400.9,6414.4,2.7,5,None,2021-04-30,2021-05-16 00:00:00,Peak,Yes,No,1
46,Female,Indian,Visiting Friends/Relatives,7,Hotel,1,Deluxe,Direct Booking,224.31,224.31,2.8,1,High,2021-05-01,2021-05-02 00:00:00,Peak,Yes,Yes,3
59,Female,Chinese,Visiting Friends/Relatives,3,Hostel,27,Standard,Direct Booking,969.61,26179.47,1.6,2.2,High,2021-05-02,2021-05-29 00:00:00,Peak,No,Yes,2
34,Male,Australian,Business,1,Private Home,9,Standard,Direct Booking,441.65,3974.85,1.9,2.1,Low,2021-05-03,2021-05-12 00:00:00,Peak,No,No,4
52,Male,British,Leisure,4,Private Home,2,Deluxe,Travel Agency,547.2,1094.4,1,3.4,None,2021-05-04,2021-05-06 00:00:00,Peak,No,Yes,1
54,Male,American,Business,3,Hotel,10,Deluxe,Online,602.93,6029.3,2.3,1.3,High,2021-05-05,2021-05-15 00:00:00,Peak,Yes,No,3
48,Female,Chinese,Transit,3,Private Home,6,Suite,Travel Agency,874.02,5244.12,1.8,3.8,Moderate,2021-05-06,2021-05-12 00:00:00,Off-Peak,No,Yes,4
77,Female,British,Visiting Friends/Relatives,5,Serviced Apartment,11,Suite,Direct Booking,232.04,2552.44,4.3,3.7,Low,2021-05-08,2021-05-19 00:00:00,Peak,Yes,Yes,3
46,Female,Others,Transit,2,Others,18,Suite,Online,330.06,5941.08,2.1,2.9,High,2021-05-09,2021-05-27 00:00:00,Off-Peak,Yes,No,4
48,Female,Australian,Business,4,Hotel,19,Suite,Online,630.81,11985.39,1.9,2.2,High,2021-05-10,2021-05-29 00:00:00,Off-Peak,Yes,Yes,3
62,Male,Chinese,Leisure,7,Private Home,11,Suite,Online,742.16,8163.76,2.2,4.9,High,2021-05-11,2021-05-22 00:00:00,Off-Peak,No,Yes,2
22,Male,Others,Business,2,Hostel,12,Suite,Direct Booking,275.12,3301.44,3.6,4.8,None,2021-05-12,2021-05-24 00:00:00,Off-Peak,No,Yes,3
55,Female,Others,Visiting Friends/Relatives,3,Private Home,11,Standard,Online,191.34,2104.74,1.9,4.3,High,2021-05-13,2021-05-24 00:00:00,Peak,No,No,3
56,Male,British,Business,7,Private Home,26,Deluxe,Travel Agency,596.83,15517.58,2.5,4.8,High,2021-05-14,2021-06-09 00:00:00,Off-Peak,No,No,1
31,Female,British,Business,8,Others,24,Deluxe,Direct Booking,332.05,7969.2,2.8,2.2,None,2021-05-15,2021-06-08 00:00:00,Off-Peak,No,No,4
19,Male,Australian,Transit,2,Private Home,23,Standard,Travel Agency,689.74,15864.02,4.6,4.8,None,2021-05-16,2021-06-08 00:00:00,Off-Peak,No,Yes,1
37,Female,Australian,Business,1,Hotel,21,Standard,Online,525.62,11038.02,4.4,2.8,Moderate,2021-05-17,2021-06-07 00:00:00,Off-Peak,Yes,Yes,3
21,Male,Others,Transit,7,Others,7,Deluxe,Travel Agency,865.28,6056.96,2,4.6,Low,2021-05-18,2021-05-25 00:00:00,Off-Peak,No,Yes,0
74,Female,British,Visiting Friends/Relatives,3,Hotel,7,Deluxe,Travel Agency,554.39,3880.73,1.2,4.5,High,2021-05-20,2021-05-27 00:00:00,Off-Peak,No,Yes,3
72,Male,Australian,Leisure,6,Others,21,Deluxe,Online,98.26,2063.46,3.1,1,Moderate,2021-05-21,2021-06-11 00:00:00,Off-Peak,No,Yes,1
64,Male,Others,Leisure,7,Hotel,21,Suite,Travel Agency,526.93,11065.53,4.6,4.1,Moderate,2021-05-22,2021-06-12 00:00:00,Off-Peak,Yes,No,0
51,Female,British,Leisure,9,Serviced Apartment,18,Standard,Travel Agency,344.15,6194.7,3.2,1.7,Low,2021-05-23,2021-06-10 00:00:00,Peak,No,Yes,1
22,Male,Others,Business,7,Hotel,26,Suite,Travel Agency,858.89,22331.14,1.4,1.2,Low,2021-05-24,2021-06-19 00:00:00,Peak,Yes,No,1
54,Female,American,Visiting Friends/Relatives,8,Hotel,24,Deluxe,Online,799.68,19192.32,3.6,4.9,High,2021-05-25,2021-06-18 00:00:00,Peak,Yes,No,4
72,Male,Australian,Visiting Friends/Relatives,7,Hotel,26,Suite,Online,360.63,9376.38,2.2,4.2,Moderate,2021-05-26,2021-06-21 00:00:00,Off-Peak,No,Yes,4
23,Female,Indian,Business,5,Serviced Apartment,26,Deluxe,Direct Booking,501.66,13043.16,2.8,3.9,None,2021-05-27,2021-06-22 00:00:00,Off-Peak,Yes,Yes,1
33,Female,Others,Leisure,7,Others,18,Deluxe,Direct Booking,623.83,11228.94,1.8,2.7,None,2021-05-28,2021-06-15 00:00:00,Off-Peak,Yes,No,2
63,Male,British,Transit,6,Private Home,10,Deluxe,Online,351.58,3515.8,2.4,1.7,Low,2021-05-29,2021-06-08 00:00:00,Peak,No,No,0
59,Male,Chinese,Leisure,2,Hotel,9,Deluxe,Online,332.83,2995.47,1.1,1.6,Moderate,2021-05-31,2021-06-09 00:00:00,Peak,Yes,Yes,1
67,Female,Others,Leisure,7,Others,14,Standard,Online,489.56,6853.84,4.5,4.2,Low,2021-06-01,2021-06-15 00:00:00,Peak,No,Yes,1
69,Female,Chinese,Visiting Friends/Relatives,3,Serviced Apartment,13,Suite,Direct Booking,573.67,7457.71,3.2,4.5,None,2021-06-02,2021-06-15 00:00:00,Off-Peak,No,Yes,2
39,Male,Chinese,Visiting Friends/Relatives,8,Private Home,28,Standard,Online,323.52,9058.56,4.4,4.8,Moderate,2021-06-03,2021-07-01 00:00:00,Off-Peak,Yes,No,0
32,Female,Others,Visiting Friends/Relatives,1,Hotel,18,Standard,Travel Agency,295.88,5325.84,3.5,1.3,High,2021-06-04,2021-06-22 00:00:00,Peak,No,Yes,0
38,Female,British,Transit,9,Others,9,Deluxe,Travel Agency,685.72,6171.48,3.2,1.2,Moderate,2021-06-05,2021-06-14 00:00:00,Peak,Yes,Yes,0
62,Male,Others,Leisure,1,Others,25,Standard,Online,135.91,3397.75,2.1,2.9,Low,2021-06-06,2021-07-01 00:00:00,Peak,Yes,Yes,4
61,Male,Indian,Business,4,Hostel,7,Suite,Direct Booking,959.58,6717.06,1.5,2.5,Low,2021-06-07,2021-06-14 00:00:00,Off-Peak,Yes,No,4
45,Male,Others,Leisure,5,Hostel,5,Standard,Direct Booking,494.34,2471.7,1.1,1.6,Moderate,2021-06-08,2021-06-13 00:00:00,Off-Peak,No,No,3
49,Female,Others,Leisure,5,Others,27,Suite,Travel Agency,641.7,17325.9,4.4,2.9,High,2021-06-09,2021-07-06 00:00:00,Off-Peak,Yes,Yes,0
41,Male,American,Visiting Friends/Relatives,1,Private Home,29,Suite,Travel Agency,955.44,27707.76,3.4,4.6,None,2021-06-10,2021-07-09 00:00:00,Peak,No,No,2
62,Male,Chinese,Business,2,Private Home,17,Suite,Online,508.89,8651.13,2.5,2.4,Low,2021-06-12,2021-06-29 00:00:00,Off-Peak,No,No,1
28,Female,Chinese,Business,2,Others,14,Suite,Online,570.77,7990.78,3.3,4.9,High,2021-06-13,2021-06-27 00:00:00,Off-Peak,No,No,1
59,Female,British,Transit,2,Hotel,18,Suite,Travel Agency,719.61,12952.98,2.8,2,Low,2021-06-14,2021-07-02 00:00:00,Peak,No,Yes,1
70,Female,Australian,Leisure,3,Hotel,9,Standard,Direct Booking,281.99,2537.91,3.7,3,Low,2021-06-15,2021-06-24 00:00:00,Off-Peak,No,No,2
53,Female,Australian,Leisure,5,Serviced Apartment,11,Standard,Direct Booking,534.61,5880.71,3,2.8,None,2021-06-16,2021-06-27 00:00:00,Off-Peak,Yes,No,2
71,Male,British,Transit,1,Others,19,Standard,Online,718.61,13653.59,4.9,3.1,High,2021-06-17,2021-07-06 00:00:00,Off-Peak,No,No,0
36,Male,British,Business,5,Others,1,Deluxe,Online,295.98,295.98,1.7,4,Low,2021-06-18,2021-06-19 00:00:00,Peak,No,Yes,2
63,Female,Others,Business,8,Private Home,24,Standard,Travel Agency,989.99,23759.76,3.5,1.7,Low,2021-06-19,2021-07-13 00:00:00,Off-Peak,Yes,Yes,1
53,Female,British,Visiting Friends/Relatives,7,Hotel,8,Deluxe,Direct Booking,183.14,1465.12,4.4,5,High,2021-06-20,2021-06-28 00:00:00,Off-Peak,No,No,4
