Crime_Type,Incident_Date,Location,Report_Time,Weapon_Used,Victim_Age,Victim_Gender,Victim_Nationality,Offender_Age,Offender_Gender,Offender_Nationality,Previous_Offenses,Charges_Filed,Case_Outcome,Crime_Severity,Reported_to_Police,Public_Area,CCTV_Coverage,Community_Watch_Program
Burglary,2021-01-30 13:37:17,South,2021-01-30 13:38:17,None,19,Male,Others,52,Female,Singaporean,6,No,Dismissed,Moderate,No,Yes,No,Yes
Fraud,2021-01-31 15:54:14,North,2021-01-31 16:20:14,Knife,51,Male,Indonesian,42,Female,Malaysian,9,No,Dismissed,Moderate,Yes,No,Yes,Yes
Assault,2021-02-01 18:11:10,North,2021-02-01 18:34:10,Other,55,Male,Indian,78,Male,Others,9,Yes,Convicted,Moderate,No,No,Yes,Yes
Others,2021-02-02 20:28:06,South,2021-02-02 21:00:06,Other,42,Female,Malaysian,71,Male,Others,2,No,Pending,Minor,No,Yes,Yes,Yes
Burglary,2021-02-03 22:45:02,East,2021-02-03 23:42:02,Other,59,Male,Indian,52,Male,Malaysian,2,Yes,Pending,Moderate,No,Yes,No,Yes
Fraud,2021-02-05 01:01:58,North,2021-02-05 01:54:58,Other,34,Female,Others,49,Female,Indian,8,No,Pending,Moderate,Yes,Yes,No,Yes
Assault,2021-02-06 03:18:55,North,2021-02-06 03:26:55,None,43,Male,Malaysian,30,Male,Malaysian,8,Yes,Acquitted,Major,Yes,Yes,No,Yes
Vandalism,2021-02-07 05:35:51,North,2021-02-07 06:21:51,Knife,54,Male,Indian,79,Male,Indian,4,No,Dismissed,Minor,No,No,No,Yes
Theft,2021-02-08 07:52:47,East,2021-02-08 08:18:47,Knife,58,Male,Indian,72,Male,Malaysian,6,Yes,Pending,Major,No,Yes,Yes,No
Assault,2021-02-09 10:09:43,East,2021-02-09 10:55:43,None,60,Male,Others,28,Female,Singaporean,9,No,Dismissed,Major,Yes,No,No,No
Others,2021-02-10 12:26:40,Central,2021-02-10 13:02:40,Firearm,64,Female,Indonesian,71,Female,Malaysian,1,No,Acquitted,Minor,No,No,No,No
Theft,2021-02-11 14:43:36,North,2021-02-11 15:03:36,Knife,34,Female,Indonesian,69,Male,Others,5,Yes,Acquitted,Major,No,Yes,Yes,Yes
Others,2021-02-12 17:00:32,West,2021-02-12 17:11:32,None,75,Male,Singaporean,49,Male,Singaporean,0,Yes,Acquitted,Moderate,No,Yes,Yes,Yes
Others,2021-02-13 19:17:28,East,2021-02-13 19:58:28,Other,68,Female,Indonesian,22,Male,Others,2,No,Convicted,Minor,No,No,Yes,Yes
Theft,2021-02-14 21:34:24,Central,2021-02-14 22:03:24,Knife,57,Female,Others,21,Male,Singaporean,5,Yes,Acquitted,Major,Yes,Yes,Yes,Yes
Assault,2021-02-15 23:51:21,South,2021-02-16 00:20:21,Firearm,31,Female,Indian,79,Male,Indian,7,No,Dismissed,Minor,Yes,No,No,No
Others,2021-02-17 02:08:17,Central,2021-02-17 02:22:17,None,53,Female,Indonesian,76,Female,Indian,9,No,Acquitted,Minor,No,No,No,Yes
Theft,2021-02-18 04:25:13,North,2021-02-18 05:11:13,Knife,25,Male,Indian,62,Female,Singaporean,3,No,Acquitted,Major,No,No,Yes,Yes
Vandalism,2021-02-19 06:42:09,Central,2021-02-19 07:12:09,Firearm,53,Female,Others,25,Female,Others,7,Yes,Dismissed,Minor,No,Yes,Yes,Yes
Drug Offense,2021-02-20 08:59:05,South,2021-02-20 09:39:05,Other,72,Male,Others,52,Male,Others,9,No,Dismissed,Minor,No,Yes,Yes,No
Assault,2021-02-21 11:16:02,Central,2021-02-21 11:28:02,Firearm,42,Female,Indonesian,26,Female,Singaporean,9,Yes,Acquitted,Moderate,Yes,Yes,No,Yes
Burglary,2021-02-22 13:32:58,East,2021-02-22 14:16:58,Other,42,Male,Singaporean,63,Female,Indonesian,1,No,Dismissed,Minor,No,No,No,No
Assault,2021-02-23 15:49:54,West,2021-02-23 16:12:54,Knife,75,Female,Others,43,Male,Indonesian,5,No,Acquitted,Moderate,Yes,No,Yes,Yes
Burglary,2021-02-24 18:06:50,East,2021-02-24 18:32:50,Firearm,66,Male,Singaporean,57,Female,Indian,6,No,Dismissed,Major,Yes,Yes,No,Yes
Vandalism,2021-02-25 20:23:47,Central,2021-02-25 21:13:47,Firearm,47,Male,Indonesian,37,Female,Indonesian,4,No,Convicted,Moderate,No,Yes,Yes,Yes
Fraud,2021-02-26 22:40:43,East,2021-02-26 22:49:43,Knife,74,Male,Singaporean,22,Female,Others,2,No,Dismissed,Moderate,Yes,Yes,Yes,Yes
Theft,2021-02-28 00:57:39,South,2021-02-28 01:48:39,Firearm,21,Male,Indian,37,Male,Indian,9,Yes,Dismissed,Moderate,No,No,Yes,No
Vandalism,2021-03-01 03:14:35,North,2021-03-01 04:02:35,Firearm,40,Female,Malaysian,68,Female,Others,7,No,Pending,Minor,No,Yes,No,Yes
Others,2021-03-02 05:31:31,South,2021-03-02 05:58:31,None,26,Male,Others,30,Male,Others,4,No,Dismissed,Moderate,No,Yes,No,No
Fraud,2021-03-03 07:48:28,North,2021-03-03 08:25:28,None,74,Male,Singaporean,45,Female,Indonesian,9,Yes,Convicted,Moderate,Yes,No,No,Yes
Assault,2021-03-04 10:05:24,West,2021-03-04 10:45:24,Other,66,Female,Others,74,Male,Others,8,Yes,Dismissed,Major,No,No,No,Yes
Others,2021-03-05 12:22:20,South,2021-03-05 13:03:20,Firearm,39,Male,Indian,26,Male,Others,6,No,Convicted,Major,No,Yes,No,No
Others,2021-03-06 14:39:16,North,2021-03-06 14:59:16,None,64,Male,Indonesian,31,Male,Others,4,Yes,Convicted,Moderate,No,No,Yes,Yes
Others,2021-03-07 16:56:12,East,2021-03-07 17:04:12,Firearm,22,Male,Others,18,Female,Others,4,Yes,Convicted,Moderate,No,No,No,No
Drug Offense,2021-03-08 19:13:09,North,2021-03-08 19:57:09,Knife,53,Female,Malaysian,35,Male,Indian,5,Yes,Convicted,Minor,Yes,Yes,Yes,No
Drug Offense,2021-03-09 21:30:05,East,2021-03-09 22:19:05,None,77,Female,Singaporean,22,Female,Indonesian,5,No,Acquitted,Major,Yes,Yes,Yes,Yes
Fraud,2021-03-10 23:47:01,Central,2021-03-11 00:04:01,None,28,Female,Malaysian,36,Female,Indian,5,Yes,Pending,Moderate,No,No,No,No
Others,2021-03-12 02:03:57,North,2021-03-12 02:40:57,Knife,42,Male,Indonesian,27,Male,Malaysian,2,Yes,Convicted,Minor,Yes,No,Yes,No
Assault,2021-03-13 04:20:54,South,2021-03-13 05:19:54,None,79,Female,Singaporean,74,Male,Singaporean,2,No,Pending,Moderate,Yes,Yes,Yes,Yes
Vandalism,2021-03-14 06:37:50,North,2021-03-14 06:42:50,Knife,38,Male,Malaysian,21,Female,Indian,0,No,Acquitted,Moderate,No,No,No,Yes
Burglary,2021-03-15 08:54:46,East,2021-03-15 09:21:46,Other,64,Male,Others,54,Male,Singaporean,8,No,Convicted,Major,Yes,Yes,No,Yes
Burglary,2021-03-16 11:11:42,South,2021-03-16 12:02:42,Knife,44,Male,Malaysian,21,Female,Malaysian,8,Yes,Acquitted,Moderate,No,Yes,No,No
Others,2021-03-17 13:28:38,North,2021-03-17 13:36:38,Other,68,Female,Singaporean,42,Male,Indian,0,Yes,Convicted,Moderate,No,Yes,No,Yes
Assault,2021-03-18 15:45:35,Central,2021-03-18 16:00:35,Other,42,Female,Singaporean,61,Female,Malaysian,4,No,Pending,Moderate,No,Yes,Yes,Yes
Vandalism,2021-03-19 18:02:31,Central,2021-03-19 18:49:31,Knife,37,Male,Indian,27,Male,Malaysian,2,No,Acquitted,Minor,Yes,Yes,No,Yes
Assault,2021-03-20 20:19:27,East,2021-03-20 20:47:27,None,66,Male,Others,35,Female,Others,7,No,Pending,Minor,Yes,No,Yes,Yes
Vandalism,2021-03-21 22:36:23,North,2021-03-21 23:16:23,None,55,Male,Indian,25,Female,Indian,2,No,Acquitted,Minor,No,Yes,No,No
Fraud,2021-03-23 00:53:20,North,2021-03-23 01:45:20,Knife,26,Female,Malaysian,47,Female,Indian,5,Yes,Convicted,Minor,Yes,No,No,Yes
Fraud,2021-03-24 03:10:16,West,2021-03-24 04:07:16,Knife,61,Male,Singaporean,19,Male,Indonesian,7,No,Convicted,Minor,No,No,No,No
Vandalism,2021-03-25 05:27:12,East,2021-03-25 05:35:12,Knife,57,Male,Singaporean,37,Female,Others,1,Yes,Convicted,Moderate,No,Yes,Yes,Yes
Assault,2021-03-26 07:44:08,South,2021-03-26 08:22:08,Firearm,68,Male,Others,54,Female,Indian,6,Yes,Dismissed,Major,Yes,No,No,No
Drug Offense,2021-03-27 10:01:04,West,2021-03-27 10:12:04,Other,51,Female,Singaporean,58,Male,Indian,4,Yes,Convicted,Major,Yes,Yes,Yes,No
Others,2021-03-28 12:18:01,West,2021-03-28 12:40:01,Other,28,Female,Malaysian,70,Male,Malaysian,3,Yes,Acquitted,Minor,Yes,No,No,Yes
Burglary,2021-03-29 14:34:57,North,2021-03-29 14:52:57,Firearm,24,Female,Others,34,Female,Malaysian,1,No,Convicted,Minor,Yes,No,Yes,Yes
Vandalism,2021-03-30 16:51:53,East,2021-03-30 17:38:53,None,27,Female,Malaysian,51,Male,Indonesian,7,Yes,Pending,Moderate,No,Yes,No,No
Burglary,2021-03-31 19:08:49,East,2021-03-31 19:34:49,Firearm,37,Male,Indonesian,34,Female,Indian,3,No,Convicted,Moderate,Yes,No,Yes,Yes
Burglary,2021-04-01 21:25:45,West,2021-04-01 21:58:45,Firearm,64,Male,Singaporean,73,Male,Malaysian,2,No,Convicted,Moderate,Yes,Yes,No,Yes
Burglary,2021-04-02 23:42:42,East,2021-04-02 23:45:42,None,73,Male,Indian,37,Female,Others,7,Yes,Pending,Major,No,Yes,No,No
Theft,2021-04-04 01:59:38,North,2021-04-04 02:48:38,Knife,54,Female,Singaporean,72,Male,Others,2,Yes,Dismissed,Major,No,Yes,No,No
Theft,2021-04-05 04:16:34,South,2021-04-05 04:30:34,None,68,Male,Singaporean,40,Female,Others,2,Yes,Acquitted,Minor,Yes,Yes,No,No
Others,2021-04-06 06:33:30,West,2021-04-06 07:04:30,Other,57,Male,Malaysian,50,Female,Indian,7,Yes,Dismissed,Moderate,Yes,No,Yes,Yes
Vandalism,2021-04-07 08:50:27,South,2021-04-07 08:58:27,Firearm,75,Male,Indian,46,Male,Indonesian,9,Yes,Convicted,Major,No,Yes,Yes,No
Others,2021-04-08 11:07:23,Central,2021-04-08 11:33:23,None,71,Female,Indonesian,68,Female,Indian,9,No,Pending,Moderate,No,Yes,No,Yes
Vandalism,2021-04-09 13:24:19,East,2021-04-09 14:00:19,None,61,Male,Singaporean,25,Male,Indian,9,Yes,Pending,Minor,No,Yes,No,Yes
Assault,2021-04-10 15:41:15,East,2021-04-10 15:50:15,Knife,23,Female,Indonesian,56,Male,Singaporean,8,Yes,Convicted,Minor,Yes,No,Yes,No
Burglary,2021-04-11 17:58:11,North,2021-04-11 18:11:11,Knife,18,Male,Indonesian,65,Female,Others,6,No,Pending,Minor,No,Yes,No,No
Theft,2021-04-12 20:15:08,North,2021-04-12 21:05:08,Firearm,24,Male,Singaporean,43,Male,Indonesian,1,Yes,Dismissed,Major,Yes,Yes,Yes,No
Others,2021-04-13 22:32:04,West,2021-04-13 23:04:04,Knife,74,Male,Indonesian,40,Male,Indian,2,No,Convicted,Minor,Yes,Yes,No,No
Vandalism,2021-04-15 00:49:00,Central,2021-04-15 00:54:00,Other,19,Female,Indonesian,50,Female,Indian,8,No,Convicted,Minor,No,No,Yes,Yes
Theft,2021-04-16 03:05:56,Central,2021-04-16 03:49:56,Other,63,Female,Malaysian,46,Male,Singaporean,2,No,Acquitted,Moderate,Yes,No,Yes,Yes
Fraud,2021-04-17 05:22:52,East,2021-04-17 06:16:52,Knife,31,Female,Others,42,Male,Indonesian,9,Yes,Acquitted,Moderate,Yes,No,Yes,Yes
Vandalism,2021-04-18 07:39:49,North,2021-04-18 08:11:49,None,23,Male,Singaporean,44,Male,Malaysian,8,Yes,Dismissed,Minor,Yes,No,No,No
Assault,2021-04-19 09:56:45,East,2021-04-19 10:29:45,Firearm,73,Male,Indian,57,Male,Malaysian,1,Yes,Dismissed,Major,No,No,Yes,No
Fraud,2021-04-20 12:13:41,East,2021-04-20 12:58:41,Knife,72,Female,Indonesian,29,Male,Singaporean,8,No,Dismissed,Minor,Yes,No,No,No
Fraud,2021-04-21 14:30:37,North,2021-04-21 14:35:37,Knife,36,Female,Singaporean,71,Male,Others,7,Yes,Dismissed,Major,Yes,No,No,Yes
Burglary,2021-04-22 16:47:34,Central,2021-04-22 17:19:34,Other,51,Female,Singaporean,26,Female,Others,8,No,Pending,Major,Yes,No,No,Yes
Fraud,2021-04-23 19:04:30,Central,2021-04-23 19:36:30,None,74,Male,Others,59,Female,Others,9,Yes,Pending,Moderate,Yes,Yes,Yes,Yes
Drug Offense,2021-04-24 21:21:26,Central,2021-04-24 21:42:26,Firearm,28,Female,Malaysian,47,Male,Indian,1,No,Dismissed,Minor,Yes,Yes,Yes,No
Drug Offense,2021-04-25 23:38:22,East,2021-04-26 00:25:22,None,77,Female,Singaporean,33,Female,Malaysian,1,No,Convicted,Major,No,Yes,Yes,Yes
Theft,2021-04-27 01:55:18,West,2021-04-27 02:11:18,Other,40,Male,Indonesian,73,Male,Others,1,No,Pending,Minor,No,Yes,No,No
Burglary,2021-04-28 04:12:15,Central,2021-04-28 05:04:15,None,37,Female,Indonesian,48,Male,Indian,8,Yes,Pending,Minor,No,No,No,Yes
Assault,2021-04-29 06:29:11,South,2021-04-29 07:08:11,Knife,30,Male,Others,54,Male,Indian,5,No,Acquitted,Moderate,Yes,Yes,Yes,Yes
Others,2021-04-30 08:46:07,West,2021-04-30 09:29:07,Firearm,54,Female,Malaysian,30,Male,Indian,5,Yes,Pending,Major,Yes,No,Yes,Yes
Drug Offense,2021-05-01 11:03:03,West,2021-05-01 11:19:03,None,73,Male,Indonesian,52,Male,Singaporean,3,Yes,Convicted,Minor,No,Yes,Yes,No
Vandalism,2021-05-02 13:20:00,Central,2021-05-02 13:35:00,Firearm,35,Male,Others,25,Male,Malaysian,6,No,Acquitted,Moderate,No,Yes,Yes,No
Theft,2021-05-03 15:36:56,Central,2021-05-03 15:39:56,Other,61,Male,Indian,73,Male,Indian,8,Yes,Pending,Major,Yes,No,Yes,No
Burglary,2021-05-04 17:53:52,West,2021-05-04 18:17:52,None,21,Female,Malaysian,58,Female,Malaysian,7,No,Pending,Moderate,Yes,No,Yes,Yes
Vandalism,2021-05-05 20:10:48,East,2021-05-05 20:26:48,Firearm,71,Female,Indonesian,31,Male,Others,7,No,Convicted,Major,Yes,No,No,Yes
Fraud,2021-05-06 22:27:44,East,2021-05-06 22:54:44,None,45,Female,Indian,41,Male,Singaporean,1,No,Acquitted,Minor,Yes,No,Yes,No
Drug Offense,2021-05-08 00:44:41,East,2021-05-08 01:06:41,None,28,Male,Indian,45,Male,Others,6,Yes,Acquitted,Moderate,Yes,No,Yes,Yes
Vandalism,2021-05-09 03:01:37,West,2021-05-09 03:42:37,None,65,Female,Indonesian,50,Female,Others,6,No,Acquitted,Major,Yes,No,Yes,Yes
Fraud,2021-05-10 05:18:33,South,2021-05-10 05:26:33,Knife,62,Female,Others,20,Male,Malaysian,8,No,Convicted,Major,Yes,Yes,No,No
Drug Offense,2021-05-11 07:35:29,Central,2021-05-11 07:36:29,None,59,Male,Indonesian,35,Male,Malaysian,5,No,Dismissed,Moderate,No,Yes,Yes,Yes
Burglary,2021-05-12 09:52:25,East,2021-05-12 10:18:25,None,65,Male,Indonesian,25,Female,Indian,4,No,Dismissed,Major,Yes,Yes,Yes,Yes
Theft,2021-05-13 12:09:22,Central,2021-05-13 12:34:22,Knife,51,Female,Others,71,Male,Malaysian,1,No,Dismissed,Major,No,No,Yes,No
Drug Offense,2021-05-14 14:26:18,South,2021-05-14 14:37:18,Knife,20,Male,Others,45,Male,Indian,1,No,Dismissed,Minor,Yes,Yes,Yes,No
Fraud,2021-05-15 16:43:14,East,2021-05-15 17:42:14,Other,47,Male,Singaporean,45,Female,Singaporean,8,No,Acquitted,Minor,No,Yes,No,Yes
Fraud,2021-05-16 19:00:10,South,2021-05-16 19:37:10,Knife,40,Male,Indian,26,Female,Indian,1,No,Dismissed,Major,Yes,Yes,Yes,No
Vandalism,2021-05-17 21:17:07,North,2021-05-17 21:59:07,Knife,63,Male,Indian,62,Male,Others,4,Yes,Pending,Major,No,Yes,Yes,No
Burglary,2021-05-18 23:34:03,South,2021-05-18 23:49:03,Firearm,41,Male,Malaysian,46,Male,Malaysian,7,No,Convicted,Minor,No,Yes,No,Yes
Others,2021-05-20 01:50:59,West,2021-05-20 02:08:59,None,66,Female,Malaysian,77,Male,Malaysian,6,No,Dismissed,Moderate,No,Yes,No,No
Theft,2021-05-21 04:07:55,North,2021-05-21 04:53:55,None,27,Male,Indonesian,28,Female,Indonesian,6,Yes,Acquitted,Major,Yes,No,Yes,No
Others,2021-05-22 06:24:51,Central,2021-05-22 07:09:51,Other,79,Male,Indian,38,Male,Singaporean,9,No,Convicted,Minor,Yes,No,No,No
Fraud,2021-05-23 08:41:48,South,2021-05-23 08:55:48,None,26,Male,Singaporean,60,Female,Others,0,No,Acquitted,Minor,Yes,No,Yes,Yes
Fraud,2021-05-24 10:58:44,Central,2021-05-24 11:52:44,Other,57,Female,Malaysian,77,Female,Others,4,Yes,Pending,Major,No,Yes,No,No
Burglary,2021-05-25 13:15:40,Central,2021-05-25 14:03:40,Knife,59,Male,Indonesian,67,Male,Indian,8,No,Pending,Moderate,Yes,Yes,No,No
Vandalism,2021-05-26 15:32:36,South,2021-05-26 15:43:36,Firearm,78,Female,Singaporean,57,Female,Indonesian,5,No,Dismissed,Major,Yes,No,No,No
Vandalism,2021-05-27 17:49:32,Central,2021-05-27 18:26:32,None,46,Female,Indian,40,Female,Indonesian,8,No,Pending,Minor,Yes,No,No,Yes
Theft,2021-05-28 20:06:29,Central,2021-05-28 20:52:29,Other,29,Male,Others,38,Male,Malaysian,2,Yes,Pending,Major,Yes,No,No,No
Others,2021-05-29 22:23:25,North,2021-05-29 22:57:25,Knife,21,Female,Others,32,Male,Indonesian,4,Yes,Pending,Major,Yes,No,No,Yes
Vandalism,2021-05-31 00:40:21,South,2021-05-31 00:58:21,Other,33,Male,Others,63,Male,Indonesian,3,Yes,Convicted,Major,No,Yes,No,No
Drug Offense,2021-06-01 02:57:17,North,2021-06-01 03:20:17,Firearm,54,Female,Singaporean,46,Female,Others,2,Yes,Pending,Moderate,Yes,Yes,Yes,No
Burglary,2021-06-02 05:14:14,South,2021-06-02 05:30:14,Knife,69,Female,Others,47,Male,Singaporean,7,No,Convicted,Moderate,Yes,No,No,Yes
Fraud,2021-06-03 07:31:10,North,2021-06-03 08:05:10,Knife,70,Female,Singaporean,21,Male,Singaporean,5,No,Dismissed,Minor,No,No,Yes,No
Others,2021-06-04 09:48:06,South,2021-06-04 10:13:06,Other,61,Female,Indian,23,Female,Others,0,No,Pending,Moderate,Yes,No,Yes,Yes
Theft,2021-06-05 12:05:02,East,2021-06-05 12:28:02,Knife,57,Female,Indonesian,77,Male,Singaporean,1,No,Convicted,Minor,Yes,No,Yes,Yes
Fraud,2021-06-06 14:21:58,South,2021-06-06 14:39:58,Other,76,Male,Malaysian,45,Male,Others,6,No,Pending,Minor,Yes,No,No,Yes
Drug Offense,2021-06-07 16:38:55,Central,2021-06-07 17:31:55,Other,55,Female,Indonesian,24,Female,Singaporean,8,No,Dismissed,Moderate,Yes,No,No,No
Burglary,2021-06-08 18:55:51,South,2021-06-08 19:27:51,Knife,49,Female,Indian,34,Male,Indonesian,0,No,Pending,Major,Yes,Yes,No,Yes
Others,2021-06-09 21:12:47,North,2021-06-09 22:03:47,Other,77,Male,Singaporean,32,Male,Malaysian,2,No,Acquitted,Moderate,Yes,Yes,Yes,Yes
Vandalism,2021-06-10 23:29:43,Central,2021-06-10 23:46:43,Other,59,Female,Indonesian,71,Male,Malaysian,5,Yes,Convicted,Moderate,No,No,No,Yes
Others,2021-06-12 01:46:40,East,2021-06-12 02:35:40,Other,74,Female,Others,73,Female,Malaysian,5,No,Convicted,Moderate,Yes,No,No,No
Theft,2021-06-13 04:03:36,Central,2021-06-13 04:55:36,Firearm,54,Male,Others,33,Male,Indian,9,Yes,Convicted,Moderate,Yes,No,Yes,No
Others,2021-06-14 06:20:32,Central,2021-06-14 07:08:32,None,54,Male,Malaysian,61,Female,Malaysian,6,No,Dismissed,Minor,No,No,No,Yes
Others,2021-06-15 08:37:28,West,2021-06-15 09:29:28,Other,37,Female,Singaporean,46,Female,Others,3,No,Pending,Minor,No,No,No,Yes
Fraud,2021-06-16 10:54:24,West,2021-06-16 10:58:24,None,55,Male,Others,37,Female,Malaysian,6,Yes,Acquitted,Major,Yes,Yes,No,No
Vandalism,2021-06-17 13:11:21,East,2021-06-17 13:29:21,Knife,43,Male,Malaysian,41,Male,Malaysian,2,Yes,Convicted,Minor,Yes,Yes,No,No
Burglary,2021-06-18 15:28:17,North,2021-06-18 15:46:17,Knife,59,Female,Indonesian,37,Female,Malaysian,2,No,Acquitted,Moderate,Yes,Yes,No,Yes
Burglary,2021-06-19 17:45:13,South,2021-06-19 18:19:13,Other,39,Female,Indian,73,Male,Indonesian,8,No,Acquitted,Major,Yes,Yes,Yes,No
Drug Offense,2021-06-20 20:02:09,East,2021-06-20 20:48:09,Firearm,61,Female,Indonesian,39,Male,Indian,3,Yes,Convicted,Moderate,Yes,No,Yes,Yes
Assault,2021-06-21 22:19:05,South,2021-06-21 23:04:05,None,29,Female,Indian,52,Male,Others,0,No,Dismissed,Major,No,No,No,Yes
Fraud,2021-06-23 00:36:02,South,2021-06-23 01:04:02,Other,24,Female,Malaysian,22,Female,Others,7,Yes,Acquitted,Minor,No,Yes,Yes,No
Vandalism,2021-06-24 02:52:58,Central,2021-06-24 03:38:58,Other,73,Male,Malaysian,69,Female,Malaysian,0,Yes,Dismissed,Major,Yes,No,No,Yes
Theft,2021-06-25 05:09:54,South,2021-06-25 06:06:54,Other,23,Male,Indian,46,Female,Others,8,No,Acquitted,Major,No,No,Yes,Yes
Vandalism,2021-06-26 07:26:50,Central,2021-06-26 07:32:50,Other,52,Female,Singaporean,70,Female,Indonesian,1,Yes,Dismissed,Major,Yes,No,No,No
Others,2021-06-27 09:43:47,North,2021-06-27 10:28:47,Knife,51,Male,Indonesian,53,Male,Singaporean,5,Yes,Dismissed,Major,Yes,Yes,No,No
Fraud,2021-06-28 12:00:43,North,2021-06-28 12:14:43,None,73,Male,Indian,27,Female,Indonesian,2,No,Dismissed,Minor,No,Yes,Yes,Yes
Assault,2021-06-29 14:17:39,North,2021-06-29 14:46:39,Firearm,39,Female,Singaporean,79,Male,Others,3,No,Convicted,Moderate,Yes,Yes,Yes,No
