Age,Gender,Major,GPA,Enrollment_Status,Year_in_Program,Extracurricular_Activity,Nationality,Language_Spoken,Study_Abroad_Interest,Scholarship_Status,Dormitory_Resident,Visa_Status,Previous_Education,Parental_Occupation,Financial_Aid,Interview_Date
21,Female,Machine Learning,3.64,Full-time,4,Sports,Malaysian,Mandarin,Yes,Recipient,Yes,Citizen,Others,Business,Yes,2022-08-02
23,Female,FinTech,3.37,Part-time,3,Sports,Malaysian,English,Yes,Recipient,Yes,Others,Others,Education,No,2022-01-27
24,Female,FinTech,2.08,Full-time,2,Arts,Indian,Others,No,Non-Recipient,No,Citizen,International School,Service,Yes,2021-10-02
19,Female,AI,3.88,Part-time,3,Sports,Indonesian,Others,No,Non-Recipient,No,Others,Local School,Others,No,2023-11-13
24,Female,Machine Learning,3.06,Part-time,3,Sports,Others,Others,No,Recipient,Yes,Others,International School,Others,No,2022-01-16
23,Male,Hospitality Management,2.88,Full-time,2,None,Indonesian,Mandarin,No,Recipient,Yes,Student Visa,Home Schooling,Education,Yes,2021-02-09
20,Male,Information Technology,2.26,Part-time,1,Volunteering,Indonesian,Others,Yes,Recipient,Yes,Permanent Resident,International School,Others,No,2021-09-24
23,Female,Service Training,2.38,Full-time,1,Volunteering,Indonesian,Others,No,Recipient,Yes,Student Visa,Local School,Business,Yes,2023-07-08
20,Female,Business,2.14,Full-time,3,Arts,Malaysian,Others,No,Recipient,Yes,Student Visa,Home Schooling,Healthcare,Yes,2023-07-22
22,Female,Hospitality Management,2.89,Full-time,4,Arts,Singaporean,Mandarin,No,Recipient,No,Others,Local School,Service,No,2023-06-14
20,Male,Business,2.6,Part-time,4,Sports,Singaporean,Tamil,Yes,Recipient,Yes,Others,Home Schooling,Healthcare,Yes,2021-10-10
20,Male,Information Technology,3.44,Full-time,1,Arts,Others,Mandarin,Yes,Recipient,Yes,Others,Others,Business,Yes,2021-07-01
18,Female,Service Training,3.31,Full-time,4,None,Malaysian,English,No,Non-Recipient,Yes,Student Visa,Others,Business,No,2022-09-26
23,Male,Hospitality Management,3.66,Full-time,4,Sports,Malaysian,Others,No,Non-Recipient,Yes,Others,Home Schooling,Others,Yes,2022-03-26
19,Male,AI,2.42,Full-time,3,Arts,Indian,English,Yes,Recipient,Yes,Citizen,Local School,Education,Yes,2021-04-15
23,Male,Business,3.81,Part-time,1,Volunteering,Malaysian,Others,Yes,Recipient,Yes,Citizen,Local School,Others,Yes,2021-04-01
21,Female,Information Technology,3.5,Full-time,4,Volunteering,Singaporean,Others,No,Recipient,No,Student Visa,Others,Service,Yes,2022-05-18
20,Female,Business,2.22,Full-time,2,Arts,Indonesian,English,Yes,Recipient,Yes,Permanent Resident,Others,Others,Yes,2023-02-13
19,Female,Business,2.4,Full-time,1,Sports,Indonesian,Mandarin,Yes,Recipient,Yes,Permanent Resident,Local School,Healthcare,Yes,2023-09-04
20,Male,FinTech,3.26,Full-time,2,None,Indonesian,Others,No,Recipient,Yes,Citizen,Local School,Healthcare,No,2022-01-23
20,Male,Hospitality Management,2.18,Full-time,3,Sports,Singaporean,Mandarin,Yes,Recipient,No,Citizen,Others,Others,Yes,2022-09-01
23,Female,Business,3.34,Part-time,1,None,Indian,Tamil,No,Recipient,Yes,Citizen,Others,Education,Yes,2022-01-09
18,Male,AI,2.65,Part-time,2,None,Malaysian,English,Yes,Recipient,No,Citizen,International School,Education,No,2022-12-22
21,Female,AI,3.13,Part-time,4,Sports,Malaysian,Malay,No,Recipient,Yes,Citizen,Home Schooling,Others,Yes,2023-04-27
20,Female,FinTech,3.41,Part-time,2,None,Indian,Mandarin,No,Non-Recipient,No,Permanent Resident,Home Schooling,Others,Yes,2023-10-13
23,Male,Hospitality Management,3.95,Full-time,1,None,Indonesian,Tamil,No,Non-Recipient,Yes,Citizen,Local School,Education,No,2021-07-17
23,Male,Hospitality Management,2.54,Full-time,3,Arts,Singaporean,Malay,No,Recipient,No,Permanent Resident,Local School,Education,No,2023-05-27
21,Female,AI,3.93,Full-time,3,Volunteering,Indian,Mandarin,Yes,Non-Recipient,No,Permanent Resident,Local School,Healthcare,No,2021-09-03
18,Male,FinTech,3.14,Full-time,4,None,Singaporean,English,No,Non-Recipient,No,Others,Others,Others,No,2023-10-07
19,Male,Information Technology,2.28,Full-time,2,None,Indonesian,English,Yes,Non-Recipient,Yes,Student Visa,International School,Service,Yes,2021-04-13
20,Female,Information Technology,2.16,Part-time,4,Volunteering,Singaporean,Tamil,Yes,Recipient,Yes,Student Visa,International School,Business,No,2021-10-21
24,Female,Information Technology,3.4,Part-time,1,None,Malaysian,English,No,Recipient,Yes,Citizen,Local School,Business,Yes,2023-06-18
18,Female,Business,3.15,Part-time,4,Arts,Others,Tamil,No,Recipient,Yes,Others,Local School,Service,No,2023-03-07
24,Male,FinTech,3.9,Part-time,3,Volunteering,Singaporean,English,No,Recipient,No,Permanent Resident,International School,Others,Yes,2022-01-02
18,Male,Information Technology,3.22,Part-time,4,None,Indian,Tamil,No,Recipient,No,Permanent Resident,Local School,Others,Yes,2021-05-07
18,Male,Information Technology,3.1,Full-time,2,Arts,Singaporean,English,No,Non-Recipient,Yes,Permanent Resident,Home Schooling,Healthcare,No,2023-05-25
21,Female,Machine Learning,2.5,Full-time,1,Sports,Malaysian,Tamil,Yes,Non-Recipient,No,Citizen,Others,Others,Yes,2023-08-28
23,Female,Hospitality Management,2.94,Part-time,2,Sports,Others,Tamil,Yes,Recipient,No,Citizen,Home Schooling,Business,Yes,2023-06-04
20,Male,Business,3.58,Full-time,4,Sports,Singaporean,Others,Yes,Recipient,No,Others,Local School,Education,Yes,2021-02-01
23,Female,AI,2.65,Full-time,2,Sports,Singaporean,Others,Yes,Non-Recipient,No,Permanent Resident,Others,Education,No,2022-02-28
20,Male,Hospitality Management,2.8,Full-time,3,Arts,Indian,Tamil,Yes,Recipient,Yes,Permanent Resident,Local School,Others,No,2023-01-14
24,Female,FinTech,2.05,Full-time,1,Sports,Indonesian,Tamil,No,Non-Recipient,No,Citizen,Others,Others,Yes,2023-09-15
19,Female,Hospitality Management,2.95,Part-time,3,Volunteering,Singaporean,Mandarin,Yes,Non-Recipient,Yes,Citizen,Home Schooling,Others,Yes,2021-08-19
18,Female,Information Technology,2.33,Part-time,1,Sports,Singaporean,Malay,Yes,Recipient,No,Permanent Resident,Local School,Healthcare,No,2021-07-05
23,Male,Hospitality Management,2.31,Full-time,2,Volunteering,Singaporean,Tamil,No,Recipient,Yes,Others,Local School,Business,No,2023-03-15
18,Male,Business,3.36,Full-time,3,Sports,Malaysian,Tamil,No,Non-Recipient,Yes,Permanent Resident,Others,Others,No,2021-11-22
21,Male,Machine Learning,3.12,Part-time,4,Arts,Indian,English,No,Non-Recipient,Yes,Others,Others,Healthcare,No,2021-08-09
22,Male,Machine Learning,2.36,Full-time,1,None,Singaporean,Others,No,Recipient,No,Student Visa,Others,Healthcare,No,2021-09-05
19,Male,Hospitality Management,2.07,Part-time,3,Sports,Indian,Mandarin,No,Non-Recipient,No,Others,Local School,Business,No,2021-01-03
19,Female,Information Technology,3.95,Part-time,4,Arts,Singaporean,Malay,No,Non-Recipient,No,Student Visa,Others,Healthcare,No,2022-09-16
23,Female,FinTech,3.07,Part-time,1,Sports,Others,English,No,Non-Recipient,No,Others,International School,Service,Yes,2023-06-28
20,Male,Business,3.28,Full-time,1,Volunteering,Indian,Others,Yes,Recipient,Yes,Student Visa,Others,Education,Yes,2022-05-15
22,Female,Hospitality Management,2.82,Full-time,2,Volunteering,Malaysian,Others,Yes,Recipient,No,Permanent Resident,Others,Others,Yes,2022-03-07
21,Male,Machine Learning,3.35,Full-time,3,None,Singaporean,Malay,No,Non-Recipient,Yes,Permanent Resident,International School,Business,Yes,2023-05-02
23,Male,Machine Learning,2.2,Full-time,3,Volunteering,Malaysian,Malay,No,Non-Recipient,No,Others,International School,Business,Yes,2022-07-04
21,Female,AI,2.38,Full-time,4,Volunteering,Singaporean,Tamil,Yes,Recipient,No,Others,Home Schooling,Service,Yes,2021-06-21
20,Male,Business,3.61,Part-time,3,None,Singaporean,Others,No,Non-Recipient,No,Permanent Resident,Local School,Business,No,2021-08-17
22,Male,Business,3.45,Part-time,2,None,Others,Others,No,Recipient,Yes,Citizen,Others,Business,Yes,2023-03-12
20,Female,FinTech,2.69,Part-time,2,Arts,Indonesian,Tamil,No,Recipient,No,Permanent Resident,International School,Others,No,2021-04-08
20,Male,Machine Learning,2.95,Full-time,1,Arts,Others,Others,Yes,Non-Recipient,No,Citizen,Local School,Business,No,2021-09-05
21,Male,AI,3.85,Full-time,4,Arts,Singaporean,Mandarin,Yes,Recipient,No,Others,International School,Business,Yes,2022-02-04
20,Female,Information Technology,2.62,Part-time,2,None,Others,Tamil,Yes,Non-Recipient,No,Permanent Resident,Home Schooling,Healthcare,No,2021-03-22
19,Male,Business,3.27,Part-time,1,Arts,Indonesian,Tamil,No,Recipient,Yes,Permanent Resident,International School,Others,No,2021-10-25
19,Male,FinTech,2.09,Full-time,1,None,Malaysian,Mandarin,No,Non-Recipient,Yes,Permanent Resident,Others,Service,Yes,2022-11-23
23,Female,Machine Learning,2.13,Part-time,1,None,Indian,English,Yes,Recipient,No,Others,International School,Service,No,2022-06-10
21,Male,FinTech,2.9,Full-time,4,Sports,Others,Mandarin,Yes,Recipient,Yes,Others,Local School,Business,No,2022-10-24
20,Female,Service Training,3.76,Part-time,4,None,Indonesian,Mandarin,No,Non-Recipient,No,Permanent Resident,International School,Business,Yes,2023-12-06
23,Female,Business,2.54,Part-time,1,None,Others,Tamil,No,Recipient,No,Citizen,Others,Education,No,2023-11-07
24,Female,AI,2.8,Part-time,4,None,Others,Mandarin,Yes,Non-Recipient,No,Permanent Resident,Local School,Others,No,2021-03-14
23,Female,AI,3.21,Full-time,3,None,Malaysian,English,No,Recipient,Yes,Citizen,Local School,Others,No,2021-02-27
22,Male,Information Technology,2.69,Part-time,1,Volunteering,Indonesian,Malay,No,Non-Recipient,No,Citizen,Others,Others,Yes,2021-01-15
24,Female,Machine Learning,2.08,Full-time,4,Arts,Singaporean,Malay,Yes,Non-Recipient,Yes,Others,Home Schooling,Business,No,2022-09-24
23,Male,Information Technology,2.52,Part-time,1,Arts,Indian,Malay,Yes,Recipient,Yes,Others,Others,Education,Yes,2023-12-07
23,Male,FinTech,3.52,Part-time,1,Sports,Indian,Tamil,Yes,Non-Recipient,Yes,Student Visa,International School,Business,No,2022-08-16
20,Male,Hospitality Management,3.81,Full-time,1,Sports,Malaysian,Malay,Yes,Non-Recipient,No,Student Visa,Others,Business,Yes,2021-07-03
24,Female,Machine Learning,3.6,Full-time,1,Arts,Malaysian,English,No,Non-Recipient,Yes,Others,Others,Others,No,2022-01-05
22,Male,Hospitality Management,3.6,Full-time,2,None,Malaysian,Tamil,Yes,Non-Recipient,Yes,Student Visa,International School,Business,Yes,2022-03-01
20,Male,FinTech,2.12,Full-time,4,Sports,Others,English,Yes,Non-Recipient,No,Permanent Resident,Local School,Education,No,2021-08-14
18,Male,Business,2.8,Part-time,4,None,Indian,Tamil,No,Non-Recipient,Yes,Citizen,Local School,Education,No,2022-02-08
18,Female,Information Technology,2.48,Full-time,3,None,Malaysian,Others,Yes,Recipient,No,Others,Local School,Service,Yes,2021-05-01
24,Male,AI,2.11,Full-time,4,Volunteering,Singaporean,Mandarin,No,Recipient,Yes,Citizen,Local School,Business,No,2022-09-21
18,Male,Machine Learning,3.08,Part-time,4,None,Indonesian,English,No,Recipient,Yes,Permanent Resident,Local School,Others,Yes,2021-03-14
20,Female,Machine Learning,3.14,Full-time,2,Arts,Indonesian,English,No,Recipient,No,Permanent Resident,Local School,Healthcare,No,2023-04-06
22,Female,Machine Learning,3.88,Full-time,4,Volunteering,Others,Malay,No,Recipient,No,Permanent Resident,Local School,Education,No,2022-10-04
23,Female,Service Training,2.7,Full-time,4,Volunteering,Indonesian,Mandarin,Yes,Recipient,Yes,Student Visa,Local School,Service,No,2021-10-12
22,Female,AI,3.91,Part-time,3,None,Singaporean,Malay,No,Non-Recipient,Yes,Student Visa,Others,Others,No,2021-01-09
19,Male,Service Training,3.5,Part-time,2,Sports,Indian,English,Yes,Recipient,Yes,Student Visa,International School,Business,Yes,2021-05-17
24,Female,Information Technology,3.49,Full-time,3,Volunteering,Indonesian,Mandarin,No,Non-Recipient,Yes,Permanent Resident,Home Schooling,Business,Yes,2023-03-26
22,Female,Hospitality Management,3.69,Full-time,4,Sports,Malaysian,Tamil,Yes,Non-Recipient,Yes,Others,Home Schooling,Others,No,2022-06-02
23,Male,Information Technology,3.68,Full-time,3,Arts,Others,Malay,Yes,Non-Recipient,Yes,Permanent Resident,International School,Others,Yes,2022-09-07
19,Female,FinTech,3.76,Part-time,3,None,Singaporean,Others,Yes,Recipient,Yes,Student Visa,Others,Business,Yes,2022-02-22
20,Female,FinTech,2.2,Full-time,3,None,Singaporean,Others,No,Recipient,Yes,Permanent Resident,Local School,Education,Yes,2023-10-21
24,Male,AI,2.63,Full-time,4,Sports,Malaysian,Malay,Yes,Recipient,Yes,Permanent Resident,Local School,Others,No,2022-08-09
18,Female,AI,2.11,Full-time,4,Arts,Indian,Tamil,Yes,Recipient,No,Student Visa,International School,Others,No,2021-03-14
20,Male,Machine Learning,2.91,Full-time,1,Sports,Indonesian,English,Yes,Non-Recipient,Yes,Others,International School,Education,Yes,2021-11-14
24,Male,Information Technology,3.31,Part-time,4,Volunteering,Singaporean,Malay,No,Non-Recipient,No,Permanent Resident,Others,Business,Yes,2022-09-16
24,Male,Machine Learning,2.31,Full-time,1,None,Others,Tamil,Yes,Non-Recipient,Yes,Permanent Resident,Local School,Others,Yes,2022-07-10
20,Male,Service Training,3.34,Full-time,1,None,Indonesian,English,Yes,Recipient,No,Others,International School,Others,No,2023-09-08
19,Male,Information Technology,3.25,Part-time,3,Sports,Malaysian,Tamil,No,Recipient,Yes,Permanent Resident,International School,Business,No,2021-09-21
21,Female,AI,3.09,Full-time,1,Arts,Others,Others,Yes,Non-Recipient,No,Others,Local School,Healthcare,Yes,2021-01-25
22,Male,Service Training,2.65,Full-time,4,None,Indian,Tamil,No,Non-Recipient,Yes,Others,Others,Business,Yes,2023-12-24
19,Female,Business,3.74,Full-time,1,Arts,Others,Tamil,Yes,Non-Recipient,No,Permanent Resident,International School,Education,No,2022-08-01
24,Female,FinTech,2.92,Full-time,4,Volunteering,Indonesian,Mandarin,No,Non-Recipient,Yes,Permanent Resident,International School,Service,Yes,2022-04-04
23,Male,Machine Learning,2.42,Part-time,1,None,Singaporean,Others,No,Non-Recipient,Yes,Student Visa,International School,Business,No,2021-10-22
24,Male,AI,2.87,Full-time,1,Volunteering,Indonesian,Mandarin,Yes,Non-Recipient,Yes,Others,International School,Business,Yes,2023-04-24
21,Female,Information Technology,2.2,Part-time,2,Volunteering,Singaporean,English,No,Recipient,Yes,Others,Home Schooling,Service,Yes,2023-05-04
21,Female,Machine Learning,2.04,Full-time,2,Arts,Singaporean,Mandarin,No,Recipient,No,Citizen,International School,Education,Yes,2022-10-21
24,Male,Information Technology,2.92,Full-time,3,None,Others,English,Yes,Non-Recipient,No,Permanent Resident,Local School,Healthcare,Yes,2023-06-10
19,Female,AI,2.96,Part-time,1,Arts,Indonesian,Tamil,No,Non-Recipient,Yes,Others,International School,Healthcare,Yes,2022-04-24
19,Male,Information Technology,2.2,Part-time,1,Sports,Indian,Others,No,Non-Recipient,No,Permanent Resident,Home Schooling,Healthcare,No,2023-09-25
22,Female,Business,3.84,Part-time,3,Arts,Indian,Tamil,Yes,Recipient,Yes,Citizen,Home Schooling,Education,No,2022-03-08
22,Female,Information Technology,3.09,Part-time,2,Volunteering,Others,Malay,Yes,Recipient,Yes,Others,Home Schooling,Education,No,2021-04-14
24,Female,FinTech,3.54,Full-time,3,None,Indian,Malay,Yes,Recipient,Yes,Citizen,Home Schooling,Business,No,2023-11-02
20,Female,Service Training,3.99,Part-time,3,Volunteering,Others,Others,No,Non-Recipient,No,Others,Others,Education,Yes,2023-11-16
19,Male,Service Training,2.23,Full-time,3,Volunteering,Others,Mandarin,Yes,Recipient,No,Student Visa,Others,Others,No,2021-11-26
22,Female,AI,3.59,Full-time,3,None,Indian,Tamil,No,Recipient,No,Citizen,Others,Education,Yes,2022-02-17
19,Female,AI,2.01,Part-time,3,None,Indian,Malay,Yes,Recipient,Yes,Student Visa,Home Schooling,Business,No,2022-09-10
24,Male,FinTech,2.58,Full-time,4,Arts,Others,Malay,No,Non-Recipient,Yes,Others,Local School,Business,No,2023-08-22
20,Female,Hospitality Management,2.21,Part-time,2,None,Malaysian,Malay,No,Non-Recipient,No,Permanent Resident,Local School,Education,No,2021-05-12
21,Female,Hospitality Management,2.82,Part-time,4,Sports,Malaysian,Others,No,Non-Recipient,No,Permanent Resident,Home Schooling,Service,Yes,2022-08-05
19,Male,Information Technology,3.44,Part-time,1,Sports,Singaporean,Mandarin,No,Recipient,No,Permanent Resident,International School,Business,No,2022-06-02
20,Female,Business,3.73,Full-time,1,None,Singaporean,Malay,Yes,Non-Recipient,No,Student Visa,Local School,Healthcare,Yes,2021-12-24
20,Male,Business,3.75,Full-time,2,Volunteering,Malaysian,Others,Yes,Non-Recipient,Yes,Citizen,Others,Healthcare,No,2023-01-09
19,Male,Business,2.48,Full-time,2,Arts,Singaporean,English,Yes,Non-Recipient,No,Permanent Resident,Others,Business,Yes,2022-12-04
24,Female,Machine Learning,2.38,Full-time,2,Sports,Indian,Mandarin,Yes,Recipient,No,Others,Home Schooling,Business,Yes,2023-02-24
21,Female,Information Technology,3.81,Part-time,4,Sports,Singaporean,Tamil,Yes,Non-Recipient,No,Citizen,Local School,Business,No,2021-05-27
19,Male,Hospitality Management,2.16,Full-time,3,Volunteering,Indian,English,Yes,Recipient,Yes,Permanent Resident,Home Schooling,Business,No,2022-02-21
24,Male,Business,3.42,Part-time,2,Sports,Malaysian,Malay,Yes,Recipient,Yes,Citizen,Others,Healthcare,No,2023-11-11
23,Female,Hospitality Management,3.79,Full-time,3,Volunteering,Indonesian,Mandarin,No,Non-Recipient,No,Permanent Resident,Others,Service,No,2023-01-16
18,Female,AI,2.63,Part-time,3,Volunteering,Singaporean,English,No,Recipient,Yes,Permanent Resident,International School,Education,Yes,2023-02-18
19,Male,Business,2.69,Part-time,3,Sports,Singaporean,Others,Yes,Non-Recipient,Yes,Permanent Resident,International School,Others,Yes,2021-03-13
21,Female,Information Technology,3.65,Full-time,4,Arts,Malaysian,Others,No,Non-Recipient,Yes,Permanent Resident,Others,Business,Yes,2021-01-14
19,Male,AI,3.5,Part-time,4,Sports,Singaporean,Others,No,Non-Recipient,No,Citizen,International School,Service,No,2021-08-16
20,Male,Machine Learning,3.41,Full-time,1,Sports,Indian,Others,No,Non-Recipient,No,Others,Local School,Business,Yes,2023-03-05
20,Female,AI,3.29,Part-time,3,Volunteering,Malaysian,Mandarin,No,Recipient,Yes,Others,Home Schooling,Healthcare,Yes,2021-05-18
22,Male,Machine Learning,2.58,Full-time,2,Volunteering,Singaporean,Others,No,Non-Recipient,No,Others,Home Schooling,Education,No,2022-08-24
24,Female,AI,2.84,Part-time,3,Volunteering,Indonesian,Others,Yes,Recipient,No,Student Visa,International School,Business,Yes,2022-01-27
21,Female,Machine Learning,3.07,Part-time,1,None,Singaporean,Malay,Yes,Recipient,Yes,Others,Others,Business,No,2023-05-24
23,Female,Hospitality Management,2.99,Part-time,2,Arts,Indonesian,Mandarin,Yes,Non-Recipient,No,Others,Home Schooling,Business,Yes,2021-12-25
23,Male,Information Technology,2.21,Full-time,2,Arts,Others,English,Yes,Recipient,Yes,Citizen,Others,Healthcare,No,2022-12-07
22,Female,Hospitality Management,3.62,Part-time,4,None,Singaporean,Mandarin,Yes,Non-Recipient,Yes,Citizen,International School,Service,No,2023-06-28
21,Male,Business,3.3,Part-time,1,Volunteering,Others,English,Yes,Recipient,Yes,Permanent Resident,Others,Healthcare,Yes,2022-02-23
23,Male,Machine Learning,3.07,Part-time,1,None,Singaporean,English,No,Recipient,No,Others,Others,Service,Yes,2022-07-25
22,Male,Service Training,3.19,Part-time,2,Volunteering,Indonesian,Others,No,Recipient,Yes,Student Visa,Local School,Education,No,2021-01-14
19,Male,FinTech,3.02,Full-time,2,None,Indonesian,English,No,Recipient,Yes,Student Visa,Home Schooling,Service,No,2022-08-02
18,Male,FinTech,2.04,Part-time,2,None,Indonesian,Others,Yes,Recipient,Yes,Citizen,Local School,Business,No,2023-10-23
20,Female,FinTech,2.94,Full-time,1,Sports,Malaysian,Others,No,Recipient,No,Citizen,Local School,Service,Yes,2021-09-20
22,Female,AI,3.63,Full-time,4,Volunteering,Indian,Tamil,No,Non-Recipient,No,Citizen,Others,Others,Yes,2021-02-25
24,Male,AI,3.74,Full-time,3,None,Indian,Mandarin,No,Non-Recipient,No,Student Visa,Others,Healthcare,No,2023-01-24
23,Male,Machine Learning,3.65,Part-time,3,None,Singaporean,Malay,Yes,Non-Recipient,Yes,Permanent Resident,International School,Healthcare,No,2023-09-13
24,Male,Service Training,3.65,Full-time,2,Volunteering,Indonesian,Malay,Yes,Non-Recipient,Yes,Permanent Resident,International School,Others,No,2023-05-25
21,Male,AI,3.17,Full-time,1,Sports,Singaporean,Others,Yes,Non-Recipient,No,Student Visa,International School,Service,No,2022-12-16
21,Male,Service Training,2.8,Full-time,2,Volunteering,Indian,Tamil,No,Recipient,No,Permanent Resident,Local School,Business,No,2021-08-08
22,Male,AI,3.35,Full-time,4,None,Singaporean,English,No,Non-Recipient,No,Student Visa,Local School,Others,Yes,2023-03-05
21,Male,Hospitality Management,3.69,Part-time,3,Arts,Others,Malay,No,Recipient,No,Citizen,International School,Others,No,2022-02-21
18,Female,Business,2.43,Part-time,1,Volunteering,Indian,Others,Yes,Non-Recipient,Yes,Permanent Resident,Others,Others,Yes,2022-11-11
24,Female,Business,3.4,Part-time,2,None,Singaporean,English,No,Non-Recipient,No,Permanent Resident,Home Schooling,Education,Yes,2021-01-27
23,Female,Business,3.81,Full-time,2,Volunteering,Malaysian,English,Yes,Non-Recipient,No,Citizen,Home Schooling,Others,Yes,2021-07-05
19,Male,Information Technology,3.26,Full-time,2,Volunteering,Others,Others,Yes,Recipient,No,Citizen,Local School,Others,Yes,2022-02-01
23,Female,FinTech,3.82,Part-time,2,Arts,Malaysian,Mandarin,No,Non-Recipient,Yes,Others,Home Schooling,Business,No,2022-05-03
21,Female,Hospitality Management,2.32,Part-time,4,Sports,Indian,Mandarin,Yes,Recipient,No,Citizen,Home Schooling,Others,Yes,2022-05-09
20,Male,Service Training,3.87,Part-time,2,Sports,Singaporean,English,Yes,Recipient,No,Student Visa,Local School,Education,Yes,2021-08-17
19,Female,AI,2.88,Full-time,3,Sports,Indonesian,Malay,Yes,Non-Recipient,No,Permanent Resident,Home Schooling,Healthcare,Yes,2023-07-25
22,Male,Service Training,2.19,Part-time,1,Arts,Indian,English,No,Non-Recipient,No,Student Visa,Others,Healthcare,Yes,2021-03-22
23,Female,Business,3.1,Part-time,2,None,Malaysian,English,Yes,Recipient,No,Citizen,International School,Healthcare,Yes,2021-07-02
21,Male,AI,2.57,Full-time,4,None,Indonesian,Malay,Yes,Recipient,Yes,Citizen,International School,Healthcare,No,2022-09-21
22,Male,Hospitality Management,3.9,Part-time,4,None,Others,Malay,Yes,Recipient,No,Student Visa,Home Schooling,Service,Yes,2023-12-09
22,Female,Machine Learning,2.68,Full-time,1,Sports,Singaporean,Malay,Yes,Non-Recipient,No,Others,Home Schooling,Service,No,2022-06-07
19,Male,Hospitality Management,3.74,Part-time,2,Arts,Others,Others,Yes,Recipient,Yes,Permanent Resident,Local School,Education,No,2021-04-05
