Transport_Mode,Vehicle_Type,Trip_Purpose,Trip_Duration_Minutes,Distance_Km,Start_Time,End_Time,Passenger_Age,Gender,Nationality,Trip_Cost_SGD,Payment_Method,Service_Rating,Traffic_Condition,CO2_Emissions_Kg,Frequent_User,Peak_Hour_Travel,Accessibility_Features_Needed,Incidents_Reported
Walk,None,Commuting,104.32,7.81,2021-01-30 13:37:17,2021-01-30 15:21:36,33,Male,Malaysian,40,Cash,2.6,Light,2.83,No,Yes,No,Yes
Walk,Motorcycle,Business,81.07,47.16,2021-01-31 15:54:14,2021-01-31 17:15:18,46,Female,Others,40.53,Card,2.9,Heavy,4.95,No,Yes,Yes,Yes
Bicycle,Motorcycle,Business,88.89,10.27,2021-02-01 18:11:10,2021-02-01 19:40:03,64,Female,Singaporean,30.15,Travel Pass,1.1,Heavy,2.87,Yes,No,No,No
Train,Electric Scooter,Others,104.61,14.8,2021-02-02 20:28:06,2021-02-02 22:12:43,23,Male,Indian,40.45,Mobile App,4.3,Light,6.78,Yes,Yes,Yes,No
Bus,SUV,Business,88.94,34.24,2021-02-03 22:45:02,2021-02-04 00:13:58,63,Male,Singaporean,29.25,Cash,3.8,Moderate,9.01,No,Yes,No,No
Bus,Electric Scooter,School,105.93,18.53,2021-02-05 01:01:58,2021-02-05 02:47:54,27,Female,Others,44.23,Card,2.4,Heavy,6.23,No,Yes,Yes,Yes
Train,Motorcycle,Shopping,101.42,45.96,2021-02-06 03:18:55,2021-02-06 05:00:20,47,Male,Malaysian,35.31,Card,1.4,Light,3.44,No,No,Yes,Yes
Bicycle,Van,School,60.2,5.88,2021-02-07 05:35:51,2021-02-07 06:36:03,50,Male,Singaporean,47.66,Card,4.1,Light,1.01,No,Yes,No,No
Bicycle,None,Others,45.67,28.56,2021-02-08 07:52:47,2021-02-08 08:38:27,30,Female,Others,13.66,Card,2.9,Light,4.86,No,Yes,No,No
Train,Motorcycle,Others,113.03,3.94,2021-02-09 10:09:43,2021-02-09 12:02:45,73,Male,Indonesian,10.63,Cash,2.6,Moderate,6.51,Yes,Yes,No,Yes
Bicycle,Sedan,Commuting,51.58,10.76,2021-02-10 12:26:40,2021-02-10 13:18:15,59,Male,Indian,34.47,Card,4.3,Moderate,1.2,Yes,Yes,Yes,Yes
Walk,Motorcycle,Shopping,103.79,49.08,2021-02-11 14:43:36,2021-02-11 16:27:23,53,Female,Indonesian,12.97,Mobile App,1.7,Moderate,2.36,No,No,Yes,Yes
Bus,Sedan,Shopping,18.23,12.08,2021-02-12 17:00:32,2021-02-12 17:18:46,37,Male,Singaporean,35.09,Cash,2.9,Heavy,9.08,Yes,Yes,Yes,Yes
Bicycle,Van,School,114.18,11.94,2021-02-13 19:17:28,2021-02-13 21:11:39,35,Male,Indian,37.48,Mobile App,2.5,Heavy,4.34,Yes,Yes,No,No
Private Car,Van,Shopping,45.89,41.37,2021-02-14 21:34:24,2021-02-14 22:20:17,55,Male,Singaporean,30.98,Travel Pass,3.2,Moderate,2.41,Yes,Yes,Yes,Yes
Taxi,SUV,Commuting,39.69,8.41,2021-02-15 23:51:21,2021-02-16 00:31:02,67,Male,Singaporean,27.11,Travel Pass,1.1,Heavy,4.26,Yes,Yes,No,Yes
Bus,SUV,Shopping,112.76,9.03,2021-02-17 02:08:17,2021-02-17 04:01:03,42,Female,Indonesian,27.84,Travel Pass,4.6,Moderate,2.21,Yes,No,Yes,Yes
Private Car,SUV,Others,80.62,13.83,2021-02-18 04:25:13,2021-02-18 05:45:50,65,Male,Indian,50,Card,2.9,Light,2.72,No,Yes,No,Yes
Train,Motorcycle,School,38.95,23.26,2021-02-19 06:42:09,2021-02-19 07:21:06,66,Male,Others,35.8,Cash,3,Heavy,4.82,No,Yes,Yes,No
Bicycle,Van,Commuting,91.31,19.87,2021-02-20 08:59:05,2021-02-20 10:30:24,54,Male,Malaysian,39.92,Card,4.3,Light,4.31,Yes,Yes,Yes,No
Taxi,SUV,Leisure,18.81,12.61,2021-02-21 11:16:02,2021-02-21 11:34:51,59,Male,Indonesian,37.55,Travel Pass,4.1,Moderate,5.11,No,Yes,No,Yes
Bus,SUV,Commuting,99.52,31.53,2021-02-22 13:32:58,2021-02-22 15:12:29,38,Male,Others,36.16,Cash,1.3,Moderate,5.83,No,Yes,No,No
Walk,None,Leisure,20.18,37.5,2021-02-23 15:49:54,2021-02-23 16:10:05,27,Female,Malaysian,0.54,Mobile App,3.6,Moderate,1,No,Yes,No,Yes
Walk,Van,Shopping,71.26,47.1,2021-02-24 18:06:50,2021-02-24 19:18:06,68,Female,Malaysian,1.77,Card,2,Light,7.88,No,No,No,Yes
Walk,Electric Scooter,Commuting,91.73,22.93,2021-02-25 20:23:47,2021-02-25 21:55:31,23,Female,Others,21.85,Mobile App,5,Light,3.44,Yes,No,No,Yes
Bicycle,Motorcycle,Business,109.45,17.74,2021-02-26 22:40:43,2021-02-27 00:30:10,57,Female,Indonesian,44.04,Mobile App,4.5,Light,0.16,Yes,Yes,No,No
Private Car,Van,School,14.12,45.76,2021-02-28 00:57:39,2021-02-28 01:11:46,50,Female,Indonesian,20.62,Card,4.7,Light,3.96,Yes,Yes,No,Yes
Walk,Electric Scooter,Leisure,26.21,21.88,2021-03-01 03:14:35,2021-03-01 03:40:48,68,Male,Singaporean,13.82,Mobile App,2.6,Heavy,3.81,No,Yes,No,No
Taxi,Electric Scooter,Shopping,65.41,18.76,2021-03-02 05:31:31,2021-03-02 06:36:56,60,Female,Indonesian,8.88,Cash,4.3,Heavy,0.45,No,No,Yes,No
Private Car,SUV,Commuting,90.29,31.47,2021-03-03 07:48:28,2021-03-03 09:18:45,42,Male,Others,11.19,Mobile App,2.2,Moderate,3.06,No,Yes,No,No
Taxi,Van,Business,22.19,23.41,2021-03-04 10:05:24,2021-03-04 10:27:35,23,Male,Indian,40.71,Cash,2,Heavy,4.33,No,No,No,No
Train,Motorcycle,Leisure,6.66,22.5,2021-03-05 12:22:20,2021-03-05 12:29:00,23,Female,Others,6.64,Mobile App,1.5,Moderate,9.88,No,Yes,Yes,No
Taxi,Motorcycle,Shopping,107.06,18.26,2021-03-06 14:39:16,2021-03-06 16:26:20,74,Female,Singaporean,8.56,Cash,2.5,Heavy,7.6,No,No,Yes,No
Taxi,None,Others,27.47,29.17,2021-03-07 16:56:12,2021-03-07 17:23:40,21,Male,Singaporean,10.72,Card,3.9,Moderate,9.44,Yes,No,Yes,No
Taxi,Electric Scooter,School,9.13,7.68,2021-03-08 19:13:09,2021-03-08 19:22:17,61,Male,Others,8.66,Card,2.3,Moderate,8.71,Yes,No,Yes,No
Private Car,Van,Others,111.96,15.41,2021-03-09 21:30:05,2021-03-09 23:22:03,60,Male,Singaporean,45.22,Mobile App,2,Heavy,0.82,No,Yes,No,No
Train,None,Business,50.76,14.68,2021-03-10 23:47:01,2021-03-11 00:37:47,22,Male,Others,29.13,Card,2.8,Moderate,7.35,Yes,No,Yes,Yes
Walk,Sedan,School,18.02,42.24,2021-03-12 02:03:57,2021-03-12 02:21:58,78,Male,Malaysian,8.82,Card,3.8,Light,7.87,No,Yes,Yes,Yes
Bus,Sedan,Commuting,104.62,2.69,2021-03-13 04:20:54,2021-03-13 06:05:31,62,Male,Others,37.77,Card,4.5,Moderate,3.18,Yes,No,No,Yes
Bus,Electric Scooter,Commuting,5.52,9.4,2021-03-14 06:37:50,2021-03-14 06:43:21,18,Male,Others,37.28,Mobile App,3.7,Heavy,3.44,No,Yes,Yes,No
Taxi,Electric Scooter,Others,109.14,25.31,2021-03-15 08:54:46,2021-03-15 10:43:54,42,Female,Singaporean,12.52,Cash,1.3,Moderate,4.57,Yes,No,Yes,Yes
Private Car,Electric Scooter,Leisure,103.44,39.66,2021-03-16 11:11:42,2021-03-16 12:55:08,61,Male,Indian,1.04,Cash,4.6,Heavy,4.46,No,Yes,No,No
Bus,SUV,Leisure,117.41,32.17,2021-03-17 13:28:38,2021-03-17 15:26:03,54,Female,Indian,40.23,Travel Pass,3.5,Moderate,5.1,No,Yes,No,Yes
Train,SUV,Others,57.4,3.74,2021-03-18 15:45:35,2021-03-18 16:42:59,50,Female,Indonesian,17.41,Travel Pass,2.8,Heavy,8.49,Yes,No,Yes,Yes
Bus,None,Leisure,94.59,49.03,2021-03-19 18:02:31,2021-03-19 19:37:06,62,Male,Indonesian,4.53,Mobile App,2.9,Heavy,7.45,No,No,Yes,Yes
Bicycle,Van,Business,23.28,35.9,2021-03-20 20:19:27,2021-03-20 20:42:44,27,Male,Indian,26.25,Card,3.1,Light,9.5,Yes,No,No,No
Train,Sedan,Others,74.21,43.32,2021-03-21 22:36:23,2021-03-21 23:50:36,26,Female,Others,31.52,Travel Pass,4.4,Moderate,4.28,No,Yes,No,No
Train,Electric Scooter,Leisure,93.77,48.88,2021-03-23 00:53:20,2021-03-23 02:27:06,33,Male,Indian,41.16,Travel Pass,3.5,Heavy,0.38,Yes,No,Yes,Yes
Walk,Electric Scooter,Business,105.09,6.62,2021-03-24 03:10:16,2021-03-24 04:55:21,69,Male,Singaporean,17.99,Card,2,Heavy,6.67,Yes,No,No,No
Taxi,Motorcycle,Commuting,8.47,26.1,2021-03-25 05:27:12,2021-03-25 05:35:40,30,Female,Indonesian,47.85,Card,2.2,Light,6.95,No,Yes,Yes,Yes
Taxi,Sedan,School,58.07,25.13,2021-03-26 07:44:08,2021-03-26 08:42:12,35,Male,Others,13.36,Card,3.9,Light,9.76,No,Yes,Yes,No
Walk,Sedan,School,85.68,13.58,2021-03-27 10:01:04,2021-03-27 11:26:45,24,Male,Malaysian,18.06,Cash,1.3,Heavy,6.94,Yes,No,No,Yes
Train,None,Others,36.42,39.02,2021-03-28 12:18:01,2021-03-28 12:54:26,37,Male,Singaporean,25.36,Card,1.5,Heavy,5.22,Yes,No,Yes,No
Bicycle,Electric Scooter,Others,94.54,19.42,2021-03-29 14:34:57,2021-03-29 16:09:29,30,Female,Malaysian,28.64,Travel Pass,1.2,Moderate,4.71,No,No,Yes,No
Taxi,Sedan,Shopping,114.54,3.07,2021-03-30 16:51:53,2021-03-30 18:46:25,21,Male,Others,28.51,Travel Pass,1.6,Moderate,5.03,No,No,No,Yes
Bicycle,Van,Others,48.52,45.53,2021-03-31 19:08:49,2021-03-31 19:57:20,57,Male,Singaporean,9.79,Mobile App,1.5,Heavy,0.07,No,No,No,Yes
Bicycle,Electric Scooter,School,107.1,49.32,2021-04-01 21:25:45,2021-04-01 23:12:51,77,Female,Singaporean,16.82,Mobile App,4.2,Moderate,7.56,No,Yes,No,No
Walk,Motorcycle,Commuting,85.7,14.33,2021-04-02 23:42:42,2021-04-03 01:08:24,36,Male,Malaysian,38.2,Mobile App,1.5,Heavy,6.79,No,No,Yes,No
Bus,Motorcycle,Commuting,30.59,11.14,2021-04-04 01:59:38,2021-04-04 02:30:13,24,Male,Indian,28.77,Travel Pass,1.1,Light,6.69,Yes,Yes,No,No
Walk,Motorcycle,School,88.18,38.35,2021-04-05 04:16:34,2021-04-05 05:44:45,73,Female,Indian,29.19,Mobile App,4.5,Heavy,4.77,No,No,Yes,Yes
Taxi,Van,Leisure,96.59,16.91,2021-04-06 06:33:30,2021-04-06 08:10:05,42,Male,Singaporean,49.42,Card,3.1,Moderate,3.64,Yes,Yes,Yes,Yes
Walk,Van,School,101.83,18.49,2021-04-07 08:50:27,2021-04-07 10:32:17,55,Male,Indonesian,10.28,Travel Pass,1.8,Heavy,9.97,Yes,No,No,Yes
Bus,Electric Scooter,Commuting,95.4,42.17,2021-04-08 11:07:23,2021-04-08 12:42:47,73,Female,Malaysian,28.32,Mobile App,2.1,Moderate,7.96,Yes,No,Yes,Yes
Private Car,Electric Scooter,Commuting,32.96,21.77,2021-04-09 13:24:19,2021-04-09 13:57:17,43,Male,Malaysian,11.41,Card,1.1,Moderate,0.07,Yes,Yes,No,Yes
Bus,Motorcycle,Shopping,118.38,37.74,2021-04-10 15:41:15,2021-04-10 17:39:38,35,Female,Singaporean,43.87,Travel Pass,1.6,Heavy,9.79,Yes,Yes,Yes,Yes
Taxi,Van,Leisure,91.84,34.45,2021-04-11 17:58:11,2021-04-11 19:30:01,79,Female,Others,0.29,Card,1.3,Heavy,4.54,Yes,Yes,Yes,No
Bicycle,Electric Scooter,Commuting,28,36.79,2021-04-12 20:15:08,2021-04-12 20:43:08,23,Female,Singaporean,13.9,Travel Pass,3.1,Moderate,9.78,Yes,Yes,No,Yes
Walk,None,Commuting,52.78,5.53,2021-04-13 22:32:04,2021-04-13 23:24:51,47,Female,Others,22.61,Travel Pass,3.1,Heavy,1.08,No,No,No,No
Train,None,School,54.76,10.56,2021-04-15 00:49:00,2021-04-15 01:43:46,73,Female,Indian,20.14,Card,3,Moderate,8.47,No,No,Yes,Yes
Private Car,None,School,23.08,27.12,2021-04-16 03:05:56,2021-04-16 03:29:01,24,Female,Indonesian,4.58,Card,1.3,Heavy,6.44,Yes,Yes,No,Yes
Train,Sedan,Shopping,7.21,17.24,2021-04-17 05:22:52,2021-04-17 05:30:05,77,Female,Others,2.58,Cash,4.3,Moderate,3.44,Yes,No,Yes,Yes
Bus,Sedan,School,15.94,40.96,2021-04-18 07:39:49,2021-04-18 07:55:45,63,Male,Others,40.09,Card,4.6,Moderate,4.79,Yes,No,No,Yes
Bus,Electric Scooter,Leisure,45.21,11.33,2021-04-19 09:56:45,2021-04-19 10:41:58,47,Female,Indian,39.17,Travel Pass,4.7,Light,1.84,No,No,No,No
Walk,SUV,School,17.22,31.04,2021-04-20 12:13:41,2021-04-20 12:30:54,51,Female,Indonesian,10.84,Mobile App,2.9,Moderate,1.04,No,No,No,No
Private Car,Electric Scooter,School,80.14,1.02,2021-04-21 14:30:37,2021-04-21 15:50:45,69,Female,Indian,47.53,Mobile App,3.5,Light,0.49,No,Yes,Yes,Yes
Train,Electric Scooter,Commuting,24.88,40.01,2021-04-22 16:47:34,2021-04-22 17:12:27,69,Male,Malaysian,11.67,Card,4.4,Moderate,6.82,Yes,Yes,No,Yes
Private Car,None,Business,76.66,4.74,2021-04-23 19:04:30,2021-04-23 20:21:10,78,Female,Others,5.79,Mobile App,4.9,Heavy,4.89,No,Yes,Yes,No
Bus,Sedan,Others,93.77,42.95,2021-04-24 21:21:26,2021-04-24 22:55:12,45,Male,Others,30.13,Card,2.8,Moderate,9.05,No,No,Yes,Yes
Taxi,Sedan,Others,119.52,13.02,2021-04-25 23:38:22,2021-04-26 01:37:53,19,Female,Indonesian,48.24,Card,4.3,Heavy,0.94,Yes,No,No,Yes
Bus,None,Shopping,32.4,35.23,2021-04-27 01:55:18,2021-04-27 02:27:42,45,Male,Others,44.12,Mobile App,4.3,Light,1.73,No,No,Yes,No
Train,Motorcycle,Shopping,83.48,7.42,2021-04-28 04:12:15,2021-04-28 05:35:44,43,Female,Indonesian,13.86,Card,4.9,Light,7.03,Yes,Yes,Yes,Yes
Private Car,Van,Shopping,73.65,2.34,2021-04-29 06:29:11,2021-04-29 07:42:50,19,Female,Indonesian,35.77,Travel Pass,1.5,Light,8.32,No,No,Yes,Yes
Train,SUV,Business,108.1,2.38,2021-04-30 08:46:07,2021-04-30 10:34:13,44,Male,Indian,37.21,Travel Pass,3.5,Light,5.51,No,Yes,Yes,Yes
Bicycle,Van,Shopping,77.08,34.88,2021-05-01 11:03:03,2021-05-01 12:20:08,74,Female,Indian,0.07,Mobile App,1.4,Light,0.35,Yes,Yes,Yes,No
Bus,Sedan,Others,103.74,24.51,2021-05-02 13:20:00,2021-05-02 15:03:44,21,Female,Indonesian,46.05,Travel Pass,1.9,Moderate,3.82,Yes,Yes,No,Yes
Bus,None,Commuting,66.58,24.63,2021-05-03 15:36:56,2021-05-03 16:43:31,74,Male,Others,4.19,Card,2.6,Heavy,6.38,No,Yes,Yes,Yes
Private Car,Sedan,Business,31.79,46.37,2021-05-04 17:53:52,2021-05-04 18:25:39,42,Male,Others,10.7,Card,3.2,Light,9.18,No,No,Yes,No
Private Car,None,Shopping,92.72,20.52,2021-05-05 20:10:48,2021-05-05 21:43:31,52,Female,Others,13.48,Travel Pass,3.1,Light,5.75,No,No,Yes,No
Bus,Sedan,Leisure,26.29,19.99,2021-05-06 22:27:44,2021-05-06 22:54:01,61,Female,Others,18.47,Cash,1.7,Heavy,4.35,No,Yes,Yes,Yes
Train,Van,Commuting,103.07,10.05,2021-05-08 00:44:41,2021-05-08 02:27:45,50,Male,Indian,1.82,Cash,1.4,Moderate,9.94,Yes,Yes,No,No
Bus,Sedan,Shopping,76.84,32.11,2021-05-09 03:01:37,2021-05-09 04:18:27,40,Female,Malaysian,9.61,Cash,3.3,Light,2.65,Yes,Yes,Yes,Yes
Bicycle,SUV,Commuting,101.06,23.31,2021-05-10 05:18:33,2021-05-10 06:59:37,32,Female,Others,7.01,Cash,1.8,Light,3.76,No,Yes,Yes,No
Taxi,Van,Shopping,17.74,28.44,2021-05-11 07:35:29,2021-05-11 07:53:13,63,Female,Indian,0.84,Card,4.9,Moderate,8.94,Yes,Yes,No,No
Taxi,SUV,Others,97.86,49.59,2021-05-12 09:52:25,2021-05-12 11:30:17,65,Female,Indonesian,33.13,Card,4.8,Light,8.95,Yes,No,No,No
Taxi,None,Others,67.22,49.01,2021-05-13 12:09:22,2021-05-13 13:16:35,65,Male,Malaysian,35.74,Travel Pass,4.1,Light,3.4,No,No,No,Yes
Bicycle,None,School,53.43,25.52,2021-05-14 14:26:18,2021-05-14 15:19:44,56,Female,Indonesian,19.51,Cash,2.2,Moderate,0.09,No,No,No,No
Train,Van,Others,64.41,14.08,2021-05-15 16:43:14,2021-05-15 17:47:39,78,Male,Others,1.27,Cash,1.2,Heavy,0.76,No,Yes,Yes,Yes
Bus,SUV,School,29.43,27.93,2021-05-16 19:00:10,2021-05-16 19:29:36,26,Male,Others,35.55,Cash,2.2,Light,3.71,Yes,No,No,Yes
Private Car,None,Business,102.02,45,2021-05-17 21:17:07,2021-05-17 22:59:08,75,Male,Others,21.34,Travel Pass,1.5,Heavy,9.76,No,No,Yes,Yes
Bus,Motorcycle,Business,28.29,32.91,2021-05-18 23:34:03,2021-05-19 00:02:20,20,Male,Malaysian,13.88,Cash,2.2,Heavy,9.58,Yes,No,No,Yes
Bicycle,Motorcycle,Business,10.41,39.01,2021-05-20 01:50:59,2021-05-20 02:01:24,29,Female,Singaporean,19.33,Cash,4,Moderate,8.67,No,Yes,Yes,No
Walk,Motorcycle,Others,40.36,38.57,2021-05-21 04:07:55,2021-05-21 04:48:17,38,Female,Indonesian,21.87,Cash,3.6,Light,9.75,No,Yes,No,Yes
Train,Sedan,Commuting,73.58,20.79,2021-05-22 06:24:51,2021-05-22 07:38:26,27,Female,Others,38.37,Travel Pass,2.7,Moderate,8.74,No,Yes,Yes,Yes
Private Car,Sedan,Leisure,57.92,9.11,2021-05-23 08:41:48,2021-05-23 09:39:43,49,Male,Indian,49.74,Travel Pass,2.1,Heavy,0.61,No,No,Yes,No
Bus,None,Shopping,108.78,34.64,2021-05-24 10:58:44,2021-05-24 12:47:31,21,Female,Singaporean,48.41,Cash,2.3,Heavy,1.2,Yes,Yes,No,Yes
Walk,None,Business,8.82,3.05,2021-05-25 13:15:40,2021-05-25 13:24:29,58,Male,Indonesian,47.77,Cash,2.8,Heavy,3.04,Yes,No,Yes,No
Taxi,Sedan,School,88.11,20.97,2021-05-26 15:32:36,2021-05-26 17:00:43,21,Female,Indonesian,12.79,Mobile App,4,Heavy,7,No,No,No,No
Bicycle,Sedan,Commuting,54.07,46.81,2021-05-27 17:49:32,2021-05-27 18:43:36,32,Male,Indonesian,28.98,Travel Pass,4.9,Heavy,7.68,No,No,No,Yes
Walk,None,Leisure,15.07,17.07,2021-05-28 20:06:29,2021-05-28 20:21:33,62,Male,Indonesian,35.87,Travel Pass,1.1,Moderate,3.21,No,Yes,No,Yes
Bus,SUV,School,97.22,32.29,2021-05-29 22:23:25,2021-05-30 00:00:38,50,Female,Malaysian,32.11,Travel Pass,2.2,Moderate,2.04,Yes,Yes,Yes,Yes
Taxi,None,Commuting,50.69,3.53,2021-05-31 00:40:21,2021-05-31 01:31:02,18,Male,Indonesian,25.27,Mobile App,2,Heavy,7.3,No,Yes,No,Yes
Taxi,SUV,Others,45.06,3.33,2021-06-01 02:57:17,2021-06-01 03:42:21,44,Male,Malaysian,37.8,Cash,4.6,Moderate,7.11,Yes,Yes,No,Yes
Private Car,Sedan,School,36.91,32.87,2021-06-02 05:14:14,2021-06-02 05:51:09,67,Male,Indonesian,34.84,Travel Pass,2.4,Moderate,5.44,Yes,No,No,Yes
Bus,None,Leisure,86.99,37.44,2021-06-03 07:31:10,2021-06-03 08:58:09,26,Female,Indian,49.91,Cash,1.4,Light,8.83,Yes,No,No,Yes
Bus,Sedan,Business,13.82,13.08,2021-06-04 09:48:06,2021-06-04 10:01:55,26,Male,Indian,10.78,Mobile App,3.8,Heavy,2.63,Yes,No,Yes,No
Private Car,Van,Business,104.11,10.82,2021-06-05 12:05:02,2021-06-05 13:49:09,45,Female,Indonesian,26.17,Cash,3.3,Moderate,2.76,No,No,Yes,No
Bicycle,Van,Commuting,58,18.82,2021-06-06 14:21:58,2021-06-06 15:19:58,41,Male,Malaysian,0.18,Mobile App,5,Heavy,0.84,No,No,Yes,Yes
Private Car,SUV,Business,64.78,30.99,2021-06-07 16:38:55,2021-06-07 17:43:42,59,Female,Others,2.89,Travel Pass,2.1,Light,4.74,No,No,Yes,No
Bus,Sedan,School,103.92,10.27,2021-06-08 18:55:51,2021-06-08 20:39:46,20,Female,Malaysian,29.4,Mobile App,2.7,Light,8.27,Yes,No,Yes,Yes
Train,Van,Commuting,51.71,31.56,2021-06-09 21:12:47,2021-06-09 22:04:30,31,Male,Indonesian,45.11,Card,2.6,Light,6.45,No,No,Yes,No
Train,None,Leisure,24.2,42.84,2021-06-10 23:29:43,2021-06-10 23:53:55,43,Female,Indian,11.79,Mobile App,3.4,Light,8.05,No,Yes,No,No
Walk,Electric Scooter,School,97.59,23.64,2021-06-12 01:46:40,2021-06-12 03:24:15,54,Male,Malaysian,1.83,Mobile App,3,Moderate,7.11,Yes,No,No,Yes
Private Car,SUV,Others,20.94,36.56,2021-06-13 04:03:36,2021-06-13 04:24:32,21,Male,Others,24.93,Travel Pass,1.7,Moderate,3.08,No,Yes,No,Yes
Walk,Motorcycle,Business,52.55,31.78,2021-06-14 06:20:32,2021-06-14 07:13:05,75,Female,Malaysian,20.86,Cash,1.9,Light,5.81,No,Yes,Yes,No
Bicycle,Motorcycle,Leisure,11.24,48.29,2021-06-15 08:37:28,2021-06-15 08:48:42,20,Female,Malaysian,37.1,Card,1.6,Moderate,2.88,No,No,No,No
