Age,Gender,Race,Educational_Level,Marital_Status,Industry,Occupation,Years_in_Current_Job,Employment_Type,Monthly_Income_SGD,Job_Satisfaction_Level,Skills_Training,Promotion_in_Last_5_Years,Looking_for_Job_Change,Work_Hours_per_Week,Commute_Time_One_Way_Hours,Previous_Employment_Status,Residency_Status,Languages_Spoken,Work_Location_Preference,Recent_Training_or_Courses,Expected_Salary_Increase_%,Job_Security_Concerns,Interview_Date
55,Male,Malay,Master,Single,Hospitality,Technician,23,Full-time,14957.77,Satisfied,Yes,No,No,45.6,1.43,Student,Citizen,Others,Hybrid,Yes,18.2,No,2023-09-13
57,Female,Chinese,High School,Single,Finance,Laborer,20,Full-time,12211.16,Unsatisfied,No,No,Yes,39,1.1,Retired,Foreigner,Malay,Remote,Yes,16.3,No,2022-04-25
34,Female,Malay,High School,Divorced,Healthcare,Engineer,29,Contract,2288.22,Very Unsatisfied,No,No,No,42.4,0.61,Employed,Citizen,Malay,Remote,Yes,16.2,No,2021-01-06
33,Male,Chinese,Master,Single,Finance,Doctor,22,Self-employed,12114.33,Very Unsatisfied,Yes,Yes,Yes,38,1.55,Unemployed,Foreigner,Mandarin,On-site,No,19.8,Yes,2023-07-14
54,Male,Indian,Diploma,Married,Education,Laborer,11,Contract,3956.69,Unsatisfied,No,Yes,No,49.4,1.32,Student,Citizen,Others,Hybrid,Yes,14.1,Yes,2022-11-15
50,Female,Malay,PhD,Widowed,Education,Manager,27,Part-time,2421.66,Very Unsatisfied,Yes,No,No,57.7,0.85,Retired,Permanent Resident,Tamil,Hybrid,No,18.3,Yes,2022-12-19
34,Female,Indian,High School,Widowed,Hospitality,Teacher,22,Part-time,14590.6,Satisfied,No,No,Yes,47.8,1.31,Employed,Foreigner,Malay,Hybrid,No,15.7,No,2022-05-27
35,Male,Chinese,Master,Divorced,Finance,Teacher,22,Contract,13150.21,Very Unsatisfied,Yes,Yes,Yes,41.9,0.85,Student,Permanent Resident,English,Remote,No,5.7,Yes,2023-11-18
23,Female,Malay,PhD,Widowed,Finance,Clerk,16,Part-time,4187.81,Very Unsatisfied,No,Yes,Yes,36.8,0.9,Employed,Permanent Resident,Others,Hybrid,Yes,6.5,No,2021-11-06
53,Female,Malay,Diploma,Divorced,Construction,Clerk,0,Self-employed,12325.4,Unsatisfied,Yes,Yes,No,49,0.97,Retired,Citizen,Others,Remote,Yes,12.5,Yes,2023-08-16
40,Male,Malay,Diploma,Widowed,Construction,Manager,12,Full-time,7569.86,Very Satisfied,No,No,No,37.5,1.22,Student,Permanent Resident,Mandarin,Remote,No,11.2,No,2021-02-23
40,Male,Others,PhD,Single,Finance,Manager,3,Self-employed,11627.59,Satisfied,No,Yes,No,47.4,1.16,Unemployed,Permanent Resident,Others,Hybrid,Yes,5,Yes,2022-08-23
43,Female,Others,High School,Married,Healthcare,Manager,29,Part-time,13271.18,Very Satisfied,Yes,No,Yes,43.6,0.93,Unemployed,Citizen,Others,Hybrid,No,19.9,No,2023-05-01
37,Female,Malay,Bachelor,Widowed,Hospitality,Technician,2,Contract,14605.09,Very Satisfied,Yes,Yes,Yes,35.7,1.72,Student,Permanent Resident,Malay,On-site,Yes,10.4,Yes,2021-02-27
38,Female,Indian,High School,Widowed,Healthcare,Engineer,1,Self-employed,11023.25,Unsatisfied,No,No,No,38.8,0.53,Employed,Foreigner,Others,Remote,Yes,8.3,No,2022-10-27
34,Female,Chinese,PhD,Married,Construction,Engineer,24,Part-time,6753.73,Very Unsatisfied,Yes,No,No,43.9,0.99,Employed,Foreigner,English,On-site,Yes,13.3,No,2023-01-04
63,Female,Malay,Bachelor,Single,Information Technology,Teacher,2,Self-employed,11174.15,Unsatisfied,Yes,No,Yes,55.9,1.18,Employed,Foreigner,Others,Hybrid,No,6.8,No,2022-04-21
38,Male,Chinese,PhD,Married,Information Technology,Technician,21,Full-time,7043.05,Very Satisfied,Yes,Yes,No,53.2,0.52,Employed,Foreigner,Malay,On-site,No,19.7,No,2023-05-02
55,Male,Indian,Master,Divorced,Healthcare,Manager,29,Self-employed,9888.23,Satisfied,No,No,No,50.3,0.64,Retired,Permanent Resident,English,Remote,Yes,19.3,Yes,2023-08-01
28,Female,Indian,PhD,Widowed,Healthcare,Engineer,24,Full-time,6773.26,Very Unsatisfied,Yes,No,Yes,45,1.12,Retired,Foreigner,Malay,Remote,No,11.5,No,2023-02-03
58,Female,Chinese,High School,Divorced,Healthcare,Clerk,6,Full-time,5151.36,Neutral,No,Yes,Yes,37.1,1.43,Retired,Citizen,Malay,Hybrid,Yes,7.1,Yes,2022-07-28
21,Female,Chinese,Master,Married,Finance,Manager,18,Part-time,5002.19,Very Satisfied,Yes,Yes,Yes,60,1.98,Student,Foreigner,English,On-site,Yes,17,No,2021-01-22
47,Female,Malay,PhD,Single,Hospitality,Teacher,5,Part-time,12652.87,Satisfied,Yes,No,Yes,49.8,1.56,Employed,Permanent Resident,Malay,On-site,Yes,18.7,Yes,2021-07-02
51,Male,Indian,Bachelor,Widowed,Hospitality,Doctor,8,Part-time,7554.23,Neutral,Yes,No,No,46.9,1.15,Retired,Foreigner,Mandarin,Hybrid,Yes,5.5,No,2022-03-11
55,Female,Others,Bachelor,Married,Education,Clerk,20,Self-employed,5899.51,Unsatisfied,Yes,No,No,58.9,1.73,Retired,Foreigner,Others,Hybrid,No,19.7,Yes,2023-03-04
55,Female,Indian,PhD,Married,Information Technology,Laborer,2,Self-employed,4613.32,Unsatisfied,No,Yes,Yes,48.9,1.24,Student,Permanent Resident,Mandarin,Hybrid,No,8.2,No,2021-06-18
55,Female,Indian,Bachelor,Widowed,Education,Clerk,7,Self-employed,4258.39,Satisfied,Yes,No,No,42.4,1.9,Retired,Permanent Resident,English,Remote,No,16.4,Yes,2021-03-16
22,Female,Others,High School,Widowed,Healthcare,Manager,26,Contract,10134.25,Neutral,No,No,Yes,44.2,1.82,Student,Foreigner,English,Remote,No,12.1,No,2021-10-12
43,Male,Indian,Diploma,Single,Education,Manager,10,Full-time,7376.48,Neutral,No,No,Yes,35.1,1.18,Retired,Permanent Resident,Mandarin,Remote,No,13.1,Yes,2022-06-24
61,Male,Chinese,Diploma,Widowed,Healthcare,Doctor,17,Contract,4407.76,Unsatisfied,Yes,No,Yes,42,0.97,Employed,Permanent Resident,English,On-site,No,11.9,No,2023-03-08
56,Male,Others,Bachelor,Divorced,Finance,Teacher,12,Contract,11477.23,Very Satisfied,No,No,Yes,44,0.76,Student,Foreigner,Mandarin,Hybrid,No,12.2,Yes,2022-06-07
26,Female,Indian,High School,Widowed,Construction,Engineer,28,Self-employed,5123.79,Unsatisfied,Yes,No,No,41.2,1.39,Student,Citizen,Others,Remote,Yes,9.6,Yes,2022-07-14
57,Female,Indian,High School,Widowed,Construction,Doctor,28,Self-employed,11276.07,Very Satisfied,No,No,No,47.4,1.96,Unemployed,Citizen,English,On-site,No,16.5,Yes,2021-04-15
48,Male,Chinese,Diploma,Single,Information Technology,Doctor,26,Full-time,5969.37,Unsatisfied,No,No,Yes,56.4,0.69,Employed,Foreigner,Others,Hybrid,Yes,12.6,No,2021-08-28
42,Female,Others,Master,Married,Healthcare,Teacher,5,Full-time,13918.08,Very Satisfied,No,No,Yes,37.7,1.18,Employed,Foreigner,Mandarin,On-site,No,9.8,No,2022-12-16
47,Male,Others,Bachelor,Married,Construction,Laborer,4,Full-time,6063.08,Very Unsatisfied,Yes,Yes,Yes,54.4,1.62,Unemployed,Permanent Resident,English,On-site,Yes,10.4,Yes,2023-03-04
23,Male,Indian,High School,Single,Education,Manager,26,Part-time,13479.8,Very Satisfied,Yes,No,Yes,54.5,0.85,Unemployed,Permanent Resident,Malay,Hybrid,No,16.5,No,2023-11-05
62,Female,Chinese,High School,Widowed,Finance,Teacher,18,Contract,11176.85,Neutral,Yes,No,No,37.5,1.9,Retired,Foreigner,Tamil,Hybrid,Yes,5.1,Yes,2021-11-12
29,Female,Chinese,Diploma,Married,Construction,Engineer,10,Contract,10166.49,Unsatisfied,No,Yes,Yes,48.4,0.82,Student,Citizen,English,On-site,Yes,18.3,Yes,2023-07-20
30,Male,Indian,High School,Widowed,Construction,Doctor,13,Self-employed,8437.57,Very Satisfied,Yes,No,Yes,58.7,1.58,Retired,Foreigner,English,Remote,Yes,19.3,No,2022-07-28
58,Female,Indian,Bachelor,Widowed,Hospitality,Clerk,23,Contract,9444.18,Very Satisfied,No,Yes,No,54.7,1.4,Student,Foreigner,Tamil,Remote,No,5.9,Yes,2022-10-28
37,Female,Indian,Master,Divorced,Healthcare,Teacher,10,Contract,7220.6,Unsatisfied,No,Yes,Yes,57.8,1.37,Retired,Citizen,Mandarin,Hybrid,Yes,9.7,No,2022-10-11
21,Male,Indian,Master,Married,Finance,Technician,4,Full-time,7897.89,Neutral,Yes,Yes,No,51.9,1.38,Retired,Foreigner,Mandarin,On-site,No,5.4,No,2023-06-06
20,Female,Indian,Master,Divorced,Construction,Engineer,14,Contract,9975.18,Satisfied,Yes,Yes,Yes,48.5,0.55,Employed,Citizen,Mandarin,Hybrid,Yes,14.5,Yes,2023-04-10
46,Female,Chinese,Master,Single,Information Technology,Doctor,17,Contract,4243.78,Unsatisfied,No,Yes,No,58.1,1.53,Student,Permanent Resident,Tamil,On-site,Yes,5.5,No,2022-11-03
36,Male,Malay,Master,Married,Information Technology,Manager,4,Self-employed,10724.4,Unsatisfied,No,No,No,50.6,1.9,Student,Foreigner,Others,Hybrid,No,9.6,No,2021-03-14
22,Female,Malay,High School,Widowed,Finance,Manager,5,Full-time,8976.04,Very Unsatisfied,No,Yes,Yes,47.8,1.75,Retired,Permanent Resident,Others,Remote,No,16.9,Yes,2021-06-03
54,Female,Malay,Bachelor,Widowed,Education,Teacher,16,Part-time,10082.88,Very Satisfied,No,Yes,Yes,40.2,1.01,Retired,Permanent Resident,Mandarin,Hybrid,Yes,11.3,No,2022-07-24
47,Male,Malay,PhD,Widowed,Construction,Clerk,25,Contract,14128.48,Satisfied,Yes,No,No,55.1,1.25,Unemployed,Citizen,Mandarin,Remote,Yes,15.6,No,2023-01-19
53,Female,Others,Bachelor,Widowed,Information Technology,Technician,17,Contract,10200.49,Unsatisfied,No,No,Yes,52.2,0.76,Retired,Permanent Resident,Others,Hybrid,Yes,14.8,Yes,2022-05-27
54,Female,Malay,Diploma,Married,Construction,Engineer,1,Part-time,9126.53,Very Satisfied,No,No,No,57,0.69,Student,Citizen,Others,On-site,Yes,13,No,2023-10-28
40,Female,Indian,Bachelor,Divorced,Hospitality,Doctor,28,Self-employed,14540.41,Satisfied,No,No,No,57.2,0.9,Student,Permanent Resident,Mandarin,Hybrid,Yes,8.6,No,2021-07-27
61,Female,Chinese,Diploma,Divorced,Education,Doctor,3,Contract,2106.16,Very Satisfied,Yes,Yes,Yes,41.1,1.45,Retired,Permanent Resident,English,Remote,No,19.9,No,2022-10-27
55,Female,Indian,Diploma,Widowed,Construction,Teacher,23,Self-employed,7853.76,Satisfied,No,No,No,41.5,1.64,Student,Permanent Resident,Malay,Remote,Yes,15.4,Yes,2023-09-17
25,Female,Indian,High School,Divorced,Construction,Laborer,15,Contract,13790.08,Neutral,No,No,Yes,56.5,1.73,Unemployed,Citizen,English,Remote,No,12,Yes,2021-10-13
41,Female,Others,Diploma,Widowed,Construction,Clerk,18,Contract,12879.76,Neutral,Yes,No,Yes,54.1,1.38,Employed,Permanent Resident,Tamil,Remote,No,7.7,No,2023-01-05
52,Female,Indian,PhD,Single,Information Technology,Laborer,10,Self-employed,7292.92,Very Satisfied,No,No,Yes,39.5,1.57,Employed,Citizen,Mandarin,On-site,No,13.2,No,2022-11-05
31,Female,Malay,Bachelor,Widowed,Healthcare,Doctor,16,Contract,12100.12,Neutral,No,Yes,Yes,37.7,1.28,Employed,Citizen,Mandarin,Hybrid,No,6.7,Yes,2021-08-05
44,Female,Malay,Diploma,Widowed,Finance,Doctor,11,Full-time,14046.06,Very Unsatisfied,Yes,Yes,No,56.8,1.08,Employed,Foreigner,Mandarin,Hybrid,No,7.6,No,2021-08-04
35,Male,Malay,High School,Widowed,Construction,Teacher,15,Self-employed,5463.11,Satisfied,Yes,No,Yes,56.5,1.94,Unemployed,Foreigner,Malay,Remote,No,13,No,2021-12-14
30,Male,Chinese,Diploma,Single,Healthcare,Doctor,10,Contract,7171.29,Very Unsatisfied,No,No,No,59.7,1.75,Unemployed,Citizen,Mandarin,Hybrid,Yes,7.3,Yes,2021-08-06
57,Male,Indian,Diploma,Single,Education,Laborer,19,Part-time,7946.87,Neutral,Yes,Yes,No,58.8,0.54,Student,Permanent Resident,Others,Remote,No,14.6,Yes,2022-12-14
45,Female,Malay,High School,Divorced,Hospitality,Laborer,14,Part-time,5588.11,Unsatisfied,No,No,No,48.3,1.08,Retired,Permanent Resident,Others,On-site,Yes,19.9,Yes,2023-10-04
62,Female,Others,Diploma,Married,Information Technology,Teacher,17,Contract,12173.81,Satisfied,Yes,No,No,35.3,1.5,Retired,Foreigner,Mandarin,Hybrid,Yes,18.1,Yes,2023-03-03
43,Male,Malay,PhD,Widowed,Hospitality,Technician,3,Part-time,8989.17,Neutral,Yes,No,Yes,45.1,1.31,Employed,Foreigner,Others,Hybrid,Yes,11.1,No,2021-09-19
20,Female,Others,High School,Single,Hospitality,Teacher,3,Contract,14338.2,Satisfied,No,No,Yes,58.5,1.17,Student,Permanent Resident,English,Hybrid,Yes,7.5,Yes,2023-10-27
38,Male,Malay,High School,Divorced,Education,Engineer,20,Part-time,10738.19,Very Unsatisfied,No,No,Yes,35.6,0.93,Retired,Permanent Resident,Others,On-site,No,11,Yes,2023-03-07
50,Male,Indian,PhD,Widowed,Education,Doctor,19,Full-time,14437.56,Satisfied,No,No,No,42.6,0.97,Retired,Citizen,Others,Remote,Yes,12.7,No,2021-05-10
34,Female,Chinese,Master,Single,Information Technology,Laborer,22,Full-time,3749.29,Very Unsatisfied,No,No,Yes,48.2,1.3,Employed,Citizen,Others,Remote,Yes,14.4,Yes,2023-04-09
45,Female,Others,Diploma,Widowed,Hospitality,Doctor,7,Self-employed,9845.21,Very Satisfied,No,No,Yes,37.3,0.78,Retired,Foreigner,English,Remote,Yes,6.4,No,2023-05-20
61,Female,Indian,Master,Divorced,Finance,Manager,8,Self-employed,2576.39,Neutral,Yes,Yes,Yes,55.1,1.38,Student,Permanent Resident,Tamil,Hybrid,No,7.1,No,2022-06-04
57,Male,Others,PhD,Widowed,Construction,Teacher,11,Part-time,10071.73,Satisfied,No,Yes,No,48.8,1.34,Employed,Foreigner,Malay,On-site,Yes,6.1,No,2023-09-21
58,Female,Malay,Master,Married,Construction,Manager,9,Part-time,10548.18,Very Unsatisfied,Yes,No,No,55.9,0.85,Unemployed,Permanent Resident,Malay,Remote,Yes,17.7,No,2023-07-18
33,Male,Indian,High School,Widowed,Healthcare,Manager,11,Contract,5325.62,Neutral,Yes,Yes,Yes,40.8,0.76,Unemployed,Foreigner,Mandarin,Remote,Yes,13.4,Yes,2023-08-05
61,Male,Others,High School,Widowed,Information Technology,Doctor,0,Self-employed,14187.03,Neutral,No,Yes,Yes,45.2,1.62,Retired,Citizen,Tamil,Remote,Yes,6.4,Yes,2023-12-11
26,Female,Chinese,Diploma,Married,Finance,Doctor,11,Full-time,11503.87,Satisfied,Yes,Yes,No,51.4,1.07,Employed,Foreigner,Malay,Hybrid,No,14.5,Yes,2021-01-09
50,Female,Malay,Diploma,Single,Finance,Teacher,20,Part-time,14802.56,Neutral,No,No,No,56.4,0.82,Employed,Citizen,Others,Hybrid,No,10.8,Yes,2022-06-13
26,Male,Malay,Master,Divorced,Education,Engineer,3,Part-time,8481.37,Very Satisfied,Yes,No,No,38.9,1.18,Employed,Foreigner,Mandarin,Remote,No,17.8,Yes,2022-01-03
42,Female,Indian,Diploma,Single,Construction,Laborer,0,Full-time,11792.58,Very Unsatisfied,No,No,No,47.4,1.41,Employed,Permanent Resident,Malay,On-site,No,11.1,Yes,2023-03-15
27,Male,Others,PhD,Single,Healthcare,Clerk,22,Full-time,5546.65,Very Satisfied,No,No,Yes,46.4,1.21,Unemployed,Foreigner,Malay,Remote,Yes,5.6,Yes,2022-01-24
37,Female,Malay,Master,Divorced,Information Technology,Clerk,15,Contract,8025.43,Very Satisfied,No,Yes,Yes,42.9,1.66,Retired,Foreigner,Others,Remote,No,12.7,No,2023-05-09
62,Male,Chinese,PhD,Divorced,Construction,Technician,26,Contract,4893.04,Satisfied,No,Yes,No,56.3,0.56,Student,Permanent Resident,Mandarin,Remote,No,5.7,Yes,2021-09-28
27,Female,Others,Master,Single,Hospitality,Doctor,6,Part-time,7062.4,Neutral,No,No,Yes,37.5,0.79,Student,Permanent Resident,Others,Hybrid,Yes,10.4,No,2022-05-22
63,Female,Chinese,High School,Widowed,Education,Laborer,19,Full-time,12543.13,Very Unsatisfied,Yes,No,No,47.8,1.98,Unemployed,Citizen,English,Hybrid,Yes,7.5,Yes,2022-10-02
45,Female,Malay,High School,Divorced,Hospitality,Clerk,2,Contract,12666.35,Very Unsatisfied,No,Yes,Yes,51.6,1.36,Unemployed,Permanent Resident,Others,Remote,Yes,13.7,Yes,2023-04-20
34,Male,Chinese,Diploma,Married,Healthcare,Teacher,3,Full-time,6799.59,Very Unsatisfied,No,Yes,No,46,1.91,Retired,Citizen,Malay,On-site,Yes,10.9,Yes,2023-08-01
47,Male,Indian,Master,Divorced,Construction,Doctor,3,Contract,9643.42,Very Satisfied,Yes,No,No,44.1,0.67,Unemployed,Citizen,Others,On-site,Yes,8.2,No,2022-05-10
63,Male,Others,PhD,Married,Finance,Manager,21,Full-time,6699.28,Unsatisfied,Yes,No,Yes,35.5,1.84,Retired,Citizen,Others,Remote,No,12.2,Yes,2022-05-24
54,Female,Malay,Bachelor,Married,Finance,Teacher,28,Full-time,12612.7,Satisfied,No,Yes,Yes,57.9,1.27,Student,Permanent Resident,Tamil,Hybrid,No,12.6,Yes,2023-07-05
51,Male,Malay,PhD,Widowed,Finance,Teacher,4,Contract,11175.63,Satisfied,Yes,Yes,No,52,0.59,Retired,Foreigner,English,Hybrid,No,5.2,No,2022-12-02
29,Male,Chinese,Diploma,Single,Education,Doctor,9,Contract,6920.33,Neutral,No,Yes,Yes,56.3,1.58,Employed,Citizen,English,Remote,Yes,19.3,Yes,2022-04-28
23,Male,Others,Bachelor,Divorced,Education,Laborer,21,Full-time,12205.23,Very Unsatisfied,Yes,No,No,53.8,1.49,Retired,Citizen,Mandarin,On-site,No,16.8,No,2022-10-24
57,Female,Malay,High School,Divorced,Healthcare,Laborer,27,Contract,7881.21,Unsatisfied,Yes,Yes,Yes,57,1.74,Unemployed,Citizen,Tamil,Hybrid,No,12.1,No,2021-04-11
38,Male,Indian,PhD,Divorced,Healthcare,Technician,15,Contract,7840.09,Very Satisfied,No,Yes,No,36.6,1.36,Retired,Permanent Resident,Others,Hybrid,No,12.7,Yes,2021-08-17
35,Male,Indian,Diploma,Divorced,Construction,Engineer,8,Full-time,6591.85,Very Unsatisfied,No,Yes,No,57,0.94,Retired,Permanent Resident,Tamil,On-site,No,6.7,Yes,2021-07-20
51,Male,Others,High School,Married,Information Technology,Clerk,29,Full-time,2853.58,Unsatisfied,No,No,No,46.4,0.55,Employed,Citizen,Others,Remote,Yes,19.9,No,2021-04-14
37,Female,Others,High School,Widowed,Finance,Engineer,12,Part-time,6907.95,Satisfied,Yes,Yes,Yes,55.5,1.58,Retired,Permanent Resident,Mandarin,Hybrid,No,18.9,Yes,2023-05-08
40,Female,Others,High School,Married,Information Technology,Clerk,1,Part-time,12150.95,Unsatisfied,Yes,Yes,Yes,55.9,1.19,Employed,Citizen,Mandarin,Hybrid,Yes,14.6,Yes,2023-05-10
51,Male,Indian,Diploma,Married,Information Technology,Clerk,10,Contract,10658.47,Neutral,No,Yes,Yes,51.1,0.7,Student,Citizen,Tamil,Remote,Yes,5.4,No,2023-09-23
52,Female,Chinese,Diploma,Married,Finance,Manager,7,Contract,5961.37,Very Satisfied,No,Yes,Yes,40.1,0.92,Student,Foreigner,Tamil,On-site,No,12.5,Yes,2021-12-16
54,Female,Others,PhD,Married,Healthcare,Clerk,25,Contract,8219.59,Satisfied,Yes,Yes,Yes,55.4,1.78,Employed,Citizen,Malay,On-site,Yes,7.2,No,2023-10-04
60,Female,Chinese,Diploma,Married,Finance,Doctor,13,Contract,2165.24,Very Unsatisfied,Yes,No,No,50.1,0.87,Unemployed,Permanent Resident,Malay,On-site,Yes,9.8,No,2022-07-19
41,Female,Malay,Master,Married,Hospitality,Engineer,13,Self-employed,11765.67,Unsatisfied,Yes,No,Yes,42.2,1.61,Employed,Foreigner,Mandarin,On-site,No,17,No,2022-03-18
57,Female,Indian,Master,Divorced,Information Technology,Clerk,9,Contract,4260.03,Satisfied,Yes,No,Yes,58.1,1.58,Retired,Citizen,English,Hybrid,No,10.4,No,2022-11-06
40,Female,Others,Bachelor,Divorced,Education,Laborer,3,Part-time,9117.88,Very Unsatisfied,No,Yes,No,47,1.03,Employed,Foreigner,Mandarin,On-site,No,7.5,Yes,2021-12-14
63,Male,Others,High School,Married,Education,Engineer,6,Contract,3652.03,Unsatisfied,Yes,Yes,Yes,43.8,0.73,Unemployed,Permanent Resident,English,Hybrid,Yes,17,Yes,2021-04-13
48,Female,Others,Bachelor,Divorced,Construction,Technician,21,Full-time,14694.84,Unsatisfied,No,No,No,35.1,1.15,Employed,Permanent Resident,Others,Remote,Yes,9.8,Yes,2023-06-26
23,Female,Indian,Diploma,Divorced,Hospitality,Doctor,24,Self-employed,5171.4,Very Satisfied,No,Yes,No,55.1,1.61,Employed,Permanent Resident,Tamil,On-site,Yes,10.8,Yes,2022-09-04
46,Male,Chinese,Bachelor,Married,Education,Laborer,20,Contract,3770.07,Satisfied,No,No,No,53.6,0.83,Retired,Foreigner,Malay,Remote,No,5.6,No,2021-07-14
41,Male,Malay,Bachelor,Married,Hospitality,Clerk,7,Self-employed,2285.48,Satisfied,No,No,No,54,1,Student,Citizen,Malay,Hybrid,No,19.4,Yes,2022-10-05
52,Male,Others,PhD,Married,Education,Clerk,9,Part-time,7465.76,Unsatisfied,Yes,Yes,No,57,1.71,Student,Permanent Resident,Mandarin,On-site,Yes,13.5,No,2021-07-07
27,Female,Indian,High School,Married,Construction,Clerk,3,Contract,13167.17,Satisfied,Yes,No,Yes,41.8,1.93,Unemployed,Citizen,Mandarin,On-site,Yes,15.9,No,2023-04-13
28,Male,Others,Master,Widowed,Hospitality,Engineer,22,Self-employed,9178.06,Satisfied,Yes,No,Yes,57.5,1.81,Student,Foreigner,Malay,On-site,No,8.1,No,2022-01-23
25,Male,Chinese,High School,Widowed,Education,Doctor,25,Contract,3294.35,Satisfied,Yes,No,Yes,59.1,0.94,Employed,Citizen,Malay,On-site,Yes,19.2,Yes,2021-01-14
29,Male,Chinese,Master,Widowed,Construction,Manager,20,Part-time,6177.39,Unsatisfied,No,Yes,Yes,48.2,1.64,Employed,Citizen,Malay,Remote,No,9.8,Yes,2021-12-02
33,Female,Chinese,PhD,Married,Education,Clerk,13,Contract,9094.29,Neutral,Yes,Yes,No,46.2,0.63,Student,Foreigner,Mandarin,Hybrid,Yes,10,Yes,2022-08-23
23,Female,Indian,High School,Single,Healthcare,Engineer,25,Full-time,4541.53,Neutral,No,No,No,50.1,1.8,Employed,Foreigner,Malay,On-site,No,19.1,No,2021-10-02
20,Female,Chinese,Master,Widowed,Finance,Manager,2,Full-time,3655.41,Satisfied,Yes,No,Yes,35.9,0.6,Unemployed,Permanent Resident,English,Remote,No,12.8,No,2021-08-04
53,Male,Malay,High School,Married,Education,Doctor,20,Self-employed,12972.05,Very Unsatisfied,No,No,No,56.3,0.59,Retired,Citizen,Malay,Remote,No,5.9,Yes,2022-08-27
27,Female,Others,High School,Widowed,Education,Laborer,24,Part-time,2249.5,Unsatisfied,Yes,No,Yes,60,1.41,Retired,Foreigner,Others,On-site,Yes,16.6,No,2022-10-20
48,Male,Malay,Diploma,Divorced,Education,Engineer,9,Part-time,8264.01,Neutral,Yes,Yes,Yes,48.6,1.28,Retired,Permanent Resident,Mandarin,Hybrid,No,12.6,No,2023-09-24
26,Male,Indian,Bachelor,Single,Information Technology,Technician,15,Self-employed,10618.52,Unsatisfied,Yes,Yes,Yes,58.4,1.54,Employed,Foreigner,Tamil,Hybrid,No,14.2,Yes,2023-03-10
56,Female,Others,High School,Widowed,Healthcare,Technician,19,Contract,5456.43,Very Unsatisfied,Yes,No,Yes,48.9,1.18,Retired,Citizen,Tamil,Remote,Yes,11.7,No,2023-10-01
49,Female,Others,High School,Divorced,Hospitality,Teacher,21,Self-employed,10546.3,Satisfied,Yes,Yes,No,46.8,1.81,Student,Permanent Resident,English,Hybrid,No,18,No,2022-06-05
42,Male,Malay,PhD,Divorced,Hospitality,Laborer,9,Full-time,6807.21,Neutral,No,No,Yes,50.2,1.48,Employed,Permanent Resident,Mandarin,Hybrid,No,12.9,Yes,2021-09-18
