Year,Month,Region,Category,Product,Units Sold,Unit Price,Cost of Goods Sold,Marketing Spend,Customer Ratings
2022,9,Thailand,Electronics,Smartwatch,568.0,96.41,908.75,29394.06,3.0
2018,9,Singapore,Entertainment,Gaming Console,984.0,1512.94,1185.76,2026.4,3.6
2022,5,Malaysia,Personal Care,Hair Straightener,1490.0,1962.56,1129.45,10688.65,1.3
2019,11,Malaysia,Computers,Desktop,1404.0,908.51,1247.15,20262.89,1.6
2022,12,Malaysia,Personal Care,Shaver,74.0,702.38,1457.11,39514.62,1.4
2019,8,Malaysia,Personal Care,Massager,908.0,914.04,264.39,39963.49,3.4
2020,8,Philippines,Computers,Laptop,1205.0,1023.33,963.87,48788.51,1.4
2020,12,Philippines,Home Appliances,Refrigerator,511.0,748.85,1277.44,17354.4,2.8
2018,5,Singapore,Home Appliances,Air Conditioner,499.0,564.59,361.77,6931.37,3.5
2019,2,Indonesia,Computers,Laptop,979.0,600.67,1254.81,14493.58,3.6
2019,3,Malaysia,Entertainment,Television,1479.0,1053.09,291.99,42904.88,4.5
2019,9,Philippines,Electronics,Tablet,434.0,1042.15,262.43,43538.61,1.2
2019,1,Thailand,Home Appliances,Blender,1356.0,208.24,174.22,8089.04,1.1
2021,9,Indonesia,Computers,External Hard Drive,665.0,1964.15,219.69,39479.21,4.2
2021,1,Indonesia,Home Appliances,Air Conditioner,1246.0,1792.01,1435.29,21664.38,1.0
2020,10,Malaysia,Entertainment,Sound System,349.0,517.48,1467.88,18426.6,1.8
2021,12,Singapore,Home Appliances,Air Conditioner,1029.0,1370.59,99.27,3814.05,2.1
2018,10,Malaysia,Entertainment,Television,,,450.59,1525.56,
2021,8,Philippines,Personal Care,Hair Dryer,378.0,1246.67,1074.95,29463.65,1.8
2022,10,Malaysia,Personal Care,Massager,163.0,207.22,1047.83,46158.89,3.4
2019,4,Malaysia,Computers,External Hard Drive,80.0,573.79,1261.86,41748.76,4.9
2020,12,Philippines,Electronics,Tablet,550.0,348.4,362.54,4786.02,2.5
2022,8,Philippines,Personal Care,Massager,1095.0,321.59,1055.08,43457.11,2.6
2021,2,Singapore,Electronics,Portable Speaker,630.0,1246.21,1402.85,26813.16,2.0
2022,11,Indonesia,Computers,Laptop,832.0,368.43,515.43,42108.89,2.4
2022,1,Indonesia,Entertainment,VR Headset,994.0,1776.09,1281.49,49134.56,2.0
2022,3,Thailand,Computers,Monitor,109.0,1073.1,309.79,17272.8,1.8
2021,11,Malaysia,Home Appliances,Dryer,578.0,1668.84,1094.75,18637.03,1.9
2022,3,Philippines,Electronics,Smartwatch,639.0,1431.25,128.91,4892.2,3.9
2022,4,Indonesia,Home Appliances,Refrigerator,637.0,553.35,1428.95,23911.68,2.9
2022,5,Indonesia,Electronics,E-reader,436.0,710.32,1162.98,44987.6,2.3
2018,10,Indonesia,Home Appliances,Dryer,462.0,215.2,1258.5,22510.33,4.8
2022,12,Thailand,Home Appliances,Washing Machine,1422.0,878.87,760.52,7383.37,1.1
2021,5,Singapore,Electronics,Smartwatch,1438.0,62.37,181.34,15122.59,3.5
2020,5,Indonesia,Computers,Desktop,887.0,1330.33,50.14,42312.17,1.5
2018,5,Thailand,Electronics,Tablet,981.0,1328.87,57.76,24125.77,3.9
2019,5,Singapore,Electronics,Smartwatch,243.0,1464.51,505.7,31570.71,1.8
2019,7,Philippines,Computers,Desktop,968.0,1374.54,72.78,32213.12,1.9
2021,7,Philippines,Home Appliances,Blender,508.0,1195.41,1499.31,18530.34,3.2
2018,6,Malaysia,Entertainment,DVD Player,750.0,202.11,1339.66,7404.39,5.0
2018,9,Thailand,Personal Care,Shaver,656.0,630.07,619.26,41149.12,3.6
2019,9,Thailand,Computers,Desktop,941.0,897.2,1103.71,6981.2,2.1
2020,7,Singapore,Personal Care,Electric Toothbrush,1254.0,829.49,1256.81,14134.1,2.7
2022,12,Indonesia,Electronics,Portable Speaker,130.0,1565.08,460.47,38869.79,2.2
2020,2,Philippines,Electronics,Smartphone,761.0,1775.88,973.19,15626.08,3.0
2018,2,Philippines,Personal Care,Hair Straightener,640.0,1902.47,752.52,44944.89,1.9
2021,6,Philippines,Entertainment,VR Headset,664.0,1609.9,359.92,44834.46,2.1
2020,4,Singapore,Personal Care,Hair Straightener,722.0,581.96,1468.24,29039.29,2.8
2020,2,Thailand,Computers,Desktop,916.0,1945.27,192.35,41004.05,4.0
2018,4,Philippines,Personal Care,Shaver,1401.0,822.86,832.16,32259.1,3.8
2019,8,Singapore,Home Appliances,Refrigerator,641.0,1114.4,697.92,8983.75,4.8
2018,10,Malaysia,Home Appliances,Refrigerator,368.0,881.47,153.22,2682.88,5.0
2020,6,Singapore,Personal Care,Facial Cleanser,1414.0,701.76,280.37,23648.25,3.3
2020,3,Indonesia,Electronics,Tablet,794.0,149.18,1495.23,37393.67,3.8
2021,1,Thailand,Computers,Laptop,802.0,638.99,478.79,13450.0,4.6
2020,12,Philippines,Personal Care,Hair Straightener,1217.0,574.25,167.22,49964.99,1.8
2021,8,Thailand,Entertainment,VR Headset,530.0,1046.91,35.65,29168.44,2.8
2020,6,Thailand,Electronics,Smartphone,1137.0,1852.99,108.12,15333.12,2.6
2019,7,Philippines,Home Appliances,Air Conditioner,162.0,511.73,472.52,34699.26,3.5
2020,10,Indonesia,Computers,Laptop,1059.0,1201.44,1287.63,27230.65,2.9
2021,12,Malaysia,Electronics,Camera,674.0,723.22,785.18,43916.62,2.0
2021,3,Malaysia,Electronics,Smartphone,,,529.68,41178.64,
2021,8,Malaysia,Personal Care,Hair Dryer,52.0,1514.05,976.08,30785.4,1.8
2020,11,Philippines,Computers,Desktop,1411.0,347.29,686.84,30921.31,2.6
2021,8,Singapore,Computers,Printer,1021.0,1356.39,1415.77,16753.37,2.9
2022,9,Philippines,Entertainment,VR Headset,103.0,1528.35,551.03,40994.71,2.0
2019,7,Singapore,Electronics,E-reader,216.0,1897.04,1253.53,4157.97,4.0
2020,12,Philippines,Home Appliances,Microwave,,,779.0,32039.31,
2021,4,Indonesia,Electronics,Tablet,550.0,1886.01,36.74,39534.55,3.2
2019,2,Indonesia,Computers,Printer,80.0,1430.83,1322.49,36079.26,3.3
2020,3,Thailand,Personal Care,Facial Cleanser,481.0,1058.3,606.74,18090.26,1.1
2019,7,Thailand,Entertainment,VR Headset,555.0,127.81,902.32,8841.32,4.0
2022,3,Thailand,Entertainment,VR Headset,120.0,614.11,434.5,22360.71,3.3
2020,7,Thailand,Personal Care,Shaver,1367.0,261.15,755.12,13151.39,4.7
2021,10,Thailand,Computers,Printer,285.0,1524.62,1342.3,17090.61,2.0
2018,1,Philippines,Personal Care,Massager,846.0,1701.99,817.22,44485.87,1.7
2021,12,Malaysia,Home Appliances,Blender,1139.0,1967.94,1107.03,43141.44,3.6
2020,11,Indonesia,Home Appliances,Blender,97.0,1248.6,897.72,34807.27,2.9
2021,8,Singapore,Personal Care,Massager,529.0,1599.51,379.9,41305.67,2.6
2018,11,Philippines,Entertainment,Television,1069.0,318.76,1354.42,24662.55,1.7
2018,4,Malaysia,Home Appliances,Refrigerator,1066.0,427.51,1339.47,3315.62,4.2
2018,1,Philippines,Personal Care,Hair Dryer,,,1242.76,40855.41,
2021,3,Malaysia,Computers,Laptop,79.0,1619.87,32.72,32203.4,3.6
2020,8,Indonesia,Entertainment,Sound System,693.0,554.58,1016.83,2920.09,1.9
2021,5,Singapore,Entertainment,Television,1196.0,223.98,1123.0,27707.61,2.9
2018,10,Malaysia,Personal Care,Electric Toothbrush,71.0,561.68,283.5,24408.98,4.2
2022,1,Indonesia,Personal Care,Hair Dryer,221.0,1271.41,58.21,43316.55,3.8
2018,5,Indonesia,Home Appliances,Refrigerator,1495.0,1636.53,504.12,40064.56,1.4
2018,3,Malaysia,Home Appliances,Blender,1200.0,1909.13,887.12,6092.51,1.4
2020,1,Singapore,Computers,Printer,1055.0,888.34,1360.66,39935.8,3.0
2021,12,Singapore,Personal Care,Massager,1326.0,1292.12,1263.9,7042.92,3.0
2020,9,Malaysia,Entertainment,VR Headset,642.0,1224.88,729.17,1590.68,4.2
2021,6,Indonesia,Computers,Monitor,622.0,777.28,1007.5,38483.9,4.7
2018,11,Singapore,Personal Care,Hair Dryer,484.0,312.78,1481.07,4397.39,1.4
2018,10,Philippines,Electronics,Smartwatch,710.0,557.8,342.34,15685.76,3.2
2018,4,Malaysia,Computers,Printer,913.0,1639.78,1423.81,4091.16,3.0
2021,1,Indonesia,Personal Care,Facial Cleanser,,,734.74,46108.8,
2018,10,Indonesia,Electronics,Camera,191.0,1302.72,140.43,1935.81,1.9
2020,10,Malaysia,Electronics,E-reader,914.0,1785.94,780.05,16929.36,3.3
2020,5,Philippines,Entertainment,Streaming Device,1323.0,1638.66,433.65,47614.95,2.0
2018,9,Singapore,Electronics,Smartwatch,1457.0,1651.26,803.86,8831.5,1.3
2022,9,Singapore,Home Appliances,Washing Machine,853.0,1384.09,1174.1,29197.69,2.9
2021,5,Thailand,Personal Care,Facial Cleanser,902.0,570.5,1450.71,41567.62,3.6
2022,2,Thailand,Home Appliances,Washing Machine,385.0,319.6,955.41,21158.1,1.8
2018,1,Philippines,Home Appliances,Blender,885.0,1438.74,1189.81,40968.46,4.8
2022,12,Indonesia,Home Appliances,Microwave,637.0,160.89,1137.57,13323.13,1.1
2021,3,Indonesia,Home Appliances,Dryer,1228.0,1226.67,197.45,24313.55,3.2
2021,1,Singapore,Personal Care,Shaver,1291.0,1794.92,671.03,9809.04,3.4
2022,4,Philippines,Electronics,E-reader,757.0,996.72,1298.89,27569.39,3.4
2019,2,Singapore,Entertainment,VR Headset,1112.0,1594.71,598.62,48334.48,4.7
2021,12,Malaysia,Home Appliances,Washing Machine,919.0,1324.62,1300.56,46573.26,1.6
2018,12,Philippines,Home Appliances,Blender,488.0,319.32,689.66,25200.94,2.4
2018,1,Singapore,Entertainment,Sound System,576.0,727.95,964.22,45148.19,3.3
2018,4,Malaysia,Entertainment,VR Headset,458.0,551.26,396.61,12202.97,1.1
2019,4,Malaysia,Entertainment,Television,,,129.6,36654.58,
2018,10,Indonesia,Entertainment,VR Headset,498.0,659.58,1051.81,21189.74,3.7
2022,7,Indonesia,Home Appliances,Air Conditioner,1350.0,62.01,569.23,43880.72,4.5
2019,6,Malaysia,Computers,Printer,952.0,476.23,990.19,35758.34,1.8
2021,6,Singapore,Entertainment,DVD Player,1344.0,1422.46,642.69,5292.89,2.9
2019,8,Malaysia,Home Appliances,Refrigerator,874.0,535.71,1339.18,26653.88,4.2
2018,1,Singapore,Personal Care,Facial Cleanser,1348.0,300.82,1199.31,27440.9,3.5
2018,5,Indonesia,Entertainment,Television,398.0,1645.6,1170.5,40568.63,4.0
2022,7,Indonesia,Personal Care,Facial Cleanser,712.0,892.62,1008.47,31621.26,3.9
2021,3,Indonesia,Computers,Laptop,1087.0,831.86,553.75,37642.25,4.7
2021,12,Singapore,Entertainment,Sound System,973.0,1799.07,1300.68,28008.34,1.8
2019,7,Thailand,Personal Care,Shaver,211.0,1992.6,1001.41,25737.46,3.5
2018,11,Thailand,Personal Care,Hair Straightener,1225.0,1400.65,1246.1,22711.1,4.0
2018,8,Malaysia,Electronics,Portable Speaker,584.0,1293.6,1081.9,38234.45,4.7
2019,4,Indonesia,Personal Care,Shaver,1091.0,346.69,1215.31,38635.51,1.7
2020,7,Indonesia,Home Appliances,Blender,289.0,745.41,795.02,47782.27,3.8
2018,1,Singapore,Home Appliances,Refrigerator,1450.0,740.99,1178.65,17472.53,2.1
2021,3,Malaysia,Home Appliances,Refrigerator,1383.0,1461.77,1400.1,48384.24,2.1
2019,2,Indonesia,Entertainment,Television,710.0,197.44,1491.08,8225.64,4.6
2019,5,Indonesia,Home Appliances,Refrigerator,1128.0,382.66,385.43,23235.18,4.8
2022,11,Indonesia,Computers,Monitor,468.0,1663.03,540.78,24690.34,2.0
2018,8,Indonesia,Electronics,Tablet,1279.0,1817.82,1432.82,34365.86,3.9
2018,4,Thailand,Electronics,E-reader,194.0,885.97,1076.21,12678.0,4.2
2021,6,Malaysia,Personal Care,Electric Toothbrush,250.0,1860.97,204.5,25340.86,1.7
2020,9,Malaysia,Personal Care,Massager,1436.0,1527.93,1094.31,6038.73,1.3
2021,4,Thailand,Entertainment,DVD Player,1231.0,1655.94,769.86,6072.98,1.4
2020,9,Malaysia,Home Appliances,Refrigerator,,,823.85,42218.72,
2022,4,Malaysia,Entertainment,VR Headset,140.0,119.17,857.54,43661.05,4.8
2021,3,Malaysia,Computers,Desktop,397.0,598.8,231.32,20658.72,4.6
2021,10,Malaysia,Electronics,E-reader,455.0,1632.58,840.17,49574.1,3.0
2018,7,Singapore,Computers,Monitor,1148.0,1447.59,693.89,39654.49,4.6
2021,12,Singapore,Computers,Laptop,1263.0,1201.91,273.94,48423.35,2.6
2018,3,Thailand,Personal Care,Shaver,1316.0,698.28,183.1,13496.99,4.4
2022,6,Malaysia,Electronics,Smartphone,14990.0,527.94,1164.58,1786.81,3.5
2020,11,Thailand,Entertainment,Television,,,1234.1,43196.99,
2021,4,Singapore,Computers,Laptop,457.0,1529.25,338.37,40800.59,1.2
2022,2,Thailand,Personal Care,Shaver,137.0,199.68,114.56,37719.96,4.7
2018,7,Indonesia,Electronics,Camera,1288.0,975.7,768.18,43782.4,1.2
2020,6,Indonesia,Home Appliances,Dryer,1075.0,963.25,946.94,30854.21,3.5
2021,9,Indonesia,Entertainment,Sound System,752.0,1821.62,682.38,4968.68,1.5
2021,11,Philippines,Personal Care,Hair Dryer,118.0,1223.55,679.67,29337.47,2.9
2019,11,Thailand,Electronics,Tablet,961.0,840.65,826.65,44048.05,3.7
2021,8,Singapore,Home Appliances,Dryer,810.0,1294.17,999.06,16266.52,4.1
2022,3,Indonesia,Electronics,Portable Speaker,892.0,1209.37,68.37,15210.65,2.2
2021,7,Philippines,Entertainment,Television,151.0,1748.73,344.4,40267.64,3.7
2021,3,Malaysia,Home Appliances,Blender,76.0,503.82,812.11,35416.83,1.9
2019,8,Malaysia,Personal Care,Electric Toothbrush,1038.0,822.78,354.06,34474.97,3.5
2019,12,Thailand,Entertainment,VR Headset,1175.0,675.22,1192.37,28427.97,2.4
2019,8,Philippines,Personal Care,Shaver,1222.0,1364.76,997.66,46335.32,3.7
2021,1,Philippines,Personal Care,Massager,457.0,1477.11,1140.06,9966.6,4.8
2020,4,Philippines,Computers,Laptop,671.0,99.17,224.88,1395.81,3.0
2020,2,Singapore,Home Appliances,Blender,835.0,1752.83,753.8,38696.09,4.3
2022,9,Singapore,Entertainment,DVD Player,623.0,1008.68,1089.24,45172.1,2.5
2021,6,Malaysia,Entertainment,DVD Player,1162.0,641.14,1123.43,8121.1,3.7
2019,8,Philippines,Computers,Laptop,1057.0,884.13,707.54,24057.19,4.2
2020,2,Singapore,Home Appliances,Washing Machine,594.0,1782.17,1065.51,14733.61,2.9
2021,6,Thailand,Personal Care,Shaver,1427.0,984.49,1306.45,24875.02,1.7
2019,7,Singapore,Computers,Laptop,1370.0,336.78,506.04,31142.66,1.7
2022,12,Indonesia,Home Appliances,Blender,185.0,1294.94,234.55,41578.82,4.7
2020,6,Singapore,Entertainment,Television,260.0,118.4,1468.27,5777.31,2.1
2020,8,Indonesia,Electronics,Smartphone,1466.0,1076.72,156.95,19780.9,4.8
2018,11,Philippines,Personal Care,Facial Cleanser,,,664.11,9621.3,
2019,6,Indonesia,Computers,Monitor,196.0,824.16,1299.25,15949.14,5.0
2018,4,Philippines,Personal Care,Hair Straightener,584.0,1940.21,1237.17,13613.38,4.8
2022,4,Indonesia,Computers,Desktop,596.0,1077.8,1279.72,19474.53,3.8
2018,4,Malaysia,Entertainment,Gaming Console,174.0,423.72,1253.37,27190.97,4.0
2021,2,Indonesia,Home Appliances,Air Conditioner,568.0,924.13,308.1,19475.73,4.9
2020,7,Malaysia,Computers,Keyboard,274.0,1377.55,430.74,48189.52,3.0
2018,7,Singapore,Electronics,E-reader,,,490.65,24181.58,
2018,3,Indonesia,Home Appliances,Blender,102.0,1154.93,1458.32,42187.6,3.9
2019,6,Thailand,Home Appliances,Refrigerator,187.0,1843.66,1348.13,29727.08,4.5
2019,11,Thailand,Personal Care,Massager,1465.0,439.49,170.88,30630.31,2.5
2018,4,Malaysia,Computers,Monitor,541.0,1768.54,219.79,24971.67,3.0
2021,4,Indonesia,Electronics,Smartwatch,110.0,1609.21,602.26,8384.07,2.6
2018,12,Philippines,Home Appliances,Washing Machine,995.0,1902.4,813.68,28189.26,2.0
2021,4,Thailand,Entertainment,VR Headset,1174.0,1277.65,1024.54,8117.84,1.4
2018,2,Philippines,Entertainment,Television,374.0,212.18,615.46,26418.83,3.3
2022,8,Singapore,Computers,Laptop,1492.0,1204.18,25.04,29633.34,3.7
2022,10,Thailand,Entertainment,Streaming Device,689.0,138.22,659.89,4258.58,2.9
2018,8,Thailand,Computers,Keyboard,735.0,1462.93,627.06,34705.48,2.8
2019,6,Thailand,Home Appliances,Blender,991.0,89.18,1287.38,38891.02,3.1
2021,1,Singapore,Personal Care,Hair Dryer,1272.0,145.92,601.38,14868.53,3.9
2022,1,Singapore,Electronics,Portable Speaker,481.0,1774.14,702.2,17565.3,1.2
2021,6,Singapore,Entertainment,Sound System,209.0,1823.54,1380.88,25635.75,4.5
2020,8,Thailand,Home Appliances,Washing Machine,1284.0,1590.74,964.04,45537.46,2.3
2019,10,Singapore,Home Appliances,Washing Machine,203.0,381.51,431.07,9793.29,3.5
2019,4,Indonesia,Entertainment,Streaming Device,1132.0,888.68,395.3,24022.21,2.4
2020,3,Philippines,Home Appliances,Blender,1426.0,150.84,859.08,45897.25,2.2
2019,10,Singapore,Entertainment,Sound System,321.0,1680.62,544.01,27689.38,4.2
2022,10,Indonesia,Electronics,Portable Speaker,,,991.74,30282.76,
2020,9,Singapore,Home Appliances,Dryer,191.0,1223.9,816.45,42154.65,1.8
2022,8,Thailand,Home Appliances,Washing Machine,962.0,1789.36,608.18,46865.43,3.6
2022,3,Indonesia,Computers,Desktop,1336.0,1975.41,1295.01,42470.57,4.2
2020,11,Indonesia,Home Appliances,Microwave,761.0,1168.93,178.41,10407.27,3.7
2021,1,Indonesia,Home Appliances,Microwave,263.0,1929.22,77.91,28996.63,3.5
2021,7,Indonesia,Home Appliances,Refrigerator,974.0,733.06,1036.88,9202.2,1.5
2019,3,Indonesia,Entertainment,Streaming Device,829.0,1424.21,616.25,18221.12,4.4
2020,9,Malaysia,Entertainment,VR Headset,1358.0,1176.84,143.45,14234.13,2.0
2022,9,Philippines,Computers,Monitor,1000.0,1396.17,398.71,5264.29,2.8
2021,12,Indonesia,Electronics,Smartwatch,1064.0,474.16,303.94,15938.05,1.9
2021,6,Indonesia,Entertainment,Gaming Console,450.0,1730.51,491.96,7440.67,4.0
2019,5,Philippines,Computers,Printer,1373.0,1491.72,1457.06,41590.94,3.8
2019,12,Singapore,Personal Care,Massager,226.0,983.32,698.24,18317.91,1.5
2019,1,Philippines,Personal Care,Electric Toothbrush,,,983.06,46086.56,
2019,9,Indonesia,Computers,External Hard Drive,1081.0,1552.26,1318.46,40873.65,1.5
2020,11,Thailand,Personal Care,Hair Straightener,660.0,1813.64,911.59,34480.28,2.6
2018,5,Indonesia,Electronics,Portable Speaker,374.0,669.6,651.19,43585.77,4.3
2021,6,Malaysia,Electronics,E-reader,704.0,1104.75,990.49,21943.52,3.8
2019,11,Malaysia,Entertainment,Streaming Device,1228.0,1353.35,828.57,44279.11,4.6
2022,11,Malaysia,Entertainment,DVD Player,1074.0,1990.08,1046.1,19623.98,3.2
2021,7,Philippines,Home Appliances,Blender,804.0,1197.04,365.84,9281.2,4.1
2019,7,Malaysia,Home Appliances,Blender,179.0,878.0,1249.77,13932.6,4.6
2019,6,Thailand,Entertainment,Gaming Console,1209.0,1808.18,835.95,15757.17,1.7
2020,5,Malaysia,Computers,Printer,1205.0,770.05,475.32,46469.78,3.5
2018,3,Thailand,Home Appliances,Washing Machine,555.0,462.09,111.77,45243.91,1.3
2018,5,Indonesia,Entertainment,Sound System,309.0,979.96,1483.4,21953.22,3.9
2020,9,Indonesia,Personal Care,Electric Toothbrush,202.0,210.36,1084.25,26029.48,2.9
2022,6,Malaysia,Entertainment,VR Headset,1440.0,513.44,1141.2,29576.81,4.0
2018,9,Singapore,Personal Care,Hair Straightener,998.0,212.82,410.36,47664.19,4.4
2022,10,Philippines,Electronics,Portable Speaker,,,1225.06,14758.65,
2021,3,Philippines,Home Appliances,Dryer,1442.0,500.75,862.15,39971.92,1.5
2021,3,Indonesia,Personal Care,Electric Toothbrush,244.0,1803.51,699.98,48781.86,1.3
2018,3,Indonesia,Home Appliances,Air Conditioner,299.0,386.26,213.45,23694.71,2.9
2018,2,Malaysia,Entertainment,Television,1111.0,1192.82,490.98,35910.5,4.9
2021,4,Singapore,Home Appliances,Microwave,311.0,107.17,533.77,6038.75,4.8
2021,4,Philippines,Personal Care,Facial Cleanser,1355.0,481.27,93.13,19970.31,4.5
2018,7,Philippines,Entertainment,DVD Player,865.0,1532.84,1446.49,22974.06,1.8
2021,1,Thailand,Personal Care,Massager,1178.0,553.35,1447.83,18659.44,1.9
2018,2,Singapore,Home Appliances,Microwave,396.0,322.64,183.79,9474.5,1.7
2020,9,Philippines,Entertainment,Streaming Device,1204.0,294.81,522.15,4186.3,2.3
2019,6,Malaysia,Electronics,Camera,724.0,968.49,853.84,21320.2,4.9
2018,5,Malaysia,Entertainment,VR Headset,726.0,821.5,740.49,28137.2,2.0
2022,12,Philippines,Computers,Monitor,243.0,1323.91,856.09,47198.37,1.3
2018,6,Philippines,Electronics,Smartwatch,1402.0,1142.38,1294.36,4849.25,3.7
2021,6,Malaysia,Personal Care,Massager,581.0,202.43,1226.75,23069.5,2.8
2022,5,Indonesia,Entertainment,VR Headset,1194.0,102.97,626.95,5924.0,4.8
2022,10,Singapore,Electronics,Portable Speaker,1214.0,1036.7,794.2,11672.79,5.0
2019,1,Malaysia,Computers,Monitor,734.0,1816.62,299.07,13155.54,4.1
2018,9,Singapore,Home Appliances,Refrigerator,,,694.95,38200.42,
2020,6,Philippines,Computers,Laptop,332.0,1232.79,1148.43,27668.07,4.5
2022,11,Singapore,Electronics,Portable Speaker,369.0,1750.26,395.04,37784.5,3.1
2022,10,Malaysia,Electronics,E-reader,139.0,1885.53,383.79,12745.75,4.9
2020,10,Thailand,Home Appliances,Microwave,1444.0,142.14,1495.25,3516.32,3.2
2022,1,Philippines,Home Appliances,Washing Machine,1149.0,478.92,354.47,15157.99,3.2
2021,5,Singapore,Computers,Desktop,139.0,377.19,1444.55,40520.76,1.9
2020,11,Philippines,Personal Care,Massager,78.0,1992.55,387.93,3769.62,1.0
2021,1,Singapore,Computers,External Hard Drive,414.0,1333.04,1075.22,29397.32,3.3
2018,4,Malaysia,Computers,Monitor,1426.0,657.85,86.43,8721.95,1.3
2018,3,Philippines,Electronics,Camera,516.0,978.2,1017.12,44800.49,4.3
2018,11,Malaysia,Electronics,Smartwatch,1133.0,700.45,636.32,4361.88,4.8
2021,1,Malaysia,Computers,Monitor,924.0,225.42,780.24,23344.6,3.5
2022,12,Singapore,Entertainment,Television,859.0,1542.74,775.71,47314.27,3.9
2022,3,Philippines,Computers,Laptop,585.0,548.06,582.25,9641.99,1.1
2020,7,Philippines,Home Appliances,Washing Machine,802.0,1000.09,46.56,5058.6,1.6
2020,1,Philippines,Entertainment,Sound System,,,1215.42,30828.19,
2022,6,Thailand,Electronics,Camera,1234.0,1616.91,630.45,41797.64,2.8
2019,9,Philippines,Entertainment,Television,584.0,1351.51,441.53,44600.41,3.5
2021,5,Malaysia,Personal Care,Hair Dryer,459.0,1049.23,1345.23,20268.81,3.1
2021,7,Singapore,Home Appliances,Dryer,1226.0,330.31,783.66,6153.38,3.2
